group,channel_id,name,error,source_progress_file
LA,f2fd35b4bce38e375cd77b6a6904b4a4,부쿠키,not_found,_collection_progress_layer_ac_nodriver_chunk2.ndjson
LC,107b9e4102fb92e546a3aff932babea0,김네네,not_found,_collection_progress_layer_ac_nodriver_chunk3.ndjson
