layer,name,channelId,follower,peak_45d,avg_45d,hours_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct,is_general_game,exclude_reason,peak_rank,avg_rank,vs_rank,point
A,블레어 로즈,dae2de8eaa005a59163f2e4c045e1aa1,44354,4111,1369.1,269.5,368984.4,3.09,8.3191,33.3,virtual_only,,43,18,20,23.8
A,둥그레,1b0561f3051c10a24b9d8ec9a6cb3374,87328,6453,1325.2,325.3,431073.1,1.52,4.9363,20.54,virtual_only,,26,19,15,18.8
A,카린,32fb866e323242b770cdc790f991a6f6,53700,5387,1314.4,243.4,319918.4,2.45,5.9575,24.4,virtual_only,,34,20,23,24.0
A,아카캉 Akang,5b16ddd2a88d50b746affdfaa1e50ab0,67808,2935,1299.0,107.3,139381.5,1.92,2.0555,44.26,virtual_only,,57,21,48,39.0
A,마뫄,219d8e65810a77d6e42c7df018d9632b,146570,5914,1298.9,229.9,298610.1,0.89,2.0373,21.96,virtual_only,,32,22,25,25.2
A,계춘회,a9a343510e132ea3026ff3cf682820b5,55434,3790,1271.7,305.2,388124.6,2.29,7.0016,33.55,virtual_only,,46,23,18,25.6
A,미녕이데려오깨,c7d3b49d29be2d2b1d74ba8403f5851a,55221,14360,1150.6,184.3,212060.6,2.08,3.8402,8.01,virtual_only,,8,24,38,26.4
A,망내,bd07973b6021d72512240c01a386d5c9,74911,9138,1124.0,191.1,214798.3,1.5,2.8674,12.3,virtual_only,,12,25,35,26.4
A,디디디용,798e100206987b59805cfb75f927e965,61124,3097,1115.2,203.3,226711.6,1.82,3.709,36.01,virtual_only,,53,26,32,33.8
A,독케익,b68af124ae2f1743a1dcbf5e2ab41e0b,36568,2002,1091.2,294.0,320826.9,2.98,8.7734,54.51,virtual_only,,69,27,22,33.4
A,라코코 RAKOKO,8a933cb3a86c52aadb2483aa4eed72aa,47082,6176,1034.8,264.8,274017.4,2.2,5.82,16.76,virtual_only,,28,28,27,27.6
A,아야 AyaUke,abe8aa82baf3d3ef54ad8468ee73e7fc,50212,7908,1017.1,212.7,216334.6,2.03,4.3084,12.86,virtual_only,,17,29,33,28.2
A,아마네 나기 Planeta,941ea3807ba8b9b7dddb1670e3e7e5af,12337,6799,984.6,128.9,126920.9,7.98,10.2878,14.48,virtual_only,,20,30,57,38.8
A,카네코 파냐 Planeta,5ead7124638ac4c568f2cde0224b3b6b,12054,6815,968.1,134.7,130397.2,8.03,10.8178,14.21,virtual_only,,19,31,54,37.8
