layer,name,channelId,follower,peak_45d,avg_45d,hours_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct,is_general_game,exclude_reason,peak_rank,avg_rank,vs_rank,point
C,밈줌,05e32aae896c6067fb36157149053de2,1984,128,74.9,236.1,17678.9,3.78,8.9107,58.52,virtual_only,,540,290,246,322.4
C,모코 파르페,d20f164fe5946abe0bce2e5a43052923,3948,305,74.0,136.2,10080.3,1.87,2.5533,24.26,virtual_only,,298,291,407,338.8
C,괴양이,ef876c49d8386f76193f8f1db47eb4d7,15268,956,73.8,133.4,9846.2,0.48,0.6449,7.72,virtual_only,,116,292,414,305.6
C,바뀐,416d86cee659cca1320eac67f0e6fc22,20813,245,73.7,250.8,18486.8,0.35,0.8882,30.08,virtual_only,,347,293,239,282.2
C,엄히로,60761dc68dca3092c55c4371710ce848,4075,228,73.6,151.2,11133.8,1.81,2.7322,32.28,virtual_only,,363,294,362,335.0
C,센 카르멘,baf2109352261c8dd091feae895f3a11,11256,196,73.4,159.2,11681.0,0.65,1.0378,37.45,virtual_only,,381,296,343,331.8
C,옥 희,ee17c0d0dda365119d32768e645caf3e,8309,133,73.1,254.4,18585.7,0.88,2.2368,54.96,virtual_only,,521,297,237,317.8
C,뮬 MYULEE,6b2e39072f3af6e84ee04d34aa164e57,8139,308,73.1,226.8,16568.6,0.9,2.0357,23.73,virtual_only,,294,298,264,283.6
C,노랑새k,f11fe3d49f587cffed1fefdde44fe041,8258,322,72.2,217.0,15671.1,0.87,1.8977,22.42,virtual_only,,276,299,277,285.6
C,이치카 히비,206afc6829e734e662ed0bf24dcbac0e,14015,315,72.0,173.3,12473.4,0.51,0.89,22.86,virtual_only,,285,300,324,306.6
C,모푸,1686a04d1a643498d39f2fb50459c0ac,5179,137,71.9,236.3,16996.6,1.39,3.2818,52.48,virtual_only,,511,301,257,325.4
C,고순해,19f9ece522b9155b4e577d7b9b46103a,2443,674,70.7,366.9,25955.3,2.89,10.6244,10.49,false,,148,303,184,224.4
C,가도아,8088ba35af7d2a4776590fbcc1d5a462,1691,125,70.7,138.7,9810.6,4.18,5.8017,56.56,virtual_only,,549,304,415,397.4
C,니야,a8b44e07ea2e2a583aab4804f92ae0ba,11546,292,70.7,182.2,12884.3,0.61,1.1159,24.21,virtual_only,,307,305,320,311.4
C,끠월마녀,dcfd3c7cf3c05b41306a4cc249ad5c9f,13271,176,70.6,473.4,33408.3,0.53,2.5174,40.11,virtual_only,,411,306,152,265.4
C,미 유,d58ace43901fd369f1b4efa4ed175103,7653,258,70.5,384.8,27137.9,0.92,3.546,27.33,virtual_only,,333,307,177,260.2
C,이 신,8775b3047a658f3f637797c244ba4b34,10669,185,70.1,148.7,10423.0,0.66,0.9769,37.89,virtual_only,,393,308,386,356.2
C,새 담,ca76c17a026bb41e6ff9e3fc5641de63,24587,156,69.8,320.6,22373.5,0.28,0.91,44.74,virtual_only,,457,309,203,296.2
C,유리리,29a1ed5c0829fa620fab900dba7e011b,8506,274,69.3,209.0,14493.4,0.81,1.7039,25.29,virtual_only,,317,310,296,305.8
C,하 쁘,79bc9b927d5c187f9d8fa5a56b194c37,7395,219,69.3,297.3,20610.0,0.94,2.787,31.64,virtual_only,,371,311,214,284.2
C,리니링,e886895bafc3e32f446246f8d1f25ba6,9288,280,69.3,329.8,22854.3,0.75,2.4606,24.75,virtual_only,,313,312,200,267.4
C,두부잼 Doobu,727dc37279f22918f1291a9deecd57a3,1852,145,69.3,123.9,8585.6,3.74,4.6359,47.79,virtual_only,,482,313,459,405.2
C,삿땅 Sattan,cdedd10b0a6c0c007a028a4f15c82ad1,2055,153,69.0,127.9,8829.4,3.36,4.2965,45.1,virtual_only,,466,314,445,396.8
C,이나로 NARO,bfb62548021602bfa600e91a55adee2a,1554,170,68.9,182.2,12556.7,4.43,8.0802,40.53,virtual_only,,429,316,322,341.0
C,먀 리린,0791ae0a49927a2a6719addcedfdac4f,3427,93,68.9,120.9,8330.9,2.01,2.431,74.09,virtual_only,,720,317,468,458.0
C,하루나엘,3d11f301d71cce5bcd1e96bbaec314be,5071,266,68.8,233.4,16057.0,1.36,3.1664,25.86,virtual_only,,324,318,270,300.0
C,눈트끼,291b98d4a26536116f5117b943dac524,1980,119,68.6,295.8,20293.2,3.46,10.2491,57.65,virtual_only,,570,320,216,328.4
C,아홀로 루파,3e948667805e7627459a599018d05853,4692,182,67.5,119.5,8072.1,1.44,1.7204,37.09,virtual_only,,399,323,483,402.2
C,옙히,c4878eb1447abb88829430d16791aa94,4217,250,67.5,303.7,20499.6,1.6,4.8612,27.0,virtual_only,,343,324,215,284.2
C,나나링 Nanaring,182d27a710b9dd25fa20172999184ec8,8357,126,67.4,191.3,12894.8,0.81,1.543,53.49,virtual_only,,545,325,318,366.2
C,대지킹,c0c5a89fb63a7b973fe1142d7b3d1751,4762,113,67.2,201.4,13527.7,1.41,2.8408,59.47,virtual_only,,598,327,311,374.8
C,뿌요 PPUYO,c8ce4df6e6cf691f05df554739ad05ed,2265,461,67.0,206.0,13801.5,2.96,6.0934,14.53,virtual_only,,194,328,306,292.4
C,딸 라,1b72f1d611d7567b000ebb868cdd112b,1861,417,66.5,367.1,24409.2,3.57,13.1162,15.95,virtual_only,,213,329,191,250.6
C,세잠,09918cdeb675f93b76ab35ca5e1633af,3117,966,66.3,209.3,13873.3,2.13,4.4509,6.86,virtual_only,,115,330,305,277.0
C,티아나 스이,8f3661d67e49f0b84736059952d59f06,6952,177,66.3,253.2,16780.1,0.95,2.4137,37.46,virtual_only,,410,331,261,318.8
C,어스레,faf14a6390ed00ef73aa5bc06db32c5d,5968,173,65.9,131.2,8651.1,1.1,1.4496,38.09,virtual_only,,422,332,456,399.6
C,R아렌,29573c033c726c2e8aeda78e3a8882a6,3092,132,65.6,153.4,10059.4,2.12,3.2534,49.7,virtual_only,,527,334,408,402.2
C,유히히,23a96c7728efd75092e69befd8d3630d,6035,479,65.1,323.3,21038.8,1.08,3.4861,13.59,virtual_only,,190,337,212,257.6
C,에이챙,1a84e42602fb493fef2ae998947a8782,2306,783,65.0,230.6,14982.2,2.82,6.4971,8.3,virtual_only,,136,338,287,277.2
C,레아나 Reana,dcf8337aa57ed257b1c76bafbdb5c054,13673,234,64.9,162.2,10532.0,0.47,0.7703,27.74,virtual_only,,356,339,384,360.4
C,감쏘야,05ed3d1a39842c054856aa9b3b29ef18,5699,418,64.9,176.1,11426.1,1.14,2.0049,15.53,virtual_only,,212,340,348,317.6
C,케이사구,bd8ea6e410898451b78bf9445a7642c8,1146,122,64.9,102.4,6643.9,5.66,5.7975,53.2,virtual_only,,556,341,582,480.4
C,이로은,f5c058c445257fa60fc75f91d52712fc,7591,234,64.6,183.8,11870.2,0.85,1.5637,27.61,virtual_only,,356,342,337,342.8
C,해은해은,52dd0f8efdfaed33c881b3da9c74788a,1277,322,64.1,238.9,15320.6,5.02,11.9973,19.91,virtual_only,,276,344,284,306.4
C,민지b,897fa2922e9ecb01471ffd2acf57d66e,2108,160,64.0,157.7,10092.5,3.04,4.7877,40.0,virtual_only,,448,345,406,390.0
C,깅나리,c9392bfbbb1e52a3d022ed9b71c4a60f,4002,306,63.7,248.1,15809.1,1.59,3.9503,20.82,virtual_only,,297,347,275,308.2
C,여 링,d906aed58ea1c8e82fbf6ab4c6110649,6970,359,63.7,157.4,10019.0,0.91,1.4374,17.74,virtual_only,,247,348,410,352.6
C,미사키 하루,9f7467f5f3dfa4ea3dcef2962187d6a2,6152,184,63.4,241.5,15320.0,1.03,2.4902,34.46,virtual_only,,395,349,285,332.6
C,리유 Re You,dd0c8399708b2a4f183ecca14e7175c1,12161,280,62.9,172.7,10865.5,0.52,0.8935,22.46,virtual_only,,313,351,375,353.0
C,시아 이르엘린,93e5e28013a8ab45c1a09fc5ae6135d1,3273,149,62.8,226.7,14242.0,1.92,4.3514,42.15,virtual_only,,472,352,300,355.2
C,푸후,2cf1367e97d68909b024b368d2c4683c,10180,266,62.7,355.0,22253.0,0.62,2.186,23.57,virtual_only,,324,353,205,288.0
C,흑영랑,d0c1e0c1fee95ce6c30633365ff14851,738,314,62.3,189.8,11832.0,8.44,16.0325,19.84,virtual_only,,287,354,338,334.2
C,양메이,f1869f490ddd660c420b2f57c649e6bb,8356,144,62.3,199.7,12431.5,0.75,1.4877,43.26,virtual_only,,489,356,327,371.0
C,이삼둥,4385ebf9aa154e1bdd55fd12b0039912,4265,124,61.8,142.3,8791.1,1.45,2.0612,49.84,virtual_only,,553,358,446,432.2
C,구차뉴,6a972320db5b67b982bfef2780dd9194,3249,146,61.2,167.4,10242.8,1.88,3.1526,41.92,virtual_only,,478,360,396,398.0
C,코리수,d6ca483312eb96b9323c3283eaec6516,13612,120,60.5,167.3,10128.8,0.44,0.7441,50.42,virtual_only,,567,361,403,419.0
C,미네르 Mineru,aa6e91dc838cdf50996ffdb86f5854be,5390,181,60.1,195.5,11744.6,1.12,2.179,33.2,virtual_only,,401,363,342,362.2
C,너나비,a035fc7c8bdd74d644aa134c38619513,2214,315,59.9,178.9,10716.6,2.71,4.8404,19.02,virtual_only,,285,364,382,355.4
C,지새기,6090bbd23b8dab8ffd1844ba71219104,2451,292,59.5,127.8,7610.2,2.43,3.1049,20.38,virtual_only,,307,365,505,409.4
C,오피셜 김청단,9858262504d05971ee57b44f708ab57e,1815,112,59.5,172.0,10239.2,3.28,5.6414,53.12,virtual_only,,603,366,397,425.8
C,새우 새우,90052ce3203b1a6edfddbaf88b759e66,13688,176,59.5,145.5,8661.2,0.43,0.6328,33.81,virtual_only,,411,367,455,411.0
C,호하리 Hohari,437789ebfd9ac58804f1d38281bf03b2,5166,120,59.5,210.7,12532.6,1.15,2.426,49.58,virtual_only,,567,368,323,389.8
C,쿠미르,147592553d18fd240ed2b132f9f3be57,3405,122,59.3,286.5,16975.5,1.74,4.9855,48.61,virtual_only,,556,371,258,362.8
C,초다양 CHODAYANG,74e041007660d7195b1d784839716cb8,2338,114,59.1,189.1,11173.7,2.53,4.7792,51.84,virtual_only,,590,372,359,410.4
C,에린 ERYN,931a442763cbc01cc2d88af283b9781d,1333,196,58.6,129.3,7572.4,4.4,5.6807,29.9,virtual_only,,381,373,509,429.0
C,아사미야 나오,3001c37f75cbf22525da511c05172c5e,5458,492,58.4,176.2,10295.0,1.07,1.8862,11.87,virtual_only,,182,374,393,343.2
C,꿀멩이,6d19acd7aee6783ede66bbb1261381a5,9684,172,58.0,197.4,11450.0,0.6,1.1824,33.72,virtual_only,,425,375,346,373.4
C,이플린,bb09c3d77aedaee9c38144d106dd48dd,6259,253,57.9,196.6,11386.0,0.93,1.8191,22.89,virtual_only,,340,376,349,358.0
C,시롤 SYROLL,d6cd7a188322ab140704593e591013ae,1044,217,57.8,249.5,14420.3,5.54,13.8125,26.64,virtual_only,,372,377,298,344.4
C,잉요ing,93e2d40bc923bbd76fe36ca49eb5ab08,1248,101,57.5,205.4,11808.6,4.61,9.462,56.93,virtual_only,,654,379,339,418.0
C,헛소리0403,eeed421f9cb067c68f5a256313f5b80b,12080,133,57.3,181.4,10395.1,0.47,0.8605,43.08,virtual_only,,521,380,387,411.0
C,앵차루,5aa661567c8c14713a164759d21c036d,1353,155,57.2,116.2,6647.6,4.23,4.9132,36.9,virtual_only,,462,382,579,476.8
C,윤리즈,6fb7f73dcb20077d77e6e053d0362228,5354,278,56.8,369.3,20980.4,1.06,3.9186,20.43,virtual_only,,316,383,213,301.6
C,서논,acb6aedb439d58a73480f01f4b2456c7,3424,130,56.8,178.7,10149.5,1.66,2.9642,43.69,virtual_only,,532,384,400,420.0
C,쟈미쨩,e0274a3a59f75085945727217968968d,3595,97,56.5,216.8,12242.9,1.57,3.4055,58.25,virtual_only,,686,385,332,424.0
C,헤일라 미러,e0488306bfb284fc5d43f84af4a59ce4,1481,114,56.3,104.9,5910.7,3.8,3.991,49.39,virtual_only,,590,386,649,532.0
C,플레디 PLEDDY,51211b5f8f3fe094f3740780aea32db0,3894,342,56.2,148.5,8345.5,1.44,2.1432,16.43,virtual_only,,256,387,467,392.8
C,온하얀 ONHAYAN,91caa53fc6cf5ee3cdbc802bd23bf155,4152,119,56.0,178.6,10001.1,1.35,2.4087,47.06,virtual_only,,570,389,411,434.0
C,솔씨 solssi,79e2928a3fad4b8200f33c3dee6799dc,2227,295,55.9,145.5,8132.6,2.51,3.6518,18.95,virtual_only,,305,390,477,407.8
C,냐코냥,d74c1153ae31557d9065303a08d6f5cf,6124,110,55.8,205.7,11485.0,0.91,1.8754,50.73,virtual_only,,620,391,345,418.4
C,쿠뽀미,73fc52c403eb3485524c02e1a0f2e623,2205,818,55.6,134.8,7495.7,2.52,3.3994,6.8,virtual_only,,129,392,517,389.4
C,옌룡 Yenryong,f49ebb4cc978594951f227badeb5a12c,20314,152,55.6,203.3,11296.6,0.27,0.5561,36.58,virtual_only,,468,393,354,392.4
C,금진영,963d93f0e33be26b837171331b567b7e,2669,111,55.4,196.2,10862.2,2.08,4.0698,49.91,virtual_only,,611,394,376,430.2
C,어화둥둥이,5c92903d370e18878dd4f38bbddc929c,11083,143,55.0,173.5,9550.0,0.5,0.8617,38.46,virtual_only,,492,395,422,425.2
C,유미호 MiHo,44dae7a2b81746e217082f6ef7f81779,2416,135,55.0,303.8,16699.8,2.28,6.9122,40.74,false,,515,396,263,366.6
C,숀쟝,981f18d74bceeb1972197209b7400fc4,19083,213,54.5,150.0,8168.8,0.29,0.4281,25.59,virtual_only,,373,397,471,421.8
C,김띠모,053101af87b327b3e636353a7c4c4905,4696,114,54.2,364.0,19715.9,1.15,4.1984,47.54,virtual_only,,590,398,225,367.2
C,루루엘 아스트리온,0bd59e5f864251961191315e9efecaf1,3048,240,53.9,296.6,16000.9,1.77,5.2496,22.46,virtual_only,,350,399,272,338.4
C,호시에 제로,5786141997728cc2fcd660a15ef5f3af,4840,180,53.8,192.5,10353.8,1.11,2.1392,29.89,virtual_only,,405,400,389,396.6
C,호앵 메로롱,c18e4d94b364804232f017f85e66299e,4993,194,53.5,157.4,8424.4,1.07,1.6872,27.58,virtual_only,,383,403,462,422.6
C,이큐 EQue,74a2d3bb7aa1b0503e21bf58e61bfcc1,3868,108,53.5,204.2,10920.7,1.38,2.8233,49.54,virtual_only,,629,404,372,436.2
C,이 렌,6ddd2ff1d43ae1e23e04e72409e40d84,5053,179,53.0,488.1,25891.5,1.05,5.124,29.61,virtual_only,,406,406,185,317.6
C,믕비MeongBi,a872c0594e60f943748d76c565dd3a07,2362,136,53.0,153.3,8129.5,2.24,3.4418,38.97,virtual_only,,512,407,478,456.4
C,므엥이,b5b18dc043cbf37ee67e4615687b8f77,9091,382,53.0,243.2,12890.7,0.58,1.418,13.87,virtual_only,,227,408,319,336.2
C,김토키,fc1141b66bf941e151e467ceef713acc,13018,843,52.9,148.9,7871.3,0.41,0.6046,6.28,virtual_only,,125,411,491,385.8
C,쿠크리 KUKRI,9e95bfd2c9295ffa6f60dcb1e227af62,1414,106,52.7,114.9,6053.5,3.73,4.2811,49.72,virtual_only,,635,412,632,544.6
C,뵤 오,6086f17b054010b0657af00aff6e6d05,12520,172,52.6,375.1,19733.4,0.42,1.5762,30.58,virtual_only,,425,413,224,339.8
C,쵸꾸미,f61107c04a4ae129873da5a5a25e2527,3655,192,52.5,143.9,7559.7,1.44,2.0683,27.34,virtual_only,,385,414,511,447.0
C,안뉴이 네리,992d8915427e9f8fe7feb08742f95f1e,7763,314,52.4,231.1,12119.9,0.67,1.5612,16.69,virtual_only,,287,415,333,356.6
C,김아이,6270b80533a0d60976d9cd5619024980,3113,259,52.4,106.1,5561.4,1.68,1.7865,20.23,virtual_only,,330,416,679,504.0
C,쇼 카,1963bb156cd9a572916827d4fef7516e,2733,236,51.2,101.2,5180.0,1.87,1.8954,21.69,virtual_only,,355,418,735,532.2
C,채이 chaei,b228271d41131108f4873dbf77bca0f7,3681,145,51.0,273.3,13938.7,1.39,3.7867,35.17,virtual_only,,482,419,304,385.6
C,표커 pyoker,a8413275c3171b4404743683aebbd939,5405,90,51.0,115.0,5865.0,0.94,1.0851,56.67,virtual_only,,741,420,654,577.8
C,유 식혜,6083cd428f4fe0a2c3c806917827e310,3475,156,51.0,214.9,10954.2,1.47,3.1523,32.69,virtual_only,,457,421,370,407.8
C,청예솔,4052512f2144699acc25cabaa6780b1e,5143,102,51.0,311.5,15873.2,0.99,3.0864,50.0,virtual_only,,651,422,273,408.2
C,로카 EroTiKa,216f493f2e25392dd67a7cbf79f263bb,1202,96,50.5,177.6,8960.9,4.2,7.455,52.6,virtual_only,,694,424,440,484.4
C,따람지,491e397278e313b59c62b4526c1b4200,4236,120,50.4,353.9,17846.7,1.19,4.2131,42.0,virtual_only,,567,425,243,380.6
C,루나냥,2dccdac2998bce6a95ab428179e9db48,5891,121,50.2,180.9,9083.2,0.85,1.5419,41.49,virtual_only,,563,426,432,455.8
C,안제이,2c7bd68315677b7d67314235e136d058,2496,163,50.2,155.8,7817.2,2.01,3.1319,30.8,virtual_only,,441,427,493,456.2
C,리 쯔,b361878b4700f18112f833bc5090fb73,3570,111,50.2,229.0,11485.9,1.41,3.2173,45.23,virtual_only,,611,428,344,431.0
C,히 요,117a2373a4908717ddba745d6391978d,5637,97,49.6,152.0,7544.8,0.88,1.3384,51.13,virtual_only,,686,429,513,514.0
C,모로이 모나 같이보기,f795b445d35db5ece3d1d614c1355def,2914,146,49.3,184.1,9078.6,1.69,3.1155,33.77,virtual_only,,478,431,433,441.2
C,호로라 Horora,b54e6349785f789d10edc822c0ef4b89,1377,94,49.1,183.0,8994.1,3.57,6.5317,52.23,virtual_only,,713,432,438,490.6
C,홍서월,227b431ef15d1085ba29f54b8a7048fd,7141,156,48.9,146.7,7171.5,0.68,1.0043,31.35,virtual_only,,457,433,535,478.6
C,금결초,8da2cbae1c627fab3477abfdc9e119bc,4284,128,48.6,519.9,25271.3,1.13,5.899,37.97,true,,540,435,188,357.2
C,포모나,82ece76b683398c8d8d5e2add3360f02,12016,320,48.4,336.8,16285.5,0.4,1.3553,15.12,virtual_only,,278,436,267,336.8
C,쵸요링,e008490d3464797704feac3b9ad8fe67,4952,157,48.1,230.5,11083.8,0.97,2.2382,30.64,virtual_only,,455,438,365,412.2
C,연하온,da098b7b6def60b21ba450c110bf5239,3081,187,47.9,154.8,7421.0,1.55,2.4086,25.61,virtual_only,,390,440,521,462.4
C,키미도리 메로,33d58e8eb2014d6e6c5eb74dcc587ebd,14845,168,47.8,107.5,5139.6,0.32,0.3462,28.45,virtual_only,,434,441,744,560.8
C,시노 레이,6636ac6dcac9c0b1e93b8259b8aced8d,1592,93,47.8,230.9,11037.3,3.0,6.933,51.4,virtual_only,,720,442,367,467.6
C,꾸야에오,2f838d7918af82397837de6ea7b9715b,1608,121,47.2,185.3,8740.5,2.94,5.4356,39.01,virtual_only,,563,443,448,469.0
C,고동백,7efc4ef99cec0b3d2cb5cd844903d282,592,239,46.7,308.9,14433.0,7.89,24.3801,19.54,virtual_only,,351,444,297,366.6
C,김 츄,cd032bc69d4f683e3c645a8d3fc20d42,3275,89,46.3,115.2,5335.5,1.41,1.6292,52.02,virtual_only,,749,447,714,614.2
C,SHIN 희범,60cc882aeddeef86f0bb738fd9e079f3,2294,239,46.2,112.1,5176.5,2.01,2.2565,19.33,virtual_only,,351,450,737,545.0
C,카 일 리,a1e084f0c69d53fa135688f4911a04db,2794,115,45.9,324.9,14897.5,1.64,5.332,39.91,virtual_only,,584,454,290,414.4
C,옥우,73d006ad5ed12000547433ed33a68247,2940,116,45.8,210.5,9648.3,1.56,3.2817,39.48,virtual_only,,580,455,417,464.8
C,이비 EB,baba7db944bf727c82747e3fc2fa3c4d,2185,81,45.7,247.9,11333.1,2.09,5.1868,56.42,virtual_only,,821,456,351,487.0
C,마리모O,10b7410e52f8040ec86ec36c90f8b508,6806,99,45.3,308.3,13959.7,0.67,2.0511,45.76,virtual_only,,666,459,303,438.0
C,댕 키,aa37bbdad4f5f9097bbee2faa3e511f7,857,286,45.1,104.5,4715.2,5.26,5.502,15.77,virtual_only,,311,460,799,565.8
C,류채경,d3feaaee7b98d56475dad56e9ab73827,9648,139,44.9,181.6,8156.2,0.47,0.8454,32.3,virtual_only,,503,462,472,474.2
C,하루야 치에,474b909039b3944632e35acdfb217d3a,1198,145,44.9,379.5,17042.3,3.75,14.2256,30.97,true,,482,463,254,383.2
C,레리리 RIRI,4ea75a0d255c7b40f5cbb2a350ea01b8,2711,101,44.9,274.0,12300.2,1.66,4.5371,44.46,virtual_only,,654,464,331,448.8
C,문서희,be3d3c52d16ccb8ce8e5e33dca7f09a0,3529,115,44.8,291.3,13064.1,1.27,3.7019,38.96,virtual_only,,584,465,315,428.8
C,시이야,5a9a50c3d7c5f5720b050e230d3306dc,6480,133,44.6,415.0,18497.2,0.69,2.8545,33.53,virtual_only,,521,466,238,385.8
C,명칠,9d749360ce1c6c4bc0d59f0e6237e065,5381,74,44.5,161.3,7184.7,0.83,1.3352,60.14,virtual_only,,889,467,533,577.8
C,마지텐 시아 Sia,7f5ce470dbc71195d99704422a02992b,1280,135,44.5,254.6,11327.6,3.48,8.8497,32.96,virtual_only,,515,468,353,431.4
C,사야 세리카,4a372ebe1371e867cf160dcd4deeaf2c,1403,256,44.2,157.1,6945.7,3.15,4.9506,17.27,virtual_only,,337,470,545,473.4
C,퀸슈아,00b3e3351b84827c73d78caba23fa238,6286,100,44.2,100.8,4454.3,0.7,0.7086,44.2,virtual_only,,659,471,845,658.2
C,베르체 Verce,cc0a2ad99af54e3d49c3bcfa2ed7066c,1178,84,44.1,146.9,6473.7,3.74,5.4955,52.5,virtual_only,,787,472,598,585.4
C,지원이어서오고,e613f09589340e95284ec220d90c4470,931,126,44.1,153.2,6749.0,4.74,7.2492,35.0,virtual_only,,545,473,566,524.6
C,솔 아,28087efd3897d10dc58de6c6334f8110,1866,181,43.7,275.8,12050.7,2.34,6.458,24.14,virtual_only,,401,475,334,403.8
C,로쥬마리,d7fcdd7413c90d58e81f4720273795b2,3734,151,43.6,312.6,13631.4,1.17,3.6506,28.87,virtual_only,,470,476,308,407.6
C,일오 채널,97bf6a96e19616aba1a5f95e5dc0a901,2939,96,43.5,359.1,15638.1,1.48,5.3209,45.31,virtual_only,,694,477,278,440.8
C,족제비와토끼,b20c3fe90315b3b88964dbe9dea7f27a,7595,125,43.5,255.7,11126.2,0.57,1.4649,34.8,virtual_only,,549,478,363,446.2
C,좋은나날,37ac1f698a0c99c9341f8dc27e84b4f9,932,250,43.1,240.6,10375.8,4.62,11.1328,17.24,virtual_only,,343,480,388,415.8
C,드얌,424db00719df9531e9e0534851725c6d,4840,83,43.0,341.7,14689.6,0.89,3.035,51.81,virtual_only,,796,481,292,468.4
C,나팔뿝뿌,05fe6d7cecce71ac727f6b7124b05e29,3442,174,42.9,141.9,6091.8,1.25,1.7698,24.66,false,,419,482,627,527.4
C,유다히,e630c27b3c51307c1a064213a4a000bd,2589,69,42.9,116.6,5001.6,1.66,1.9319,62.17,virtual_only,,949,483,757,685.8
C,얀즈,0be2463dd64b33d112655a76cf6be7ea,5621,123,42.9,196.4,8420.1,0.76,1.498,34.88,virtual_only,,555,484,463,489.8
C,서다흰,a9ce5b5e9afd1dfdf99df0ef228b7d1c,719,113,42.7,156.1,6672.5,5.94,9.2803,37.79,virtual_only,,598,485,572,542.4
C,슬묘,48e5feb0e35749b750965c559b6590dd,1100,244,42.5,197.0,8380.5,3.86,7.6186,17.42,virtual_only,,348,487,466,450.8
C,월야화랑,3553849193a26f157ba0b83d6ea1857d,3866,89,42.5,129.7,5516.5,1.1,1.4269,47.75,virtual_only,,749,488,686,619.4
C,유 리앙,e0148650aafbdd530cec9b97251db8c5,4536,197,42.5,315.0,13391.9,0.94,2.9524,21.57,virtual_only,,380,489,312,396.4
C,쨈하니,ba171336221a7fc1ac069b2fc7e7edaf,2836,96,42.5,175.8,7470.6,1.5,2.6342,44.27,virtual_only,,694,491,518,542.4
C,스바루 Subaru,b770b78c6187e716e6b4530597e09522,2787,76,41.8,284.6,11892.3,1.5,4.2671,55.0,virtual_only,,872,494,336,506.4
C,모리 Mori,67e3903479d8025e9df3e743e348de1d,2392,115,41.6,299.9,12469.8,1.74,5.2131,36.17,virtual_only,,584,495,325,444.8
C,라망 Lamant,bef4ad50f587b53403bf5235d9aa7fcc,1893,69,41.5,116.7,4846.6,2.19,2.5603,60.14,false,,949,496,780,700.2
C,이운비,5fb53f10e2fe2dfe77cb2cc007d63c42,1906,360,41.4,270.3,11191.0,2.17,5.8715,11.5,virtual_only,,246,497,358,391.2
C,이토 제로,1162f959f6cc26814d16f5d364d43a06,1878,115,41.1,264.5,10873.1,2.19,5.7897,35.74,virtual_only,,584,498,373,465.2
C,정레나,76ec1d49712f829dc5f1e485127a08fd,3869,133,40.8,161.6,6597.2,1.05,1.7051,30.68,virtual_only,,521,499,585,537.8
C,10송,79d0b29819d33db4b3309584b789c4d6,1173,106,40.3,238.8,9629.6,3.44,8.2094,38.02,false,,635,501,419,495.0
C,콘야 유메이,6c60ddcd83b2543a4a339a79fbdbb949,1032,115,40.2,337.3,13546.2,3.9,13.1262,34.96,virtual_only,,584,502,310,441.6
C,망크빵,acbd664b89beaa522b1c65d1625e7340,2613,159,40.1,277.0,11111.8,1.53,4.2525,25.22,virtual_only,,449,503,364,436.6
C,시공보이,afd12ea904a658d888db3a8353d6a160,425,112,40.1,121.8,4882.6,9.44,11.4885,35.8,virtual_only,,603,504,770,630.2
C,차차엘,1222205011fdd76b663d7b082effcc38,4303,118,40.0,411.3,16453.1,0.93,3.8236,33.9,virtual_only,,574,505,265,422.8
C,와조킨치,1167f646012d19167d57243cb1d7d938,10179,90,39.9,180.9,7219.5,0.39,0.7093,44.33,virtual_only,,741,506,530,562.6
C,별빛스즈,4a33d0caaecfe788df26c9d1e5abdaaf,775,73,39.7,153.0,6075.7,5.12,7.8396,54.38,virtual_only,,901,507,629,634.6
C,꼼지라쿠,36a434c26b9da377a538a6e4b2b6f2c6,447,98,39.7,163.4,6488.3,8.88,14.5152,40.51,false,,672,508,594,575.2
C,아세비,374eb60afe2276c834bb0a8005a1e390,4654,83,39.5,165.7,6544.4,0.85,1.4062,47.59,virtual_only,,796,509,587,597.6
C,아리스마나,dc132ee274a3c2034db4e6e188aa4bed,9208,127,39.4,220.9,8702.5,0.43,0.9451,31.02,virtual_only,,542,512,452,494.0
C,카루메,8f1942d6145656362a585633bc646e53,2733,301,39.1,263.6,10313.8,1.43,3.7738,12.99,false,,300,513,391,421.6
C,꽃분홍,354a21d5de27d11b47be0ec8008a89ce,1148,84,39.0,193.8,7553.8,3.4,6.58,46.43,virtual_only,,787,516,512,568.6
C,냐페르,5d6a0908bb4eac47f3d839cbffe60961,623,125,39.0,128.8,5018.8,6.26,8.0559,31.2,virtual_only,,549,517,756,619.0
C,김네네1,07b9e4102fb92e546a3aff932babea08,472,148,38.9,126.2,4907.8,8.24,10.3979,26.28,virtual_only,,474,518,766,608.4
C,반팽,f36366e55da4225c6e1512e5cffffb28,305,139,38.8,140.7,5460.6,12.72,17.9036,27.91,virtual_only,,503,519,697,587.0
C,세레나 Serena,4719905f955b76f5a7e741fa81f6ae1a,707,135,38.5,193.8,7469.1,5.45,10.5645,28.52,virtual_only,,515,520,519,518.6
C,차니0110,531a13d0f6e13972eb37775768d1410d,1864,79,38.5,282.4,10872.6,2.07,5.8329,48.73,virtual_only,,839,521,374,525.8
C,루아 블루벨,c84df61388f2c2bb8afac273bfd4d90b,2123,98,38.5,235.4,9061.6,1.81,4.2683,39.29,virtual_only,,672,522,434,516.8
C,갈 구 리,4f8439f250042ac377b903cda29b150f,2399,62,38.4,128.3,4933.0,1.6,2.0563,61.94,virtual_only,,1048,523,762,723.6
