channel_name,channelId,channel_url,platform,follower,categories,is_general_game,is_virtual,peak_max,peak_p95,peak_median,peak_recent_median,avg_median,avg_recent_median,stream_hours,ts_weeks,band,final_include,cohort_role,is_overlap
듀 나,6e872ef76e61aee6fd9aed66077a9f4c,https://chzzk.naver.com/live/6e872ef76e61aee6fd9aed66077a9f4c,chzzk,1587.0,이스케이프 프롬 타르코프;마인크래프트;로스트아크,False,True,37.0,53.0,33.0,25.0,15.0,15.0,88.2,144.0,True,True,peer_T2,True
아도카도,0537e132c47b6d4fa46650e30ba39d4a,https://chzzk.naver.com/live/0537e132c47b6d4fa46650e30ba39d4a,chzzk,2703.0,talk;림버스 컴퍼니;서브노티카 2,False,True,30.0,36.0,23.0,25.0,17.0,17.0,78.9,115.0,True,True,peer_T2,False
노빠꾸 철권소담TV,f7e71c69f222a684ed3e323e025d1fa7,https://chzzk.naver.com/live/f7e71c69f222a684ed3e323e025d1fa7,chzzk,3669.0,talk;마인크래프트;림월드,False,True,50.0,70.0,31.0,25.0,18.0,18.0,63.8,129.0,True,True,peer_T2,False
아오하루 히카루 Wishing,4109c47454d53539ba75b26f2a6e94b5,https://chzzk.naver.com/live/4109c47454d53539ba75b26f2a6e94b5,chzzk,336.0,talk;요시와 신기한 도감;포르자 호라이즌 6,False,True,24.0,28.0,22.0,25.0,14.0,14.0,130.4,105.0,True,True,peer_T2,False
엘 카오스 라이메데,90d25b47d255d650d20312f8cc9408de,https://chzzk.naver.com/live/90d25b47d255d650d20312f8cc9408de,chzzk,3244.0,talk;라이브러리 오브 루이나;오버워치,False,True,35.0,85.0,34.0,25.0,21.5,20.0,53.5,128.0,True,True,peer_T2,False
뷔뷔엣,544a481c43a253492ecddf0a92bd86ca,https://chzzk.naver.com/live/544a481c43a253492ecddf0a92bd86ca,chzzk,794.0,talk;단간론파: 희망의 학원과 절망의 고교생;용과 같이 0: 맹세의 장소,False,True,31.0,91.0,30.0,25.0,19.0,19.0,82.1,126.0,True,True,peer_T2,False
니유,3e871ee5eeefd77fff44260a29f24071,https://chzzk.naver.com/live/3e871ee5eeefd77fff44260a29f24071,chzzk,422.0,talk;그림/아트;더 클래스룸,False,True,29.0,39.0,29.0,25.0,18.0,17.0,62.6,117.0,True,True,peer_T2,False
루린아0,37a5b413b2360b6b449e061ed4057693,https://chzzk.naver.com/live/37a5b413b2360b6b449e061ed4057693,chzzk,2648.0,talk;친구모아 아일랜드 두근두근 라이프;마인크래프트,False,True,27.0,46.0,30.0,25.0,16.0,16.0,52.1,110.0,True,True,peer_T2,True
연보민,7839037e2c05af7473df365aab79fbaa,https://chzzk.naver.com/live/7839037e2c05af7473df365aab79fbaa,chzzk,897.0,talk;검은사막;이환,False,True,44.0,59.0,30.0,24.0,21.0,20.0,264.7,132.0,True,True,peer_T2,True
버튜버를시기한재신쿤,85527008aabf2458456aab0554a81879,https://chzzk.naver.com/live/85527008aabf2458456aab0554a81879,chzzk,373.0,월드 오브 워크래프트: 한밤;종합 게임;talk,False,True,32.0,44.0,29.0,24.0,13.0,14.0,193.3,141.0,True,True,peer_T2,False
토짜미,fd7414e8428411e3b42247643b1f49fe,https://chzzk.naver.com/live/fd7414e8428411e3b42247643b1f49fe,chzzk,1139.0,던전앤파이터;승리의 여신: 니케;그레이브야드 키퍼,False,True,32.0,46.0,30.0,24.0,17.0,17.0,134.6,145.0,True,True,peer_T2,False
동준인대영tv,61acacd56ff16f2b5cd09aa8b9d5002d,https://chzzk.naver.com/live/61acacd56ff16f2b5cd09aa8b9d5002d,chzzk,2203.0,talk;리그 오브 레전드;007 퍼스트 라이트,False,True,42.0,50.0,30.0,24.0,21.0,19.0,104.0,129.0,True,True,peer_T2,False
불꽃빡빡,3c756c71b2c4a1bda8ee7a398e626f17,https://chzzk.naver.com/live/3c756c71b2c4a1bda8ee7a398e626f17,chzzk,656.0,토탈 워: 워해머 3;림월드;아노 1800,False,True,35.0,35.0,25.0,24.0,16.0,17.0,93.8,92.0,True,True,peer_T2,True
키 맨,b3f6e84450055948f1e9faea3fa6f870,https://chzzk.naver.com/live/b3f6e84450055948f1e9faea3fa6f870,chzzk,733.0,"talk;음악/노래;구구 피자 : 우주 정거장으로 피자 배달이라니? 사장님, 이건 좀 아니잖아요!",False,True,30.0,46.0,26.0,24.0,18.0,17.0,45.7,106.0,True,True,peer_T2,False
얄네,642cb40de294be8f136fc8566f4f199e,https://chzzk.naver.com/live/642cb40de294be8f136fc8566f4f199e,chzzk,708.0,PUBG: 배틀그라운드;리그 오브 레전드;talk,False,True,36.0,40.0,31.0,23.0,16.0,12.0,286.9,142.0,True,True,peer_T2,False
갱생 이고르,edca046a9e1e8fa80bc35b7fb8855b0b,https://chzzk.naver.com/live/edca046a9e1e8fa80bc35b7fb8855b0b,chzzk,1587.0,talk;마인크래프트;이환,False,True,31.0,36.0,24.0,23.0,16.0,16.0,70.8,136.0,True,True,peer_T2,False
뷰웅,470676f84e08d8a4c50f2c5288938be6,https://chzzk.naver.com/live/470676f84e08d8a4c50f2c5288938be6,chzzk,5579.0,talk;데이브 더 다이버;구스 구스 덕,False,True,35.0,33.0,25.0,23.0,19.0,18.0,52.8,127.0,True,True,peer_T2,False
모잉,07665c7c871c47714c926e1aca7164ae,https://chzzk.naver.com/live/07665c7c871c47714c926e1aca7164ae,chzzk,1386.0,메이플스토리 월드;talk;영화,False,True,28.0,91.0,27.5,23.0,13.0,13.0,78.6,132.0,True,True,peer_T2,False
김태환90,9e8a6e8919730f4b06af6a4c5cca165f,https://chzzk.naver.com/live/9e8a6e8919730f4b06af6a4c5cca165f,chzzk,734.0,마인크래프트;로스트아크;talk,False,True,22.0,26.0,17.0,23.0,10.5,15.0,86.2,132.0,True,True,peer_T2,True
득충,a46e4420d750f17b3c764bc422a6f411,https://chzzk.naver.com/live/a46e4420d750f17b3c764bc422a6f411,chzzk,862.0,몬스터 헌터 와일즈;talk;서브노티카 2,False,True,35.0,35.0,24.0,23.0,15.0,15.0,47.5,138.0,True,True,peer_T2,False
달잉o,b3e9f222e434ae3016276987bf080eb4,https://chzzk.naver.com/live/b3e9f222e434ae3016276987bf080eb4,chzzk,3814.0,음악/노래;talk;초자연 작전팀,False,True,32.0,58.0,26.0,23.0,21.0,20.0,37.8,113.0,True,True,peer_T2,False
평범소,7f148028d1b8b3feab3a5442badded46,https://chzzk.naver.com/live/7f148028d1b8b3feab3a5442badded46,chzzk,1364.0,PUBG: 배틀그라운드;발로란트;마인크래프트,False,True,21.0,30.0,18.0,23.0,10.0,11.0,69.8,148.0,True,True,peer_T2,True
l늘푸름l,85eb67daa4822df8a31f1cdbd74c34da,https://chzzk.naver.com/live/85eb67daa4822df8a31f1cdbd74c34da,chzzk,2497.0,talk;이환;종합 게임,False,True,31.0,29.0,18.0,22.0,12.0,12.0,164.3,123.0,True,True,peer_T2,False
루아 블루벨,adeb7ab9d551519ccfae37b3788c40f1,https://chzzk.naver.com/live/adeb7ab9d551519ccfae37b3788c40f1,chzzk,2025.0,디아블로 4: 증오의 군주;패스 오브 엑자일 2;세피리아,False,True,36.0,88.0,34.5,22.0,16.0,15.0,124.9,112.0,True,True,peer_T2,True
미 우,d7140e80bad5ce031524c726a5207ecf,https://chzzk.naver.com/live/d7140e80bad5ce031524c726a5207ecf,chzzk,857.0,"톰 클랜시의 더 디비전 2;킹덤언더파이어: 히어로즈;워해머 40,000: 스페이스 마린 2",False,True,30.0,33.0,25.0,22.0,19.0,15.0,125.0,135.0,True,True,peer_T2,False
CASKER,d8f9cfab91b27abb7b3f7f2c1a186e29,https://chzzk.naver.com/live/d8f9cfab91b27abb7b3f7f2c1a186e29,chzzk,2046.0,음악/노래;talk;엘든 링,False,True,36.0,121.0,36.0,22.0,17.0,16.0,100.2,135.0,True,True,peer_T2,True
Lebe,8410e08fd6359ed491b5ad366994fa0d,https://chzzk.naver.com/live/8410e08fd6359ed491b5ad366994fa0d,chzzk,718.0,유희왕 마스터 듀얼;림버스 컴퍼니;야구,False,True,28.0,34.0,21.0,22.0,13.0,13.0,169.8,115.0,True,True,peer_T2,True
달보그레,f964cca49eac931fcac2a5be7c1b349f,https://chzzk.naver.com/live/f964cca49eac931fcac2a5be7c1b349f,chzzk,1356.0,월드 오브 워크래프트: 한밤;바이오하자드 RE:2;007 퍼스트 라이트,False,True,20.0,40.0,22.0,22.0,15.0,15.0,81.0,137.0,True,True,peer_T2,False
미카 Mika,910178578a17431ecb3292b609a63bc4,https://chzzk.naver.com/live/910178578a17431ecb3292b609a63bc4,chzzk,1232.0,마인크래프트;talk;두근두근타운,False,True,38.0,38.0,26.0,21.0,15.0,15.0,251.7,118.0,True,True,peer_T2,False
꽃분홍,a3a9a476ea4dd0eef053d76403c59aa5,https://chzzk.naver.com/live/a3a9a476ea4dd0eef053d76403c59aa5,chzzk,696.0,talk;음악/노래;종합 게임,False,True,47.0,43.0,23.0,21.0,13.5,13.0,122.6,112.0,True,True,peer_T2,False
바뷰뷰,fa13aa7f06e0ab87ff5eee9935d40c98,https://chzzk.naver.com/live/fa13aa7f06e0ab87ff5eee9935d40c98,chzzk,783.0,스톰 스트라이커;talk;작혼: 리치 마작,False,True,49.0,48.0,23.0,21.0,15.0,14.0,165.0,124.0,True,True,peer_T2,False
김꼬멍,7ed88067545ffab624ab36d4e495c31e,https://chzzk.naver.com/live/7ed88067545ffab624ab36d4e495c31e,chzzk,1229.0,talk;용과 같이 7 빛과 어둠의 행방 International;종합 게임,False,True,23.0,86.0,25.0,21.0,16.0,15.0,112.4,119.0,True,True,peer_T2,False
유채담,ee279ba91e254d53bce40b7a1b323bda,https://chzzk.naver.com/live/ee279ba91e254d53bce40b7a1b323bda,chzzk,954.0,검은사막;에이펙스 레전드;워프레임,False,True,41.0,93.0,42.0,21.0,21.0,10.0,161.7,118.0,False,True,peer_T2,True
어츄,6bc69f9a1344b88409665323ea8cd925,https://chzzk.naver.com/live/6bc69f9a1344b88409665323ea8cd925,chzzk,804.0,talk;명조:워더링 웨이브;아주르 프로밀리아,False,True,21.0,32.0,21.0,21.0,10.0,11.0,116.4,134.0,True,True,peer_T2,False
김초나,f9c5767197acf2b93313d2f57d432a8d,https://chzzk.naver.com/live/f9c5767197acf2b93313d2f57d432a8d,chzzk,1133.0,talk;붉은사막;포르자 호라이즌 6,False,True,30.0,38.0,25.0,21.0,15.0,15.0,89.7,145.0,True,True,peer_T2,False
일로하,40d277bcb13fc704ed7142cc974defb8,https://chzzk.naver.com/live/40d277bcb13fc704ed7142cc974defb8,chzzk,1812.0,talk;VR챗;마인크래프트,False,True,31.0,52.0,33.0,21.0,17.0,15.0,63.2,134.0,True,True,peer_T2,False
하야세 알카드,b8c7bed625293faf610cde79ccca139d,https://chzzk.naver.com/live/b8c7bed625293faf610cde79ccca139d,chzzk,904.0,talk;마인크래프트;에이펙스 레전드,False,True,27.0,34.0,23.0,21.0,13.0,12.0,87.1,143.0,True,True,peer_T2,False
Lee노바,beae152e925e1b47c9934721733d9b1e,https://chzzk.naver.com/live/beae152e925e1b47c9934721733d9b1e,chzzk,790.0,talk;Once Human;림버스 컴퍼니,False,True,27.0,31.0,23.0,21.0,16.0,16.0,53.7,136.0,True,True,peer_T2,False
쿠라맛챠,d82829566190e566da4d8e97308d5993,https://chzzk.naver.com/live/d82829566190e566da4d8e97308d5993,chzzk,4203.0,발로란트;그라운디드 2;그라운디드,False,True,19.0,27.0,20.0,21.0,12.0,13.0,77.7,139.0,True,True,peer_T2,True
나은0,4a62ee4e2d30ac11709453faf4583f1a,https://chzzk.naver.com/live/4a62ee4e2d30ac11709453faf4583f1a,chzzk,299.0,종합 게임,False,True,32.0,26.0,20.0,20.0,14.0,14.0,386.9,54.0,True,True,peer_T2,True
이쿠롬,c60605305243b0234e4cd0d10a675b05,https://chzzk.naver.com/live/c60605305243b0234e4cd0d10a675b05,chzzk,1736.0,PUBG: 배틀그라운드;마인크래프트;스톰 스트라이커,False,True,27.0,39.0,24.0,20.0,12.0,12.0,157.2,125.0,True,True,peer_T2,True
핏코로 piccolo,881f5b83ead2350fa1f19a83ac924230,https://chzzk.naver.com/live/881f5b83ead2350fa1f19a83ac924230,chzzk,596.0,작혼: 리치 마작;talk;림버스 컴퍼니,False,True,28.0,32.0,24.0,20.0,14.0,14.0,124.6,141.0,True,True,peer_T2,False
박 잔디,aca36e99198a7587de9dd1bbe324fd87,https://chzzk.naver.com/live/aca36e99198a7587de9dd1bbe324fd87,chzzk,698.0,리그 오브 레전드;서든어택;talk,False,True,27.0,35.0,25.0,20.0,13.0,12.0,111.1,139.0,True,True,peer_T2,True
삼사마,66630781c437e465edf43de3cfd19b3b,https://chzzk.naver.com/live/66630781c437e465edf43de3cfd19b3b,chzzk,557.0,라이브러리 오브 루이나;종합 게임;성세천하: 여제의 탄생,False,True,29.0,41.0,26.0,20.0,16.0,15.0,59.4,127.0,True,True,peer_T2,True
포니고라운드,aa26e59c91a22bd430ec1d5d6d965dac,https://chzzk.naver.com/live/aa26e59c91a22bd430ec1d5d6d965dac,chzzk,1185.0,서브노티카 2;미나 더 할로워;talk,False,True,38.0,44.0,26.0,20.0,18.0,15.0,43.3,123.0,True,True,peer_T2,True
김정폭,8d2a6539c9b0570f9d69c8539eebeb69,https://chzzk.naver.com/live/8d2a6539c9b0570f9d69c8539eebeb69,chzzk,732.0,talk;서브노티카;이환,False,True,47.0,47.0,23.0,19.0,12.0,11.0,629.6,111.0,True,True,peer_T2,True
이 렌 이 렌,b9a9c0046303e93448e799900347a3d2,https://chzzk.naver.com/live/b9a9c0046303e93448e799900347a3d2,chzzk,898.0,마비노기 모바일;talk;이환,False,True,35.0,35.0,25.0,19.0,17.0,15.0,117.4,134.0,True,True,peer_T2,False
김용녀,0c4cc4f356578842d1bfa26708e08384,https://chzzk.naver.com/live/0c4cc4f356578842d1bfa26708e08384,chzzk,1107.0,talk;이터널 리턴;슬레이 더 스파이어 2,False,True,27.0,73.0,26.0,19.0,19.0,15.0,118.9,126.0,True,True,peer_T2,False
YT Alpa,c6b716b20c8cc9d992fb5ae069468de3,https://chzzk.naver.com/live/c6b716b20c8cc9d992fb5ae069468de3,chzzk,461.0,talk;슈퍼 마리오 메이커 2;마리오 카트 월드,False,True,26.0,26.0,20.0,19.0,14.0,12.0,155.1,129.0,True,True,peer_T2,False
고니시치,59b4a707b8eecdde31e921be2642223c,https://chzzk.naver.com/live/59b4a707b8eecdde31e921be2642223c,chzzk,452.0,talk;철권 8;엘든 링,False,True,20.0,26.0,20.0,19.0,13.0,14.0,117.8,143.0,True,True,peer_T2,False
권라치,1c4cbafbd49aa741d272bea73b67aa2c,https://chzzk.naver.com/live/1c4cbafbd49aa741d272bea73b67aa2c,chzzk,1221.0,마인크래프트;이환;talk,False,True,23.0,29.0,19.0,19.0,13.0,12.0,91.8,126.0,True,True,peer_T2,True
더스트v,acf6dd771e87a5ac8199f3850cbce994,https://chzzk.naver.com/live/acf6dd771e87a5ac8199f3850cbce994,chzzk,963.0,마비노기 모바일;승리의 여신: 니케;몬길: STAR DIVE,False,True,25.0,38.0,18.0,19.0,11.0,11.0,93.2,119.0,True,True,peer_T2,True
수리하,f3cf176831b673829fad548f8f66db87,https://chzzk.naver.com/live/f3cf176831b673829fad548f8f66db87,chzzk,1603.0,talk;마인크래프트;펜티먼트,False,True,27.0,40.0,24.0,19.0,12.0,13.0,57.6,143.0,True,True,peer_T2,False
찍먹별강,0d8a7b2da24e3648408b9fef32e7824d,https://chzzk.naver.com/live/0d8a7b2da24e3648408b9fef32e7824d,chzzk,643.0,talk;엘든 링;마법소녀의 마녀재판,False,True,41.0,42.0,21.0,19.0,14.0,13.0,47.2,65.0,True,True,peer_T2,False
쁘눙공작,4cd76d9219e872fb80681d13308025c6,https://chzzk.naver.com/live/4cd76d9219e872fb80681d13308025c6,chzzk,295.0,종합 게임;용과 같이 0: 맹세의 장소;talk,False,True,25.0,26.0,20.0,18.0,11.0,11.0,1326.3,135.0,True,True,peer_T2,True
은둔이,5992c0c83aaec4f64199fb265e0285ec,https://chzzk.naver.com/live/5992c0c83aaec4f64199fb265e0285ec,chzzk,1031.0,talk;마비노기;이환,False,True,25.0,25.0,16.0,18.0,8.0,10.0,487.0,149.0,True,True,peer_T2,True
유다밍,97be9cdfb3dcd0c98219dfcbffb4baab,https://chzzk.naver.com/live/97be9cdfb3dcd0c98219dfcbffb4baab,chzzk,1020.0,talk;명조:워더링 웨이브;종합 게임,False,True,29.0,33.0,20.0,18.0,13.0,11.0,137.0,147.0,True,True,peer_T2,False
나들희,827cf700086734c7b700e138eaf9f57e,https://chzzk.naver.com/live/827cf700086734c7b700e138eaf9f57e,chzzk,647.0,스플래툰 3;두근두근타운;talk,False,True,26.0,24.0,16.0,18.0,10.0,11.0,155.4,116.0,True,True,peer_T2,True
김피엔,33a1437c1164b51cb395d242ce36bd53,https://chzzk.naver.com/live/33a1437c1164b51cb395d242ce36bd53,chzzk,406.0,talk;마왕성 스토리;포켓몬 포코피아,False,True,30.0,24.0,19.0,18.0,16.0,15.0,116.3,125.0,True,True,peer_T2,False
미네르 Mineru,69996ac83db681049e110c5883f05f39,https://chzzk.naver.com/live/69996ac83db681049e110c5883f05f39,chzzk,849.0,talk;에이펙스 레전드;서브노티카: 빌로우 제로,False,True,21.0,36.0,21.0,18.0,13.0,14.0,108.5,119.0,True,True,peer_T2,True
빵 코,d4c8d01276625c7fde0c8fa648d6ac83,https://chzzk.naver.com/live/d4c8d01276625c7fde0c8fa648d6ac83,chzzk,661.0,talk;음악/노래,False,True,25.0,44.0,22.0,18.0,14.0,12.0,72.7,89.0,True,True,peer_T2,False
츄아공주,160d1e6a8d9304fd44c2810c31330d8b,https://chzzk.naver.com/live/160d1e6a8d9304fd44c2810c31330d8b,chzzk,701.0,메이플스토리 월드,False,True,25.0,61.0,28.0,18.0,14.0,12.0,52.7,126.0,True,True,peer_T2,False
서넹,74464510ad0e4fad4c855aff6d483b84,https://chzzk.naver.com/live/74464510ad0e4fad4c855aff6d483b84,chzzk,,,False,True,48.0,31.0,24.0,17.0,13.0,11.0,3013.0,124.0,True,True,peer_T2,False
밍쑨,3ea47d1b635b154d30f20ce0e6ce6b13,https://chzzk.naver.com/live/3ea47d1b635b154d30f20ce0e6ce6b13,chzzk,1205.0,talk;종합 게임;서브노티카 2,False,True,24.0,67.0,21.0,17.0,11.0,11.0,318.3,128.0,True,True,peer_T2,True
세키오,0cfb40c68e56441c3e0ca58231e3523b,https://chzzk.naver.com/live/0cfb40c68e56441c3e0ca58231e3523b,chzzk,1155.0,talk;종합 게임;이환,False,True,21.0,21.0,16.0,17.0,11.0,12.0,135.1,109.0,True,True,peer_T2,True
방장 라라,b2382c5940fe09f71f6de5a740d2de2b,https://chzzk.naver.com/live/b2382c5940fe09f71f6de5a740d2de2b,chzzk,1792.0,림버스 컴퍼니;서브노티카 2;talk,False,True,24.0,72.0,18.0,17.0,11.0,9.0,94.6,92.0,True,True,peer_T2,False
마무 Mamuu,a9e9faf32d32f089b07eb6213e9f4254,https://chzzk.naver.com/live/a9e9faf32d32f089b07eb6213e9f4254,chzzk,432.0,블랙 메사;종합 게임;하프라이프,False,True,24.0,24.0,18.0,17.0,12.0,10.0,64.4,91.0,True,True,peer_T2,True
반달곰탱이방송,4d93eaefb9387f2245e36634890d4c28,https://chzzk.naver.com/live/4d93eaefb9387f2245e36634890d4c28,chzzk,772.0,PUBG: 배틀그라운드;talk;종합 게임,False,True,27.0,23.0,15.0,16.0,10.0,10.0,406.5,128.0,True,True,peer_T2,True
꿀 지,8d3db5769db2ad8d570eeaadece62a23,https://chzzk.naver.com/live/8d3db5769db2ad8d570eeaadece62a23,chzzk,687.0,로스트아크;talk;음악/노래,False,True,15.0,34.0,19.0,16.0,10.0,9.0,146.7,120.0,True,True,peer_T2,False
HAKKA,77a81ceffdab49f687a3e39ddf04a6fe,https://chzzk.naver.com/live/77a81ceffdab49f687a3e39ddf04a6fe,chzzk,804.0,talk;성세천하: 여제의 탄생 Ⅱ;방 탈출 시뮬레이터2,False,True,20.0,21.0,15.5,16.0,11.0,11.0,79.3,144.0,True,True,peer_T2,False
백야 BY,2626f1dee4cedd89ecc8c4c313e37ecc,https://chzzk.naver.com/live/2626f1dee4cedd89ecc8c4c313e37ecc,chzzk,1110.0,마인크래프트;talk;음악/노래,False,True,20.0,73.0,26.0,16.0,13.0,11.0,72.0,137.0,True,True,peer_T2,True
힌마,afa190011447404d61d3c4f43c5c12a2,https://chzzk.naver.com/live/afa190011447404d61d3c4f43c5c12a2,chzzk,776.0,talk,False,True,23.0,25.0,16.0,16.0,12.0,13.0,78.3,109.0,True,True,peer_T2,False
꿀 뭉,cc64019fefa379cf48732a00420102b1,https://chzzk.naver.com/live/cc64019fefa379cf48732a00420102b1,chzzk,1016.0,그랜드체이스 클래식;종합 게임;테일즈런너,False,True,23.0,34.0,23.0,16.0,14.0,10.0,54.3,146.0,True,True,peer_T2,False
이북런치,a4ab594f591cf984060e2566253636d8,https://chzzk.naver.com/live/a4ab594f591cf984060e2566253636d8,chzzk,566.0,리그 오브 레전드;종합 게임;PUBG: 배틀그라운드,False,True,17.0,21.0,16.0,16.0,11.0,11.0,75.1,105.0,True,True,peer_T2,False
안드레온,833c5d419e93202a284621fcefd4f817,https://chzzk.naver.com/live/833c5d419e93202a284621fcefd4f817,chzzk,196.0,두근두근타운;림버스 컴퍼니;talk,False,True,17.0,18.0,11.0,16.0,7.0,11.0,99.8,116.0,True,True,peer_T2,False
딸기주스한잔,78c9480053d17ccd049a5700d3a3062a,https://chzzk.naver.com/live/78c9480053d17ccd049a5700d3a3062a,chzzk,1333.0,몬스터 헌터 와일즈;코어 키퍼;산소미포함,False,True,21.0,28.0,16.0,15.0,9.0,9.0,944.6,142.0,True,True,peer_T2,True
민네,8a1fcaa6cc114ca1662cdad86041bfd8,https://chzzk.naver.com/live/8a1fcaa6cc114ca1662cdad86041bfd8,chzzk,1363.0,talk;붉은사막;명조:워더링 웨이브,False,True,34.0,40.0,21.0,15.0,11.0,10.0,283.9,142.0,True,True,peer_T2,False
체리쉬 cherrysh,0dd5988f5922e65c9bfd627973ab5878,https://chzzk.naver.com/live/0dd5988f5922e65c9bfd627973ab5878,chzzk,1327.0,메이플스토리 월드;talk;리그 오브 레전드,False,True,26.0,32.0,20.0,15.0,11.0,9.0,176.9,133.0,True,True,peer_T2,False
집에갈까,5c65cfbf556340d403b28935aa84a581,https://chzzk.naver.com/live/5c65cfbf556340d403b28935aa84a581,chzzk,649.0,talk;커피 토크 도쿄;성세천하: 여제의 탄생 Ⅱ,False,True,16.0,20.0,15.0,15.0,10.0,10.0,120.2,137.0,True,True,peer_T2,False
나유안,d319cb8491dfd75979d47ca1b19fc083,https://chzzk.naver.com/live/d319cb8491dfd75979d47ca1b19fc083,chzzk,1231.0,talk;R.E.P.O.;시크릿 커리큘럼,False,True,24.0,21.0,15.0,15.0,10.0,9.0,94.0,134.0,True,True,peer_T2,False
청호랑,10896860a85c180bff0720cd59a7b33f,https://chzzk.naver.com/live/10896860a85c180bff0720cd59a7b33f,chzzk,1003.0,talk;메이플스토리 월드;던전앤파이터,False,True,33.0,29.0,17.0,15.0,12.0,9.0,50.4,135.0,True,True,peer_T2,False
오피셜 김청단,b9aa434ac6960331d9e91e84a6f22b70,https://chzzk.naver.com/live/b9aa434ac6960331d9e91e84a6f22b70,chzzk,602.0,림버스 컴퍼니;talk;TRPG,False,True,21.0,22.0,16.0,14.0,10.5,9.0,244.5,132.0,True,True,peer_T2,False
듀파,1218d91de2df4a7f6416a7c986418ba5,https://chzzk.naver.com/live/1218d91de2df4a7f6416a7c986418ba5,chzzk,671.0,talk;명조:워더링 웨이브;007 퍼스트 라이트,False,True,22.0,19.0,14.0,14.0,9.0,10.0,118.0,143.0,True,True,peer_T2,False
이치순,eaa4c99fc7b796b38d2c33b4c6ae4327,https://chzzk.naver.com/live/eaa4c99fc7b796b38d2c33b4c6ae4327,chzzk,910.0,발로란트;talk;종합 게임,False,True,14.0,17.0,11.0,14.0,6.0,9.0,217.5,137.0,True,True,peer_T2,False
시드김,bc7c2a2985adbe75fbc21d80ed984103,https://chzzk.naver.com/live/bc7c2a2985adbe75fbc21d80ed984103,chzzk,706.0,V 라이징;talk;림월드,False,True,18.0,23.0,16.0,14.0,10.0,9.0,184.5,132.0,True,True,peer_T2,False
해초분쇄기,352c8680476faff9ea52e77f9692aa4e,https://chzzk.naver.com/live/352c8680476faff9ea52e77f9692aa4e,chzzk,1095.0,발로란트;PUBG: 배틀그라운드;talk,False,True,28.0,26.0,17.0,14.0,10.0,8.0,86.4,141.0,True,True,peer_T2,False
망크빵,47696c96a78762ec9d14eaabd90c7813,https://chzzk.naver.com/live/47696c96a78762ec9d14eaabd90c7813,chzzk,791.0,리그 오브 레전드;스크릿치 스크래치;프래그마타,False,True,18.0,27.0,18.0,14.0,10.0,9.0,126.1,141.0,True,True,peer_T2,False
세페일,3a042c2719502eca2e63e060cb001bcf,https://chzzk.naver.com/live/3a042c2719502eca2e63e060cb001bcf,chzzk,505.0,talk;명조:워더링 웨이브;콜 오브 듀티 : 모던 워페어 리마스터드,False,True,18.0,18.0,12.0,14.0,9.0,10.0,90.5,128.0,True,True,peer_T2,False
무하디,5ce0d592f7692ab7653d1b9cef0c8e60,https://chzzk.naver.com/live/5ce0d592f7692ab7653d1b9cef0c8e60,chzzk,151.0,그림/아트;talk;종합 게임,False,True,23.0,18.0,13.5,14.0,7.0,7.0,134.2,88.0,True,True,peer_T2,False
루루비,c1f9442355e1577a7e3375214e6274c7,https://chzzk.naver.com/live/c1f9442355e1577a7e3375214e6274c7,chzzk,1269.0,PUBG: 배틀그라운드;마인크래프트;오버워치,False,True,23.0,50.0,19.0,14.0,10.0,9.0,78.8,137.0,True,True,peer_T2,False
영갓이,cc44d50829c2b4152ddc9c0fede33a38,https://chzzk.naver.com/live/cc44d50829c2b4152ddc9c0fede33a38,chzzk,1509.0,2026 FIFA 북중미 월드컵;명조:워더링 웨이브;패스 오브 엑자일 2,False,True,30.0,70.0,14.0,14.0,6.0,7.0,151.6,135.0,True,True,peer_T2,False
그늘이야,8b8697840179cb5269bfc244b7881ea1,https://chzzk.naver.com/live/8b8697840179cb5269bfc244b7881ea1,chzzk,643.0,림월드;이스케이프 프롬 타르코프;talk,False,True,19.0,26.0,15.0,13.0,9.0,8.0,716.6,149.0,True,True,peer_T2,True
치즈여우,9812f27abbda07386b7f47420b030572,https://chzzk.naver.com/live/9812f27abbda07386b7f47420b030572,chzzk,1174.0,블루 아카이브;talk;승리의 여신: 니케,False,True,37.0,38.0,15.0,13.0,9.0,7.0,290.8,102.0,True,True,peer_T2,False
혼겜돌이,c9a7a8a4006fa8ed4cefbf97b398abf2,https://chzzk.naver.com/live/c9a7a8a4006fa8ed4cefbf97b398abf2,chzzk,532.0,포르자 호라이즌 6;천하제일상거상;ELDEN RING 밤의 통치자,False,True,21.0,16.0,12.0,13.0,6.0,7.0,161.9,147.0,True,True,peer_T2,True
아인스 Eins,2af466ec8f1fb864ba2eff44b066abfe,https://chzzk.naver.com/live/2af466ec8f1fb864ba2eff44b066abfe,chzzk,483.0,talk;발더스 게이트 3;성세천하: 여제의 탄생 Ⅱ,False,True,23.0,28.0,18.0,13.0,9.0,8.0,181.0,123.0,True,True,peer_T2,False
세이로쿠 키라,58eaedccbc58e733a233005ee04eecda,https://chzzk.naver.com/live/58eaedccbc58e733a233005ee04eecda,chzzk,705.0,림버스 컴퍼니;VR챗;크라임 씬 클리너,False,True,40.0,26.0,16.0,13.0,11.0,9.0,88.2,130.0,True,True,peer_T2,True
