channel_name,platform,channelId,channel_url,cohort_type,primary_category,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,is_general_game,gg_reason,is_virtual,virtual_basis,total_stream_hours,peak_viewers,avg_viewers,viewership,follower_count,peak_max,peak_p95,peak_median,peak_recent_median,peak_recent_p95,avg_median,avg_recent_median,ts_weeks_total,ts_weeks_active,ts_weeks_recent_active,within_band_by_max,within_band_by_p95,within_band_by_median,within_band_by_recent_median,within_band_by_recent_p95,peak_to_followers,avg_to_followers,viewership_per_hour,peak_avg_ratio,max_weekly_airtime,is_inactive,is_too_new,nobangjong_flag,long_stream_flag,exclude_reason,band,collected_at,final_include,final_cohort_group,peak_basis,gubiba_reference_peak,peak_ratio_to_gubiba,within_band
늙은어린이2,naverchzzk,1fd54afbec396b332cf2883561f48a0e,https://chzzk.naver.com/live/1fd54afbec396b332cf2883561f48a0e,main_general_game,원신,원신,39.4,친구모아 아일랜드 두근두근 라이프,23.3,이환,18.8,true,multi_game,unknown,not_collected,34.7,35,22.0,766.0,1941,63,53,35,44,57.6,25,25,101,101,13,False,True,True,True,True,0.018,0.0113,22.07,1.59,32,False,False,False,False,,31-40,2026-06-14T18:40:03.556Z,True,main,recent_median,23,1.913,True
코요 템페스트,naverchzzk,8d87e7057474f4506d2db5d0c2769138,https://chzzk.naver.com/live/8d87e7057474f4506d2db5d0c2769138,main_general_game,승리의 여신: 니케,승리의 여신: 니케,61.6,종합 게임,17.8,명조:워더링 웨이브,6.9,true,multi_game,unknown,not_collected,361.5,48,14.0,5274.0,662,97,75.0,42,43,67.2,20,18,147,147,13,True,True,False,True,True,0.0725,0.0211,14.59,3.43,19,False,False,False,False,,41-50,2026-06-14T17:58:03.957Z,True,main,recent_median,23,1.87,True
라피니아 GO66,naverchzzk,8968e548991e09739da81e75c7dc75c0,https://chzzk.naver.com/live/8968e548991e09739da81e75c7dc75c0,main_general_game,이터널 리턴,이터널 리턴,52.2,페르소나 5 더 로열,18,talk,15.5,true,multi_game,unknown,not_collected,38.3,43,21.0,837.0,1390,84,61,30,43,61.4,20,24,121,121,13,True,True,True,True,True,0.0309,0.0151,21.85,2.05,24,False,False,False,False,,41-50,2026-06-14T18:35:47.760Z,True,main,recent_median,23,1.87,True
맘쥬,naverchzzk,cbfa98548ac10dc499d489fe50f61dc3,https://chzzk.naver.com/live/cbfa98548ac10dc499d489fe50f61dc3,main_general_game,던전앤파이터,던전앤파이터,62.5,메이플스토리 월드,21.7,다잉 라이트,7,true,multi_game,unknown,not_collected,239.9,44,16.0,4011.0,1150,70,65.0,48.0,42,51.8,28.0,30,128,128,13,False,True,False,True,True,0.0383,0.0139,16.72,2.75,52,False,False,False,True,,41-50,2026-06-14T18:00:07.635Z,True,main,recent_median,23,1.826,True
댜앙댜앙,naverchzzk,1d2464b7d15ec46eb0016325899cde10,https://chzzk.naver.com/live/1d2464b7d15ec46eb0016325899cde10,main_general_game,Grand Theft Auto V,Grand Theft Auto V,57.3,EA 스포츠 FC 26,20.9,007 퍼스트 라이트,10.1,true,multi_game,unknown,not_collected,109.5,47,18.0,2034.0,1624,54,47.1,32,41,54.0,21,26,107,107,13,False,True,True,True,True,0.0289,0.0111,18.58,2.61,28,False,False,False,False,,41-50,2026-06-14T18:09:08.534Z,True,main,recent_median,23,1.783,True
달디단레몬,naverchzzk,3ecbcdcd5c780344d396c93c61ea2595,https://chzzk.naver.com/live/3ecbcdcd5c780344d396c93c61ea2595,main_general_game,유희왕 마스터 듀얼,유희왕 마스터 듀얼,79.2,포켓몬스터 하트골드,15.4,포켓몬 챔피언스,4.7,true,multi_game,unknown,not_collected,97.5,46,12.0,1234.0,1337,91,64.7,43.5,41,50.6,17.0,18,112,112,13,True,True,False,True,True,0.0344,0.009,12.66,3.83,54,False,False,False,True,,41-50,2026-06-14T18:21:14.536Z,True,main,recent_median,23,1.783,True
성은 씨,naverchzzk,63a1cb463032bb9d88ee5fd17c1a0a3f,https://chzzk.naver.com/live/63a1cb463032bb9d88ee5fd17c1a0a3f,main_general_game,리그 오브 레전드,리그 오브 레전드,65.1,이터널 리턴,31.8,talk,3.1,true,multi_game,unknown,not_collected,72.5,29,10.0,782.0,1280,129,84.7,24,39,61.8,13,17,87,87,13,True,False,True,True,True,0.0227,0.0078,10.79,2.9,47,False,False,False,False,,21-30,2026-06-14T18:38:55.867Z,True,main,recent_median,23,1.696,True
빛나람 starnaram,naverchzzk,e5c1270f02735e2a381a70c944fd2688,https://chzzk.naver.com/live/e5c1270f02735e2a381a70c944fd2688,main_general_game,오버워치,오버워치,51.1,데드 바이 데이라이트,35.2,멧챠 카멜레온,5.8,true,multi_game,unknown,not_collected,149.3,46,21.0,3265.0,1609,61,54.0,41,37,45.8,22,26,125,125,13,False,True,False,True,True,0.0286,0.0131,21.87,2.19,36,False,False,False,False,,41-50,2026-06-14T18:02:00.535Z,True,main,recent_median,23,1.609,True
세이난,naverchzzk,dbb692c84413d92d9bded6ef67246914,https://chzzk.naver.com/live/dbb692c84413d92d9bded6ef67246914,main_general_game,고전 게임,고전 게임,66.4,종합 게임,17.4,이지투온 리부트: R,7,true,multi_game,unknown,not_collected,395.7,30,4.0,1607.0,197,62,53.1,11,37,49.2,5,13,99,99,13,False,True,True,True,True,0.1523,0.0203,4.06,7.5,43,False,False,False,False,,21-30,2026-06-14T18:15:07.276Z,True,main,recent_median,23,1.609,True
리채 Richae,naverchzzk,3e058dcfbb022dfdaa1a9b7d9eefe45a,https://chzzk.naver.com/live/3e058dcfbb022dfdaa1a9b7d9eefe45a,main_general_game,던전앤파이터,던전앤파이터,59.8,종합 게임,16.7,고전 게임,9.9,true,multi_game,unknown,not_collected,49.1,41,24.0,1184.0,1210,150,70,34,37,52.0,24,27,121,121,13,True,True,True,True,True,0.0339,0.0198,24.11,1.71,11,False,False,False,False,,41-50,2026-06-14T18:22:35.091Z,True,main,recent_median,23,1.609,True
