channel_name,platform,channelId,channel_url,cohort_type,primary_category,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,is_general_game,gg_reason,is_virtual,virtual_basis,total_stream_hours,peak_viewers,avg_viewers,viewership,follower_count,peak_max,peak_p95,peak_median,peak_recent_median,peak_recent_p95,avg_median,avg_recent_median,ts_weeks_total,ts_weeks_active,ts_weeks_recent_active,within_band_by_max,within_band_by_p95,within_band_by_median,within_band_by_recent_median,within_band_by_recent_p95,peak_to_followers,avg_to_followers,viewership_per_hour,peak_avg_ratio,max_weekly_airtime,is_inactive,is_too_new,nobangjong_flag,long_stream_flag,exclude_reason,band,collected_at,final_include,final_cohort_group,peak_basis,gubiba_reference_peak,peak_ratio_to_gubiba,within_band
개씨유,naverchzzk,d90c796bd7e4ddebf3cfdba1d325b075,https://chzzk.naver.com/live/d90c796bd7e4ddebf3cfdba1d325b075,main_general_game,엘든 링,엘든 링,32.2,디아블로 II: 레저렉션,20.3,레드 데드 리뎀션 2,16.4,true,multi_game,unknown,not_collected,51.2,43,13.0,711.0,805,74,56.8,15.0,37,60.2,9.0,26,86,86,13,True,True,True,True,True,0.0534,0.0161,13.89,3.31,12,False,False,False,False,,41-50,2026-06-14T18:43:43.253Z,True,main,recent_median,23,1.609,True
메가재범,naverchzzk,63d1d26a9dbf5ade38d4fb51b960064d,https://chzzk.naver.com/live/63d1d26a9dbf5ade38d4fb51b960064d,main_general_game,마인크래프트,마인크래프트,21.5,서브노티카 2,19.1,돈 스타브 투게더,16.4,true,multi_game,unknown,not_collected,228.8,45,25.0,5791.0,1929,76,53.5,37,36,45.0,28,24,131,131,13,True,True,True,True,True,0.0233,0.013,25.31,1.8,14,False,False,False,False,,41-50,2026-06-14T17:57:41.196Z,True,main,recent_median,23,1.565,True
RIOORI 리우리,naverchzzk,3d24cb2450ec17e17f79e964d32a23e3,https://chzzk.naver.com/live/3d24cb2450ec17e17f79e964d32a23e3,main_general_game,던전앤파이터,던전앤파이터,60,메이플스토리 월드,27.9,컬트 오브 더 램,2.5,true,multi_game,unknown,not_collected,88.1,36,15.0,1403.0,638,82,67.0,39.0,36,46.0,21.0,23,128,128,13,True,True,True,True,True,0.0564,0.0235,15.93,2.4,45,False,False,False,False,,31-40,2026-06-14T18:18:39.160Z,True,main,recent_median,23,1.565,True
돼지저금통 치지직,naverchzzk,1d19dc348fdf699e63885944b49ff60c,https://chzzk.naver.com/live/1d19dc348fdf699e63885944b49ff60c,main_general_game,talk,talk,33,음악/노래,24.8,이터널 리턴,18.8,true,multi_game,unknown,not_collected,105.8,37,23.0,2491.0,2449,98,79.1,44.0,35,41.2,26.0,22,144,144,13,True,False,False,True,True,0.0151,0.0094,23.54,1.61,51,False,False,False,True,,31-40,2026-06-14T18:05:19.193Z,True,main,recent_median,23,1.522,True
덕드래곤,naverchzzk,86d3d8d5997609df783949d107fbde24,https://chzzk.naver.com/live/86d3d8d5997609df783949d107fbde24,main_general_game,철권 8,철권 8,33.3,메이플스토리 월드,25.2,talk,17.3,true,multi_game,unknown,not_collected,61.9,48,28.0,1755.0,1142,70,59.0,36.0,35,51.6,24.5,21,128,128,13,False,True,True,True,True,0.042,0.0245,28.35,1.71,16,False,False,False,False,,41-50,2026-06-14T18:13:34.185Z,True,main,recent_median,23,1.522,True
여니연어,naverchzzk,b6a1a1b3e7bd6a8860d61c09a6b79df5,https://chzzk.naver.com/live/b6a1a1b3e7bd6a8860d61c09a6b79df5,main_general_game,이터널 리턴,이터널 리턴,42.5,로스트아크,35.3,명조:워더링 웨이브,11.7,true,multi_game,unknown,not_collected,165.0,36,17.0,2826.0,2104,195,122.0,45.0,34,127.6,20.0,21,142,142,13,True,False,False,True,False,0.0171,0.0081,17.13,2.12,87,False,False,True,True,,31-40,2026-06-14T18:03:23.365Z,True,main,recent_median,23,1.478,True
대상어,naverchzzk,1bb5d04f49dace3bad16515215a4f7ad,https://chzzk.naver.com/live/1bb5d04f49dace3bad16515215a4f7ad,main_general_game,talk,talk,37.4,명조:워더링 웨이브,18,음악/노래,15.6,true,multi_game,unknown,not_collected,46.3,43,19.0,909.0,1022,262,64.0,36.0,34,49.6,22.5,23,86,86,13,True,True,True,True,True,0.0421,0.0186,19.63,2.26,13,False,False,False,False,,41-50,2026-06-14T18:32:14.636Z,True,main,recent_median,23,1.478,True
RED레드,naverchzzk,3e37d763f523aa85702513fc3c04b2d9,https://chzzk.naver.com/live/3e37d763f523aa85702513fc3c04b2d9,main_general_game,몬스터 헌터 월드: 아이스본,몬스터 헌터 월드: 아이스본,55.7,종합 게임,18.8,붉은사막,11.7,true,multi_game,unknown,not_collected,349.2,48,13.0,4873.0,775,60,47.3,22.0,33,42.2,15.0,20,88,88,13,False,True,True,True,True,0.0619,0.0168,13.95,3.69,17,False,False,False,False,,41-50,2026-06-14T17:58:40.641Z,True,main,recent_median,23,1.435,True
우소 마토,naverchzzk,ab504d770e36bf59aaf155be434952d8,https://chzzk.naver.com/live/ab504d770e36bf59aaf155be434952d8,main_general_game,스타크래프트 : 리마스터,스타크래프트 : 리마스터,48.5,단간론파: 희망의 학원과 절망의 고교생,17.3,talk,16.9,true,multi_game,unknown,not_collected,159.5,18,5.0,827.0,480,38,34.0,13.0,33,38.0,9.0,21,142,142,13,False,True,True,True,True,0.0375,0.0104,5.18,3.6,15,False,False,False,False,,16-20,2026-06-14T18:36:22.322Z,True,main,recent_median,23,1.435,True
채팅방장,naverchzzk,23fa0556093a22a19cc7f16858c90264,https://chzzk.naver.com/live/23fa0556093a22a19cc7f16858c90264,main_general_game,오버워치,오버워치,50.5,이스케이프 더 백룸,25.7,디렉티브 8020,18.5,true,multi_game,unknown,not_collected,68.9,31,10.0,733.0,1139,52,43.3,28,33,42.4,12,14,55,55,13,False,True,True,True,True,0.0272,0.0088,10.64,3.1,86,False,False,True,True,,31-40,2026-06-14T18:42:30.002Z,True,main,recent_median,23,1.435,True
저무콩,naverchzzk,1b6ab1bf0886941211fc9ff44035e6ba,https://chzzk.naver.com/live/1b6ab1bf0886941211fc9ff44035e6ba,main_general_game,명조:워더링 웨이브,명조:워더링 웨이브,46.3,talk,20.9,이환,15.8,true,multi_game,unknown,not_collected,112.6,36,17.0,2019.0,1306,102,91.0,31.0,32,75.4,16.0,19,116,116,13,True,False,True,True,True,0.0276,0.013,17.93,2.12,75,False,False,False,True,,31-40,2026-06-14T18:09:19.210Z,True,main,recent_median,23,1.391,True
빵지콩,naverchzzk,ff38fdec85167efa94405c328e8e8c6e,https://chzzk.naver.com/live/ff38fdec85167efa94405c328e8e8c6e,main_general_game,리그 오브 레전드,리그 오브 레전드,33.3,talk,29.9,PUBG: 배틀그라운드,15.3,true,multi_game,unknown,not_collected,69.3,41,27.0,1907.0,2425,107,58.0,39.0,32,35.4,29.0,23,134,134,13,True,True,True,True,True,0.0169,0.0111,27.52,1.52,17,False,False,False,False,,41-50,2026-06-14T18:11:22.832Z,True,main,recent_median,23,1.391,True
로디마스,naverchzzk,7dd6f0927c18f4acc3f40b8d31a80f0f,https://chzzk.naver.com/live/7dd6f0927c18f4acc3f40b8d31a80f0f,main_general_game,talk,talk,38.2,이환,22.8,림버스 컴퍼니,17.4,true,multi_game,unknown,not_collected,101.7,41,18.0,1880.0,2378,239,83,37,32,47.4,23,19,141,141,13,True,False,True,True,True,0.0172,0.0076,18.49,2.28,99,False,False,True,True,,41-50,2026-06-14T18:11:44.242Z,True,main,recent_median,23,1.391,True
설ㅡ하,naverchzzk,42d9e35fdeee6c2163494eb12961e9da,https://chzzk.naver.com/live/42d9e35fdeee6c2163494eb12961e9da,main_general_game,블루 아카이브,블루 아카이브,49.8,talk,26.4,마인크래프트,15.7,true,multi_game,unknown,not_collected,104.0,49,22.0,2369.0,2187,224,88.6,44,31,49.6,24,21,119,119,13,True,False,False,True,True,0.0224,0.0101,22.78,2.23,33,False,False,False,False,,41-50,2026-06-14T18:05:52.648Z,True,main,recent_median,23,1.348,True
짤녀와 많쿠만in텟슈,naverchzzk,72293c76fbcdb06e578ddc6c54ba151b,https://chzzk.naver.com/live/72293c76fbcdb06e578ddc6c54ba151b,main_general_game,에이펙스 레전드,에이펙스 레전드,76.9,종합 게임,21.9,오버워치,1.2,true,multi_game,unknown,not_collected,45.8,32,16.0,756.0,1732,96,75.0,37.0,31,60.0,24.0,21,116,116,13,True,True,True,True,True,0.0185,0.0092,16.51,2.0,11,False,False,False,False,,31-40,2026-06-14T18:40:32.205Z,True,main,recent_median,23,1.348,True
고일이,naverchzzk,cf882ca21960c190dd6af5c8332d3876,https://chzzk.naver.com/live/cf882ca21960c190dd6af5c8332d3876,main_general_game,ASMR,ASMR,32.9,마인크래프트,32.1,talk,20.1,true,multi_game,unknown,not_collected,93.9,39,16.0,1509.0,2388,351,233.9,29,30,107.6,20,20,115,115,13,False,False,True,True,False,0.0163,0.0067,16.07,2.44,11,False,False,False,False,,31-40,2026-06-14T18:16:48.015Z,True,main,recent_median,23,1.304,True
파랑떡볶이,naverchzzk,72daeda32bb15f58ae6c6f1866c35492,https://chzzk.naver.com/live/72daeda32bb15f58ae6c6f1866c35492,main_general_game,레프트 4 데드 2,레프트 4 데드 2,70.1,메이플스토리 월드,20,던전앤파이터,5.2,true,multi_game,unknown,not_collected,196.6,24,7.0,1434.0,1640,51,37.0,27.0,30,34.8,18.0,20,126,126,13,False,True,True,True,True,0.0146,0.0043,7.29,3.43,12,False,False,False,False,,21-30,2026-06-14T18:17:53.908Z,True,main,recent_median,23,1.304,True
김막구,naverchzzk,7f14cb1fbbf50fa62cce90321faf57e9,https://chzzk.naver.com/live/7f14cb1fbbf50fa62cce90321faf57e9,main_general_game,카트라이더,카트라이더,74,PUBG: 배틀그라운드,21.7,종합 게임,2.2,true,multi_game,unknown,not_collected,56.6,36,20.0,1146.0,2993,110,35.3,25.0,30,66.8,20.0,21,108,108,13,True,True,True,True,True,0.012,0.0067,20.25,1.8,13,False,False,False,False,,31-40,2026-06-14T18:23:29.629Z,True,main,recent_median,23,1.304,True
안녕하세요방갑습니다,naverchzzk,9c5d25a0c51ed759dad92bebbd01726f,https://chzzk.naver.com/live/9c5d25a0c51ed759dad92bebbd01726f,main_general_game,발로란트,발로란트,52.9,Grand Theft Auto V,21.4,전략적 팀 전투 : 우주의 신들,14.7,true,multi_game,unknown,not_collected,44.5,35,17.0,757.0,874,39,38.0,30,30,37.8,17,18,87,87,13,False,True,True,True,True,0.04,0.0195,17.01,2.06,73,False,False,False,True,,31-40,2026-06-14T18:40:28.266Z,True,main,recent_median,23,1.304,True
손기현2,naverchzzk,dfb27368b4a7ed8c8b4048075875596a,https://chzzk.naver.com/live/dfb27368b4a7ed8c8b4048075875596a,main_general_game,이환,이환,38.8,명조:워더링 웨이브,25.7,원신,17.6,true,multi_game,unknown,not_collected,280.0,37,15.0,4217.0,1648,93,43.0,27,29,36.4,19,21,113,113,13,True,True,True,True,True,0.0225,0.0091,15.06,2.47,7,False,False,False,False,,31-40,2026-06-14T17:59:48.363Z,True,main,recent_median,23,1.261,True
모카형,naverchzzk,52b2f7d78f07b3b175dbaaa3cb9abc85,https://chzzk.naver.com/live/52b2f7d78f07b3b175dbaaa3cb9abc85,main_general_game,스트리노바,스트리노바,41.5,이환,19.3,명일방주,7.7,true,multi_game,unknown,not_collected,604.3,47,15.0,9545.0,2233,65,34.0,24.0,28,34.8,17.0,20,146,146,13,False,True,True,True,True,0.021,0.0067,15.8,3.13,16,False,False,False,False,,41-50,2026-06-14T17:56:13.658Z,True,main,recent_median,23,1.217,True
소발자,naverchzzk,8df0e2fd888d52ed10562f2cdb9fa6e0,https://chzzk.naver.com/live/8df0e2fd888d52ed10562f2cdb9fa6e0,main_general_game,이스케이프 프롬 타르코프,이스케이프 프롬 타르코프,58.6,마인크래프트,34.1,talk,7.3,true,multi_game,unknown,not_collected,193.1,28,9.0,1822.0,936,54,43.2,25,28,37.4,14,20,129,129,13,False,True,True,True,True,0.0299,0.0096,9.44,3.11,45,False,False,False,False,,21-30,2026-06-14T18:12:29.160Z,True,main,recent_median,23,1.217,True
배쨜이,naverchzzk,8895df5b7733f26ccc6b4f54aeaa1072,https://chzzk.naver.com/live/8895df5b7733f26ccc6b4f54aeaa1072,main_general_game,메이플스토리,메이플스토리,41.3,talk,18,고독방송,15.4,true,multi_game,unknown,not_collected,50.3,38,20.0,1043.0,787,124,49.5,28,28,36.8,21,20,51,51,13,True,True,True,True,True,0.0483,0.0254,20.74,1.9,16,False,False,False,False,,31-40,2026-06-14T18:26:45.341Z,True,main,recent_median,23,1.217,True
아울이네,naverchzzk,aaab8f4e08ca394e4012936c8d445b6c,https://chzzk.naver.com/live/aaab8f4e08ca394e4012936c8d445b6c,main_general_game,로스트아크,로스트아크,28.5,마비노기 모바일,17.8,마인크래프트,11,true,multi_game,unknown,not_collected,63.9,31,15.0,973.0,473,99,50.0,33,28,45.0,17,22,131,131,13,True,True,True,True,True,0.0655,0.0317,15.23,2.07,95,False,False,True,True,,31-40,2026-06-14T18:29:42.810Z,True,main,recent_median,23,1.217,True
뭐 더 라,naverchzzk,f9f5fda096ff44d36127036cd18b0db2,https://chzzk.naver.com/live/f9f5fda096ff44d36127036cd18b0db2,main_general_game,PUBG: 배틀그라운드,PUBG: 배틀그라운드,37.9,이터널 리턴,36.8,스타크래프트 : 리마스터,16.7,true,multi_game,unknown,not_collected,60.8,46,15.0,971.0,1556,75,69.0,41,28,48.4,19,18,133,133,13,True,True,False,True,True,0.0296,0.0096,15.97,3.07,56,False,False,False,True,,41-50,2026-06-14T18:29:48.903Z,True,main,recent_median,23,1.217,True
와구리1,naverchzzk,222d25595ebeb41a170528f9573c9c61,https://chzzk.naver.com/live/222d25595ebeb41a170528f9573c9c61,main_general_game,talk,talk,36.5,야구,24,젠레스 존 제로,21.9,true,multi_game,unknown,not_collected,49.9,37,18.0,925.0,662,48,41.0,15.5,28,46.2,10.0,12,80,80,13,False,True,True,True,True,0.0559,0.0272,18.54,2.06,17,False,False,False,False,,31-40,2026-06-14T18:31:31.050Z,True,main,recent_median,23,1.217,True
룰라바이030,naverchzzk,2960ed91c351c50a16b3c392b0c9b0cb,https://chzzk.naver.com/live/2960ed91c351c50a16b3c392b0c9b0cb,main_general_game,talk,talk,20.3,아이돌마스터 샤이니 컬러즈,19.3,리그 오브 레전드,18,true,multi_game,unknown,not_collected,41.7,40,21.0,910.0,469,51,39.7,27,28,35.6,19,19,147,147,13,False,True,True,True,True,0.0853,0.0448,21.82,1.9,13,False,False,False,False,,31-40,2026-06-14T18:32:07.990Z,True,main,recent_median,23,1.217,True
쩡니예,naverchzzk,8414921d3832f2ea0faed6291600c415,https://chzzk.naver.com/live/8414921d3832f2ea0faed6291600c415,main_general_game,패스 오브 엑자일 2,패스 오브 엑자일 2,61.3,메이플스토리 월드,32.4,종합 게임,2.5,true,multi_game,unknown,not_collected,271.8,44,12.0,3344.0,917,71,39.0,17.0,27,57.2,11.0,14,112,112,13,False,True,True,True,True,0.048,0.0131,12.3,3.67,91,False,False,True,True,,41-50,2026-06-14T18:01:32.138Z,True,main,recent_median,23,1.174,True
나힝구,naverchzzk,652abc4f57f73627fd3b63c1acb46735,https://chzzk.naver.com/live/652abc4f57f73627fd3b63c1acb46735,main_general_game,PUBG: 배틀그라운드,PUBG: 배틀그라운드,29.4,리그 오브 레전드,24.4,마인크래프트,21.5,true,multi_game,unknown,not_collected,136.7,41,15.0,2166.0,1641,64,41.8,27,27,34.0,17,15,145,145,13,False,True,True,True,True,0.025,0.0091,15.84,2.73,16,False,False,False,False,,41-50,2026-06-14T18:07:58.296Z,True,main,recent_median,23,1.174,True
류 카,naverchzzk,e2f91d088c9bbcd1fce2924ff3f58226,https://chzzk.naver.com/live/e2f91d088c9bbcd1fce2924ff3f58226,main_general_game,PUBG: 배틀그라운드,PUBG: 배틀그라운드,31.9,서브노티카 2,15.3,리그 오브 레전드,13.9,true,multi_game,unknown,not_collected,172.4,27,7.0,1234.0,1702,60,50.0,33,27,31.8,20,20,139,139,13,False,True,True,True,True,0.0159,0.0041,7.16,3.86,112,False,False,True,True,,21-30,2026-06-14T18:21:18.003Z,True,main,recent_median,23,1.174,True
쭁쫑이,naverchzzk,567e1b3ae285ebb564deb77603a4da32,https://chzzk.naver.com/live/567e1b3ae285ebb564deb77603a4da32,main_general_game,마비노기 모바일,마비노기 모바일,42.1,이환,30.1,오버워치,14.7,true,multi_game,unknown,not_collected,125.4,37,7.0,984.0,1370,66,61.0,34,27,35.4,19,18,133,133,13,False,True,True,True,True,0.027,0.0051,7.85,5.29,62,False,False,False,True,,31-40,2026-06-14T18:29:06.254Z,True,main,recent_median,23,1.174,True
Error Bug 에러 버그,naverchzzk,49f0c246aa1cb8f618ece36851b5ab26,https://chzzk.naver.com/live/49f0c246aa1cb8f618ece36851b5ab26,main_general_game,음악/노래,음악/노래,46.9,종합 게임,26.6,talk,26.6,true,multi_game,unknown,not_collected,80.1,25,9.0,773.0,958,181,75.0,18.5,27,79.8,11.5,15,90,90,13,True,True,True,True,True,0.0261,0.0094,9.65,2.78,29,False,False,False,False,,21-30,2026-06-14T18:39:40.154Z,True,main,recent_median,23,1.174,True
뀨냥냥,naverchzzk,6fdb2087d2d7d0349d0c194cfe1be0d9,https://chzzk.naver.com/live/6fdb2087d2d7d0349d0c194cfe1be0d9,main_general_game,talk,talk,48.2,종합 게임,37.9,PUBG: 배틀그라운드,5.8,true,gg_secondary,unknown,not_collected,289.3,31,15.0,4588.0,1131,33,31.0,21,26,32.4,17,21,117,117,13,False,True,True,True,True,0.0274,0.0133,15.86,2.07,5,False,False,False,False,,31-40,2026-06-14T17:59:06.354Z,True,main,recent_median,23,1.13,True
쥐뚱,naverchzzk,694a4e3ac4406e1989f85cdde291999c,https://chzzk.naver.com/live/694a4e3ac4406e1989f85cdde291999c,main_general_game,talk,talk,41.6,종합 게임,19.6,성세천하: 여제의 탄생 Ⅱ,14,true,gg_secondary,unknown,not_collected,99.2,49,22.0,2241.0,1691,71,65.8,46,26,42.4,25,17,105,105,13,False,True,False,True,True,0.029,0.013,22.59,2.23,66,False,False,False,True,,41-50,2026-06-14T18:07:05.078Z,True,main,recent_median,23,1.13,True
이냐비,naverchzzk,8131c92832957e2d83287c90af8e6932,https://chzzk.naver.com/live/8131c92832957e2d83287c90af8e6932,main_general_game,명일방주,명일방주,16,종합 게임,16,talk,15.6,true,multi_game,unknown,not_collected,73.1,27,13.0,1011.0,1747,110,76.0,35,26,93.2,18,18,135,135,13,True,False,True,True,False,0.0155,0.0074,13.83,2.08,74,False,False,False,True,,21-30,2026-06-14T18:28:09.147Z,True,main,recent_median,23,1.13,True
듀 나,naverchzzk,6e872ef76e61aee6fd9aed66077a9f4c,https://chzzk.naver.com/live/6e872ef76e61aee6fd9aed66077a9f4c,main_general_game,이스케이프 프롬 타르코프,이스케이프 프롬 타르코프,61.5,마인크래프트,17.8,로스트아크,7.4,true,multi_game,unknown,not_collected,88.2,37,16.0,1477.0,1587,65,53.0,33.0,25,35.8,15.0,15,144,144,13,False,True,True,True,True,0.0233,0.0101,16.75,2.31,148,False,False,True,True,,31-40,2026-06-14T18:17:18.418Z,True,main,recent_median,23,1.087,True
루린아0,naverchzzk,37a5b413b2360b6b449e061ed4057693,https://chzzk.naver.com/live/37a5b413b2360b6b449e061ed4057693,main_general_game,talk,talk,45.2,친구모아 아일랜드 두근두근 라이프,25.9,마인크래프트,23.4,true,multi_game,unknown,not_collected,52.1,27,15.0,797.0,2648,65,49.8,30.0,25,33.0,16.0,16,110,110,13,False,True,True,True,True,0.0102,0.0057,15.3,1.8,29,False,False,False,False,,21-30,2026-06-14T18:38:23.339Z,True,main,recent_median,23,1.087,True
연보민,naverchzzk,7839037e2c05af7473df365aab79fbaa,https://chzzk.naver.com/live/7839037e2c05af7473df365aab79fbaa,main_general_game,talk,talk,33.4,검은사막,23.1,이환,21.9,true,multi_game,unknown,not_collected,264.7,44,18.0,4944.0,897,119,59.5,30.0,24,34.2,21.0,20,132,132,13,True,True,True,True,True,0.0491,0.0201,18.68,2.44,12,False,False,False,False,,41-50,2026-06-14T17:58:35.513Z,True,main,recent_median,23,1.043,True
불꽃빡빡,naverchzzk,3c756c71b2c4a1bda8ee7a398e626f17,https://chzzk.naver.com/live/3c756c71b2c4a1bda8ee7a398e626f17,main_general_game,토탈 워: 워해머 3,토탈 워: 워해머 3,55.9,림월드,29.3,아노 1800,14.7,true,multi_game,unknown,not_collected,93.8,35,14.0,1339.0,656,52,35.5,25.0,24,39.4,16.0,17,92,92,13,False,True,True,True,True,0.0534,0.0213,14.28,2.5,86,False,False,True,True,,31-40,2026-06-14T18:19:36.932Z,True,main,recent_median,23,1.043,True
연하늘 HaneuI,naverchzzk,cd5ae4c07c49827120da9486e13454f5,https://chzzk.naver.com/live/cd5ae4c07c49827120da9486e13454f5,main_general_game,슬레이 더 스파이어 2,슬레이 더 스파이어 2,45,엘든 링,27,코어 키퍼,11.9,true,multi_game,unknown,not_collected,99.1,50,11.0,1160.0,1612,60,50.0,22.0,24,51.2,12.0,12,74,74,13,False,True,True,True,True,0.031,0.0068,11.71,4.55,56,False,False,False,True,,41-50,2026-06-14T18:23:09.568Z,True,main,recent_median,23,1.043,True
모모무네 앨리스,naverchzzk,c63c92e80c79a7d237ae27a81c7aefc5,https://chzzk.naver.com/live/c63c92e80c79a7d237ae27a81c7aefc5,main_general_game,마비노기 모바일,마비노기 모바일,49.5,명일방주: 엔드필드,47.5,슬레이 더 스파이어 2,3,true,multi_game,unknown,not_collected,90.2,39,9.0,880.0,823,76,59,40,24,58.0,16,18,121,121,13,True,True,True,True,True,0.0474,0.0109,9.76,4.33,39,False,False,False,False,,31-40,2026-06-14T18:33:49.274Z,True,main,recent_median,23,1.043,True
