layer,name,channelId,follower,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct
A,치치 Planeta,d5e2e0c14dcca4c4b10c7c9633022f52,10406,51.4,41,43,65,149.3,4292,728.8,108806.4,7.0,10.4561,16.98
A,늦잠,e9ff6a0d42f604ac57fcd53f1c3b9bc0,48438,72.8,90,44,93,86.8,1389,710.1,61636.3,1.47,1.2725,51.12
A,금사향,5f800579267362c952f76f3c6fe695b2,98482,49.8,73,45,43,214.4,1840,682.2,146254.6,0.69,1.4851,37.08
A,양아지,3e825479d71ead63b76de0d6f6b5dc83,128905,48.2,51,46,49,206.1,3249,667.3,137534.6,0.52,1.0669,20.54
A,티뭉,26253bf7ed6b95832c40f4f43f6d049d,30667,62.6,59,47,80,115.0,2716,654.1,75220.8,2.13,2.4528,24.08
A,부쿠키,f2fd35b4bce38e375cd77b6a6904b4a4,69708,59.6,78,48,62,181.8,1726,642.1,116741.3,0.92,1.6747,37.2
A,칸데르니아,bee4b42475b5937226b8b7ccbe2eb2dc,24953,48.6,87,49,29,414.5,1554,624.6,258900.3,2.5,10.3755,40.19
A,오화요 Ohwayo,65a53076fe1a39636082dd6dba8b8a4b,44269,46.0,36,50,47,226.6,4742,618.3,140116.8,1.4,3.1651,13.04
C,만디 2,5e4ef081ec96bdca5a4989554864bb05,29615,191.8,151,156,248,118.1,659,149.1,17607.6,0.5,0.5946,22.63
C,ㅎㄹㄹㅎㄹㄹ,733ac918d624f6034f8786efc318e433,5434,172.2,225,157,161,214.3,392,148.5,31816.8,2.73,5.8551,37.88
C,콩 주,58c857c619dbc62110f025c382265abe,6256,130.0,108,158,113,319.2,1019,146.3,46695.1,2.34,7.4641,14.36
C,요아케노 나나시,e500ce8da6637e4b7ee255709ddb3ffe,12513,209.6,188,159,271,110.7,480,144.7,16014.5,1.16,1.2798,30.15
C,낡은창고 oldstore,f5feedab25060a675ed62f3348e625cf,11936,139.0,161,161,106,348.5,606,141.2,49209.9,1.18,4.1228,23.3
C,희 지,0d7600fc87a6a8621d5149d12da58ef8,11753,187.0,237,163,186,182.2,370,140.4,25585.8,1.19,2.177,37.95
C,뭉냥이,24c568cc7d041b079a3ed7c735c2eab0,10945,176.4,134,164,210,151.1,794,140.4,21218.0,1.28,1.9386,17.68
C,레뮤 LeMyu,5a63308e001dd3b2b4b8410e3933bff5,2606,183.8,127,165,231,136.1,829,140.1,19065.3,5.38,7.3159,16.9
C,HeavyRainy,aef0c98592271de9ec4906eca2987e05,34138,159.6,214,167,125,285.2,416,137.6,39257.0,0.4,1.15,33.08
