layer,name,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d
C,오피셜 김청단,425.8,603,366,397,172.0,112,59.5,10239.2
C,새우 새우,411.0,411,367,455,145.5,176,59.5,8661.2
C,호하리 Hohari,389.8,567,368,323,210.7,120,59.5,12532.6
C,쿠미르,362.8,556,371,258,286.5,122,59.3,16975.5
C,초다양 CHODAYANG,410.4,590,372,359,189.1,114,59.1,11173.7
C,에린 ERYN,429.0,381,373,509,129.3,196,58.6,7572.4
C,아사미야 나오,343.2,182,374,393,176.2,492,58.4,10295.0
C,꿀멩이,373.4,425,375,346,197.4,172,58.0,11450.0
C,이플린,358.0,340,376,349,196.6,253,57.9,11386.0
C,시롤 SYROLL,344.4,372,377,298,249.5,217,57.8,14420.3
C,잉요ing,418.0,654,379,339,205.4,101,57.5,11808.6
C,헛소리0403,411.0,521,380,387,181.4,133,57.3,10395.1
C,앵차루,476.8,462,382,579,116.2,155,57.2,6647.6
C,윤리즈,301.6,316,383,213,369.3,278,56.8,20980.4
C,서논,420.0,532,384,400,178.7,130,56.8,10149.5
C,쟈미쨩,424.0,686,385,332,216.8,97,56.5,12242.9
C,헤일라 미러,532.0,590,386,649,104.9,114,56.3,5910.7
C,플레디 PLEDDY,392.8,256,387,467,148.5,342,56.2,8345.5
C,온하얀 ONHAYAN,434.0,570,389,411,178.6,119,56.0,10001.1
C,솔씨 solssi,407.8,305,390,477,145.5,295,55.9,8132.6
C,냐코냥,418.4,620,391,345,205.7,110,55.8,11485.0
C,쿠뽀미,389.4,129,392,517,134.8,818,55.6,7495.7
C,옌룡 Yenryong,392.4,468,393,354,203.3,152,55.6,11296.6
C,금진영,430.2,611,394,376,196.2,111,55.4,10862.2
C,어화둥둥이,425.2,492,395,422,173.5,143,55.0,9550.0
C,유미호 MiHo,366.6,515,396,263,303.8,135,55.0,16699.8
C,숀쟝,421.8,373,397,471,150.0,213,54.5,8168.8
C,김띠모,367.2,590,398,225,364.0,114,54.2,19715.9
C,루루엘 아스트리온,338.4,350,399,272,296.6,240,53.9,16000.9
C,호시에 제로,396.6,405,400,389,192.5,180,53.8,10353.8
C,호앵 메로롱,422.6,383,403,462,157.4,194,53.5,8424.4
C,이큐 EQue,436.2,629,404,372,204.2,108,53.5,10920.7
C,이 렌,317.6,406,406,185,488.1,179,53.0,25891.5
C,믕비MeongBi,456.4,512,407,478,153.3,136,53.0,8129.5
C,므엥이,336.2,227,408,319,243.2,382,53.0,12890.7
C,김토키,385.8,125,411,491,148.9,843,52.9,7871.3
C,쿠크리 KUKRI,544.6,635,412,632,114.9,106,52.7,6053.5
C,뵤 오,339.8,425,413,224,375.1,172,52.6,19733.4
C,쵸꾸미,447.0,385,414,511,143.9,192,52.5,7559.7
C,안뉴이 네리,356.6,287,415,333,231.1,314,52.4,12119.9
C,김아이,504.0,330,416,679,106.1,259,52.4,5561.4
C,쇼 카,532.2,355,418,735,101.2,236,51.2,5180.0
C,채이 chaei,385.6,482,419,304,273.3,145,51.0,13938.7
C,표커 pyoker,577.8,741,420,654,115.0,90,51.0,5865.0
C,유 식혜,407.8,457,421,370,214.9,156,51.0,10954.2
C,청예솔,408.2,651,422,273,311.5,102,51.0,15873.2
C,로카 EroTiKa,484.4,694,424,440,177.6,96,50.5,8960.9
C,따람지,380.6,567,425,243,353.9,120,50.4,17846.7
C,루나냥,455.8,563,426,432,180.9,121,50.2,9083.2
C,안제이,456.2,441,427,493,155.8,163,50.2,7817.2
C,리 쯔,431.0,611,428,344,229.0,111,50.2,11485.9
C,히 요,514.0,686,429,513,152.0,97,49.6,7544.8
C,모로이 모나 같이보기,441.2,478,431,433,184.1,146,49.3,9078.6
C,호로라 Horora,490.6,713,432,438,183.0,94,49.1,8994.1
C,홍서월,478.6,457,433,535,146.7,156,48.9,7171.5
C,금결초,357.2,540,435,188,519.9,128,48.6,25271.3
C,포모나,336.8,278,436,267,336.8,320,48.4,16285.5
C,쵸요링,412.2,455,438,365,230.5,157,48.1,11083.8
C,연하온,462.4,390,440,521,154.8,187,47.9,7421.0
C,키미도리 메로,560.8,434,441,744,107.5,168,47.8,5139.6
C,시노 레이,467.6,720,442,367,230.9,93,47.8,11037.3
C,꾸야에오,469.0,563,443,448,185.3,121,47.2,8740.5
C,고동백,366.6,351,444,297,308.9,239,46.7,14433.0
C,김 츄,614.2,749,447,714,115.2,89,46.3,5335.5
C,SHIN 희범,545.0,351,450,737,112.1,239,46.2,5176.5
C,카 일 리,414.4,584,454,290,324.9,115,45.9,14897.5
C,옥우,464.8,580,455,417,210.5,116,45.8,9648.3
C,이비 EB,487.0,821,456,351,247.9,81,45.7,11333.1
C,마리모O,438.0,666,459,303,308.3,99,45.3,13959.7
C,댕 키,565.8,311,460,799,104.5,286,45.1,4715.2
C,류채경,474.2,503,462,472,181.6,139,44.9,8156.2
C,하루야 치에,383.2,482,463,254,379.5,145,44.9,17042.3
C,레리리 RIRI,448.8,654,464,331,274.0,101,44.9,12300.2
C,문서희,428.8,584,465,315,291.3,115,44.8,13064.1
C,시이야,385.8,521,466,238,415.0,133,44.6,18497.2
C,명칠,577.8,889,467,533,161.3,74,44.5,7184.7
C,마지텐 시아 Sia,431.4,515,468,353,254.6,135,44.5,11327.6
C,사야 세리카,473.4,337,470,545,157.1,256,44.2,6945.7
