layer,name,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d
C,예 잉,738.2,901,679,716,177.7,73,30.0,5333.1
B,송쿤,746.2,441,941,704,245.5,163,22.0,5395.8
B,아춘향,836.2,1021,943,637,273.9,64,21.9,6000.6
B,스타으앙코,954.8,1282,946,800,215.5,50,21.9,4711.6
B,고으리,783.2,470,947,776,222.4,151,21.8,4857.3
B,롤랜드고릴라김수향,951.0,1395,954,726,240.6,46,21.7,5211.4
B,흑지로,847.8,787,957,769,225.8,84,21.6,4885.9
B,카논제이,800.8,646,960,719,244.6,103,21.6,5284.1
B,별린,995.6,1282,965,883,201.1,50,21.4,4306.6
B,젠야타 Zenyatta,815.0,821,967,660,273.1,81,21.3,5824.9
B,휘운,881.8,1171,969,650,277.3,55,21.2,5881.5
B,쑤니12,1080.2,1555,973,950,184.1,41,21.2,3894.6
B,펭구리월드,1051.8,1423,976,942,186.4,45,21.1,3937.1
B,붠버니,956.2,1001,980,910,197.3,65,21.1,4153.2
B,유토 STAVE,1024.8,1372,981,895,201.8,47,21.0,4242.8
B,흐융,920.2,1171,993,722,253.1,55,20.7,5243.0
B,현찌당,767.0,351,997,745,248.4,239,20.7,5133.7
B,잠만영,1051.8,1423,1002,916,200.2,45,20.6,4118.6
B,물랑임,924.4,1254,1004,680,270.5,51,20.6,5560.0
B,달은월,983.6,1032,1009,934,194.6,63,20.5,3987.4
B,선 행,951.8,1211,1013,761,243.9,53,20.4,4966.9
B,양거북,989.8,1337,1014,792,233.4,48,20.4,4751.7
B,나들희,924.0,1118,1018,733,255.2,58,20.3,5184.9
B,샤 나,1029.6,1254,1025,922,202.1,51,20.1,4071.2
B,후냐냐냥,1048.0,1454,1026,867,217.0,44,20.1,4369.8
B,화실 Hwashil,1069.8,1511,1034,885,215.2,42,20.0,4303.2
B,아롱 ouo,1073.2,1484,1035,906,209.3,43,20.0,4183.7
B,백호범이,1063.0,1337,1042,947,197.1,48,19.8,3908.2
B,츄대장,870.6,415,1043,926,203.5,175,19.8,4034.4
B,김초나,914.2,913,1044,785,243.6,72,19.8,4814.2
B,양 치기,829.6,364,1045,847,224.6,227,19.8,4436.8
B,이프이프 ifif,1088.2,1511,1051,914,210.2,42,19.6,4123.9
B,페피노,907.2,672,1056,876,221.4,98,19.6,4329.0
B,체리아씨,1073.0,1395,1060,925,207.0,46,19.5,4040.1
B,순결한 젤리쨩,1094.2,1555,1069,889,221.1,41,19.4,4292.1
B,아 송,1019.6,1152,1073,900,217.7,56,19.3,4203.1
B,옆집사는헤이헤이,1013.6,1282,1076,817,240.3,50,19.3,4626.5
B,햄루나,917.2,770,1089,819,244.0,86,18.9,4617.7
B,단앙쥐,1115.4,1823,1094,783,255.5,35,18.9,4828.9
B,서 안,1110.2,1423,1107,957,205.8,45,18.7,3851.3
B,오댜댜,1219.0,1773,1111,1050,185.8,36,18.7,3468.3
B,휴아,971.6,986,1113,823,246.1,66,18.7,4590.4
B,쉐 린,1042.8,986,1126,988,202.0,66,18.5,3741.5
B,슬 둥,1075.0,1555,1128,782,261.2,41,18.5,4830.4
B,서사유,1123.8,1395,1130,982,203.5,46,18.5,3757.3
B,유니코 YUNICO,1036.4,770,1131,1075,185.0,86,18.5,3414.6
B,참똥,1105.4,1713,1132,775,263.3,37,18.5,4859.5
B,뀨 미 호,1037.6,1032,1134,944,213.5,63,18.4,3927.8
B,쑥쑥바질,1151.4,1511,1137,986,203.8,42,18.4,3743.6
B,서여은,1115.0,1423,1139,937,216.1,45,18.3,3963.8
B,라블베리,1214.0,1866,1144,958,210.0,34,18.3,3844.2
B,두부조앙,972.0,940,1147,813,253.8,70,18.3,4640.3
B,장유이,1240.6,1713,1149,1096,181.5,37,18.3,3316.4
B,로미미,1012.6,913,1152,923,223.0,72,18.2,4060.2
B,담백컨,1035.2,1032,1154,918,227.0,63,18.1,4110.4
B,구비바,1023.0,967,1159,915,229.2,67,18.0,4120.2
B,실키아,1104.6,949,1163,1124,181.8,69,17.9,3251.3
B,바박수,1244.2,1635,1165,1128,181.3,39,17.8,3235.4
B,고보미,1095.8,1001,1175,1064,193.6,65,17.7,3434.1
B,레 보,1165.4,1231,1176,1122,183.7,52,17.7,3255.6
B,강해온,1087.2,986,1177,1048,196.2,66,17.7,3475.3
B,벨라레타,1062.2,1131,1179,911,234.7,57,17.7,4146.6
B,김도프,1211.8,1635,1184,1028,202.6,39,17.6,3570.0
B,아로니아 스우 HAVEN,1148.4,1254,1188,1056,196.9,51,17.5,3454.5
B,우덩,1128.8,1454,1190,905,238.8,44,17.5,4184.4
B,히스이 렌야 HAVEN,1149.6,1282,1194,1039,201.3,50,17.5,3514.6
B,모아루루루,1061.8,1131,1202,887,248.0,57,17.3,4300.7
B,으닝이,1148.8,1484,1206,924,235.1,43,17.3,4056.8
B,이웃집펭긴,862.6,279,1209,808,271.6,319,17.2,4672.3
B,청유라,1211.4,1635,1210,1001,214.3,39,17.2,3683.6
B,린세 이데,1198.6,1555,1215,1004,214.6,41,17.1,3670.8
B,채사란,1257.4,1555,1223,1143,187.3,41,17.0,3192.9
B,효굴효굴,984.8,686,1226,893,249.5,97,17.0,4246.1
B,01142,1177.0,1231,1228,1099,194.8,52,17.0,3311.4
B,시춘,1151.0,1601,1229,848,260.9,40,17.0,4431.4
B,루 엘리야,1096.0,1048,1233,983,221.4,62,17.0,3754.4
B,엠쓔,1112.8,1282,1238,903,248.0,50,16.9,4194.3
B,모꾸리,1295.8,1965,1240,1017,214.0,32,16.9,3609.1
B,이비핑,1060.6,1085,1246,863,260.6,60,16.8,4373.6
B,생이 saeng e,1114.8,1152,1257,954,232.1,56,16.7,3867.8
B,렛 삐,1161.0,1555,1260,865,263.8,41,16.6,4371.4
B,김 아루,1223.0,1713,1265,936,240.8,37,16.5,3971.2
B,고로께,1078.6,931,1268,963,231.9,71,16.5,3821.8
B,도해니,1046.4,720,1276,980,228.9,93,16.4,3759.9
B,김덕복,1141.2,1454,1283,843,273.1,44,16.3,4459.6
B,앞투원,1269.8,1395,1284,1193,183.4,46,16.3,2993.3
B,자빈123,1006.8,756,1285,854,269.0,88,16.3,4387.7
B,청백월,1345.2,2140,1290,1003,227.0,29,16.2,3679.7
B,별 나래,1111.4,729,1291,1123,200.9,92,16.2,3252.2
B,진다람,1359.6,1918,1292,1148,195.8,33,16.2,3169.6
B,야몽1,1286.8,1866,1299,985,232.8,34,16.1,3752.9
B,소브루,1011.0,729,1303,860,271.9,92,16.1,4374.5
B,강감자,1412.4,2016,1305,1218,182.7,31,16.1,2937.8
B,헤냥,1180.0,1254,1315,1008,227.4,51,16.0,3627.8
B,킹코도,1257.0,1395,1318,1127,203.6,46,15.9,3238.1
B,엘몽,1201.2,1100,1319,1134,202.6,59,15.9,3220.6
B,유앵화,1320.4,1918,1332,1010,229.9,33,15.8,3625.8
B,레피돌,1115.2,784,1337,1059,219.2,85,15.7,3446.6
B,포뭉S2,1295.4,1555,1342,1119,208.3,41,15.7,3262.9
B,하모시달,1216.6,1313,1348,1037,226.4,49,15.5,3517.0
B,냐땅이,1087.2,464,1353,1133,208.6,154,15.4,3221.1
B,사사에,1312.6,1511,1358,1168,201.9,42,15.3,3095.7
B,해도밍,1134.8,1066,1361,943,256.7,61,15.3,3929.3
B,꽃이피,1169.8,889,1370,1110,215.4,74,15.2,3280.2
B,정따따,1460.4,2076,1384,1229,193.0,30,15.1,2907.1
B,햄부기쟝,1378.2,1601,1385,1260,187.8,40,15.1,2826.4
B,은 호리,1378.6,1713,1386,1204,197.9,37,15.0,2970.3
