channelId,follower
cdedd10b0a6c0c007a028a4f15c82ad1,2055
bfb62548021602bfa600e91a55adee2a,1554
0791ae0a49927a2a6719addcedfdac4f,3427
3d11f301d71cce5bcd1e96bbaec314be,5071
291b98d4a26536116f5117b943dac524,1980
3e948667805e7627459a599018d05853,4692
c4878eb1447abb88829430d16791aa94,4217
c0c5a89fb63a7b973fe1142d7b3d1751,4762
c8ce4df6e6cf691f05df554739ad05ed,2265
1b72f1d611d7567b000ebb868cdd112b,1861
09918cdeb675f93b76ab35ca5e1633af,3117
faf14a6390ed00ef73aa5bc06db32c5d,5968
29573c033c726c2e8aeda78e3a8882a6,3092
23a96c7728efd75092e69befd8d3630d,6035
1a84e42602fb493fef2ae998947a8782,2306
05ed3d1a39842c054856aa9b3b29ef18,5699
bd8ea6e410898451b78bf9445a7642c8,1146
52dd0f8efdfaed33c881b3da9c74788a,1277
897fa2922e9ecb01471ffd2acf57d66e,2108
d906aed58ea1c8e82fbf6ab4c6110649,6970
93e5e28013a8ab45c1a09fc5ae6135d1,3273
2cf1367e97d68909b024b368d2c4683c,10180
d0c1e0c1fee95ce6c30633365ff14851,738
f1869f490ddd660c420b2f57c649e6bb,8356
4385ebf9aa154e1bdd55fd12b0039912,4265
6a972320db5b67b982bfef2780dd9194,3249
d6ca483312eb96b9323c3283eaec6516,13612
437789ebfd9ac58804f1d38281bf03b2,5166
147592553d18fd240ed2b132f9f3be57,3405
931a442763cbc01cc2d88af283b9781d,1333
3001c37f75cbf22525da511c05172c5e,5458
6d19acd7aee6783ede66bbb1261381a5,9684
bb09c3d77aedaee9c38144d106dd48dd,6259
d6cd7a188322ab140704593e591013ae,1044
eeed421f9cb067c68f5a256313f5b80b,12080
5aa661567c8c14713a164759d21c036d,1353
acb6aedb439d58a73480f01f4b2456c7,3424
e0274a3a59f75085945727217968968d,3595
e0488306bfb284fc5d43f84af4a59ce4,1481
51211b5f8f3fe094f3740780aea32db0,3894
79e2928a3fad4b8200f33c3dee6799dc,2227
d74c1153ae31557d9065303a08d6f5cf,6124
f49ebb4cc978594951f227badeb5a12c,20314
963d93f0e33be26b837171331b567b7e,2669
44dae7a2b81746e217082f6ef7f81779,2416
