channelId,follower
d676df6bcb09c553c26a2e2b92542fd6,6702
52f13f0fde6421312164730f1332a5f1,19633
ddba126063cfa770d867aebfe37c318d,2593
73fc52c403eb3485524c02e1a0f2e623,2205
b228271d41131108f4873dbf77bca0f7,3681
4052512f2144699acc25cabaa6780b1e,5143
6636ac6dcac9c0b1e93b8259b8aced8d,1592
10b7410e52f8040ec86ec36c90f8b508,6806
474b909039b3944632e35acdfb217d3a,1198
4a372ebe1371e867cf160dcd4deeaf2c,1403
05fe6d7cecce71ac727f6b7124b05e29,3442
e630c27b3c51307c1a064213a4a000bd,2589
36a434c26b9da377a538a6e4b2b6f2c6,447
fcb753fcb6007b1fd8a1275562a31b11,1646
8b827c26630c78a3103f7edace82e66a,911
a1c82f5477f4c1c96ef409fc115a3e19,2438
b14e49789bae3c00b6b4c98d60ff036d,11894
d6e680f5b17eba0b078f978dd722c0f3,3703
5891784ca4e2320cfa25668f1f247579,518
48d54fc26fecb87b2f6125a08f484322,4007
57c46759986b55890b332f0a851c6f78,1856
b03f799de762c83b0d96ca392136ac24,937
2d4aa2f79b0a397d032c479ef1b37a67,38767
ab756bd312f988fa13e2d5c8744c91b0,1619
096a2050c7a15d9899b67ac9a77b883b,1608
9a3ed215c3ac19a3f75159a674485921,1569
568c1f0a86448b075ac7ff597c407b88,1551
051a3090c9566bdfd6af01cb1f463c16,3043
8e21a4713ba6372e6c5a98c3f7160824,11292
5edfc4deea955ae0bf15b7ab4401c398,719
40aaacd9eed9de2c511f23070f70c9d1,13148
3e058dcfbb022dfdaa1a9b7d9eefe45a,1220
2d27c050d8db708af8b54c9d128d2278,2199
cbfa98548ac10dc499d489fe50f61dc3,1148
61acacd56ff16f2b5cd09aa8b9d5002d,2200
0620b50934f58b684d7aa06a813ccb48,4053
4d92ba6a52eaf1c90f83e89ebc873228,753
c45f38431306650d33361c601badd441,480
d8f9cfab91b27abb7b3f7f2c1a186e29,2057
ae62ca36d3ef9891f4c1e34c6e8b3ba9,1929
d583388dc780e7867d0e8d712cea5e8b,1011
4152d4882dee686b05288769bbdb6769,357
8bca5c02ddc6c5a8ae9d0867a9ed8c50,882
ce932a15aba8c9704355eb3422702ab9,1637
ad56369d215c12693a57f2e258452076,541
6e0cf11c9837f580d79f1c247d0166c9,825
c96c49c253eb4122842679c2a3b9ebc6,1523
f9f5fda096ff44d36127036cd18b0db2,1559
40d277bcb13fc704ed7142cc974defb8,1814
937dbaf38df21d2b2be9359493ce4774,815
c1fff7c09364995853a887468cace330,672
f9c5767197acf2b93313d2f57d432a8d,1141
8c627607e27d65bd775fb28ce540f378,882
aa26e59c91a22bd430ec1d5d6d965dac,1188
f964cca49eac931fcac2a5be7c1b349f,1360
edca046a9e1e8fa80bc35b7fb8855b0b,1590
08d50d8b580de6b3c53e93224765a706,1940
a86f1bab2b5f0f802c456deee0f2b547,1014
97be9cdfb3dcd0c98219dfcbffb4baab,1026
7867d6ae0b65fd2db0158d030d320404,770
7340387668327f7da29f0b7308fa76f6,536
830d3552c7d6acea5b77cb688e58ba68,532
