channelId,follower
a7e175625fdea5a7d98428302b7aa57f,317991
64d76089fba26b180d9c9e48a32600d9,232455
a6c4ddb09cdb160478996007bff35296,244724
b044e3a3b9259246bc92e863e7d3f3b8,229780
45e71a76e949e16a34764deb962f9d9f,292038
8fd39bb8de623317de90654718638b10,198883
4de764d9dad3b25602284be6db3ac647,92782
516937b5f85cbf2249ce31b0ad046b0f,209195
4d812b586ff63f8a2946e64fa860bbf5,199361
4325b1d5bbc321fad3042306646e2e50,244543
4515b179f86b67b4981e16190817c580,202783
36ddb9bb4f17593b60f1b63cec86611d,148303
c0d9723cbb75dc223c6aa8a9d4f56002,132040
b5ed5db484d04faf4d150aedd362f34b,278140
a67b328bcc8eea4451ccfa754bc19ae1,95014
eaf7b569c9992d0e57db0059eb5c0eeb,55266
6ccaebc2569f62344c6fc257f8f2b9ad,39523
dae2de8eaa005a59163f2e4c045e1aa1,44354
1b0561f3051c10a24b9d8ec9a6cb3374,87328
32fb866e323242b770cdc790f991a6f6,53700
5b16ddd2a88d50b746affdfaa1e50ab0,67808
219d8e65810a77d6e42c7df018d9632b,146570
a9a343510e132ea3026ff3cf682820b5,55434
c7d3b49d29be2d2b1d74ba8403f5851a,55221
bd07973b6021d72512240c01a386d5c9,74911
798e100206987b59805cfb75f927e965,61124
8a933cb3a86c52aadb2483aa4eed72aa,47082
abe8aa82baf3d3ef54ad8468ee73e7fc,50212
941ea3807ba8b9b7dddb1670e3e7e5af,12337
5ead7124638ac4c568f2cde0224b3b6b,12054
affa78deac0b23d2046b8ed4856c1e62,80622
0d7600fc87a6a8621d5149d12da58ef8,11753
897a1ed91293eb9517b4620c07879153,8060
16267ae4675f980df5e77bafea37495f,5364
90695d782f44f6b7849cba7c0749e093,8720
124ca807978c091907e26c2a5c3b307a,7589
f67b66f4051fd2744ba9366571565771,30472
a9983d950a0ba4471b3d60bb9c5e0dd7,19707
0c061f7f79909af482d9e66879d2225c,9680
a3c5623862d0d1dda383f5efbc39c6f4,20588
6ec2829475b485474e7bd1df449cb160,10356
0b0dd269c4663fc36ee1eef8a8b1bea4,5818
b8b36da0d46acde123539f53daa23f7d,5125
10a7cea4de6c87033741fb821d6a3b18,6887
c59080612c2f5778a02b7bc680e160e9,6649
78d950b1c85bffff10367c4735aa6cfc,4571
f63f66f701a9af347c668f3056cdaa9a,3982
6f1ae352c78027acf1bd92589fc44128,17481
cf0962f3589219c7dca8addf13008fcc,3627
902744ac298720925b661711d76f7133,4205
06d4c49768cb633feeef590fce65bfab,2649
4a3cab967a74a5020258195fc9004145,24581
f0088e81766cba82348838db1e14b61d,4726
1482d68b3478d2962e9d000ed6a33167,5513
ff182197eed405b1130d22aa3a4fefa0,6286
934945011c0ed0da3ed719a349d3ba66,9405
85fa9f08b940d363395f6b3f29b91c4c,2952
08d62f3e1de7ab06e8d3ad89aa7ca985,7953
343c202c69ba6d11b7ec51741f9591ac,3397
eef5c2238f1667a915855c644ac4f975,9001
051f034c064edd60d48dee2a47bc0790,10203
b2854dc0735e55fa86c53bd15242d30f,12982
0a07375b21a52bd69ff087fa5cc60f0d,15801
e6df84b539791aba763f533f87ce3342,8729
d61f69f7ff143364ed19314837262ea2,4688
16fc49ff5ba7ec5d25a5a978cee3bdda,12054
2fe88ab2b731edd48b7b11feaedbf294,11351
bbe12c4cd654528048568aca4e5e6166,4383
521b37e8cd74b933501d3d1ad4d5031c,3589
be059789e19ac3e46198e15911a80122,5033
c077df8642ba944f714b5ec06cf195e4,7176
60761dc68dca3092c55c4371710ce848,4075
baf2109352261c8dd091feae895f3a11,11256
d58ace43901fd369f1b4efa4ed175103,7653
182d27a710b9dd25fa20172999184ec8,8357
8f3661d67e49f0b84736059952d59f06,6952
dcf8337aa57ed257b1c76bafbdb5c054,13673
f5c058c445257fa60fc75f91d52712fc,7591
c9392bfbbb1e52a3d022ed9b71c4a60f,4002
