name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,exclude_reason
호진리,chzzk,8a5fc0dec74718540f517aa1219d8a72,393,10.1,116,51,514,5920,하위(74-148),패스 오브 엑자일 2,75.2,리그 오브 레전드,13.5,로스트아크,6.1,4,unknown,
태윤02,soop,uqewarg,396,16.1,81,32,507,2114,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
스즈 SUZU,chzzk,aa66ed6da9e203c26807c0cd3579983a,398,4,161,126,505,42798,상위(149-296),ASMR,46.3,talk,21.2,슈퍼 단간론파 2: 안녕히 절망학원,18.2,7,unknown,
치비12,soop,chibi12,402,6.4,87,77,493,3720,하위(74-148),버추얼,89.9,리그 오브 레전드,8.7,발로란트,1.4,3,false,
김하선,soop,bjcherrybs,416,5.6,135,84,470,25449,하위(74-148),토크/캠방,72.5,리그 오브 레전드,26.4,스타크래프트,1.1,3,false,
보 투,chzzk,f1256792be34901bf7f94009f583afea,422,7,88,66,461,4601,하위(74-148),리그 오브 레전드,51.3,talk,48.7,,0,2,unknown,
세체뽀,soop,godqhr1222,424,13.4,76,34,459,3468,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
삐부,chzzk,5f44570b82fb82d4814ef9502cf6401a,425,3.4,188,135,457,92131,상위(149-296),talk,44,리그 오브 레전드,12.7,이환,11.4,15,unknown,
♡소유나♡,soop,kyoonah1217,435,4.6,123,96,440,33309,하위(74-148),그랜드 테프트 오토 V,49.4,토크/캠방,35.5,리그 오브 레전드,3.5,10,true,
휘용,chzzk,af02937d91855bbbae1b0649e9c21762,438,3.1,164,141,438,33863,상위(149-296),마인크래프트,45.2,talk,33.6,서브노티카 2,6.1,9,true,
CBLOL_GLOBAL,soop,cblolglobal,440,4.8,148,90,434,240,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,is_esports_team
엔마 Enma,chzzk,35af289529fad221cc2013d02ef1dfda,450,9.8,77,43,425,8411,하위(74-148),리그 오브 레전드,96.1,서브노티카 2,2.9,산나비,1,3,false,
지닝i,chzzk,3b0ae23d0d7a577e272203b5434575bf,452,15.2,99,28,420,1588,하위(74-148),로스트아크,90.7,리그 오브 레전드,5.1,PUBG: 배틀그라운드,3.4,4,false,
기뮨디,chzzk,22d485f7753a7102e2e8cce6c9ff1fcb,474,5.2,166,76,396,7748,상위(149-296),talk,84.9,리그 오브 레전드,15.1,,0,2,false,
lckhallengersleague,twitch,lckhallengersleague,476,28.5,99,14,392,306,하위(74-148),League of Legends,100,,0,,0,1,false,is_esports_team
쥐돌이쥐돌이,soop,aa6232,478,2.4,213,163,392,42876,상위(149-296),그랜드 테프트 오토 V,58.7,마인크래프트,20.9,러스트,5.1,9,true,
버찌 BUZZI,chzzk,85fa9f08b940d363395f6b3f29b91c4c,488,4.3,121,89,381,2888,하위(74-148),talk,59.5,블랙 소울즈,12.4,007 퍼스트 라이트,8,10,false,
WUJOOBIT,chzzk,073a004fb22ae5fc14fb6211ed42b926,498,7.1,74,52,371,318,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
새 담,chzzk,ca76c17a026bb41e6ff9e3fc5641de63,501,5,84,74,368,24619,하위(74-148),PUBG: 배틀그라운드,32.8,talk,24.4,V 라이징,15.4,14,true,
텐플라스텐 텐텐,chzzk,88eb7dda524ca626ad3e08359b182900,502,5.8,90,63,366,5013,하위(74-148),talk,30.8,PUBG: 배틀그라운드,13.7,음악/노래,12.3,20,unknown,
눈꽃,chzzk,343fc0e877aa8ca0cad5106b33d6fa95,503,3.8,139,96,365,53831,하위(74-148),리그 오브 레전드,33.9,talk,18.2,발로란트,11.7,10,unknown,
델로략국,chzzk,1542ba72a3d56f4d774c67925734a4a5,505,3.5,158,104,364,35131,상위(149-296),talk,33,블루 아카이브,19.2,명조:워더링 웨이브,14,19,unknown,
유키츠네,chzzk,52f13f0fde6421312164730f1332a5f1,507,6.6,127,55,363,19546,하위(74-148),리그 오브 레전드,77,talk,13.2,종합 게임,5.5,6,true,
옥쓔,chzzk,0e061c23f8d4e7b5a85ba52b7e18bd5b,509,3.6,137,100,361,21443,하위(74-148),명조:워더링 웨이브,57.3,talk,21.6,이환,5.7,11,true,
BJ스간,soop,limsoochol2,511,9.1,75,40,360,164134,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
이렐킹123,chzzk,993db7ed89d68093a278b094812490f5,518,3.3,144,107,354,13623,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
포키쨩,chzzk,c8adce2ff4a3618931e07c327e1fa070,521,1.6,270,218,349,28200,상위(149-296),talk,24,먹방/쿡방,23.1,스타크래프트 : 리마스터,20.2,28,unknown,
냐 미 Nyami,chzzk,afff6e3cc8c1487bc4135bc896811dcc,525,2.5,145,138,346,28162,하위(74-148),talk,50.9,명조:워더링 웨이브,17.1,007 퍼스트 라이트,6.5,11,false,
트롤야1,chzzk,826f57d3283418e1fa39dfb23dc1dea8,530,3.2,128,106,338,43241,하위(74-148),리그 오브 레전드,74.3,talk,17,Once Human,8.7,3,unknown,
성피아,chzzk,08d62f3e1de7ab06e8d3ad89aa7ca985,531,4.3,123,78,338,7910,하위(74-148),talk,44.5,PUBG: 배틀그라운드,15.5,명조:워더링 웨이브,14.4,8,unknown,
끠월마녀,chzzk,dcfd3c7cf3c05b41306a4cc249ad5c9f,535,4.5,115,74,334,13250,하위(74-148),talk,28.7,히어로즈 오브 더 스톰,26.9,V 라이징,12.8,15,unknown,
강다림,chzzk,5ebc36275f94b1342ef77e8ca5302d87,575,3.9,97,78,306,6306,하위(74-148),talk,79.8,리그 오브 레전드,20.2,,0,2,false,
해리,soop,gofl2237,587,1.4,232,216,303,36726,상위(149-296),버추얼,38.4,철권 8,22.8,그랜드 테프트 오토 V,15.2,17,false,
묵아,soop,nororo,588,2.8,121,108,303,3097,하위(74-148),버추얼,52.5,철권 8,27.6,러스트,8.4,10,false,
우사미 미유,chzzk,dac66ac2fc9b0d075ca026b136341570,609,5.9,125,49,287,3990,하위(74-148),talk,35.3,리그 오브 레전드,16.7,명조:워더링 웨이브,11.7,11,unknown,
이 아니,chzzk,eef5c2238f1667a915855c644ac4f975,611,3.6,95,79,285,8939,하위(74-148),talk,56.7,러스트,13,승리의 여신: 니케,11.2,10,false,
킹설아,chzzk,3eb9808e8ec29e79c6d54060c964b1a5,624,2.2,191,127,280,8650,상위(149-296),메이플스토리,71.5,talk,15.3,메이플스토리 월드,3.2,10,true,
김 복순,chzzk,303f8126eecc8a8f7b2decd146b4c7a4,627,6,78,47,279,2450,하위(74-148),talk,61,리그 오브 레전드,19.6,007 퍼스트 라이트,7.1,8,false,
템트입니당,chzzk,50c2d327030ce9267da9ad289f31c0af,634,19.1,81,15,277,176,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
최애리,soop,cherru,645,1.4,203,192,269,3919,상위(149-296),버추얼,66.8,승리의 여신: 니케,18.9,명조: 워더링 웨이브,6.2,7,false,
나예리._.,soop,ovoa3316,654,3.5,108,75,263,12320,하위(74-148),주식,92.4,토크/캠방,3.2,스타크래프트,2.4,8,unknown,
이무지,chzzk,2564aae6bb474dd58c22023afa4cbe72,657,1.6,177,163,261,34822,상위(149-296),talk,44.5,발로란트,24.8,리그 오브 레전드,7.2,17,unknown,
먀 리린,chzzk,0791ae0a49927a2a6719addcedfdac4f,677,3.7,81,68,253,3409,하위(74-148),talk,59.2,프래그마타,14.1,명일방주: 엔드필드,7.8,6,false,
라로시_,soop,larothy,687,1.9,156,130,247,38794,상위(149-296),버추얼,49.3,천원돌파 그렌라간,19.7,마인크래프트,11.1,9,false,
셀키_,soop,sellkey,724,4.5,82,51,231,5994,하위(74-148),버추얼,86.1,마인크래프트,7.9,리그 오브 레전드,3.1,6,false,
CBLOL,chzzk,85de933f88c9f7ba1a2e364668b2ac86,748,4.9,100,46,225,885,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,is_esports_team
하나빈 HANAVIN,chzzk,7ca6c5f45a9b16f75970f54c309623c0,773,2.3,109,93,213,7787,하위(74-148),talk,49.2,마인크래프트,17.5,종합 게임,6.7,18,unknown,
정와,soop,jeongwazzang,810,1.9,127,105,199,11901,하위(74-148),버추얼,90.7,리그 오브 레전드,5.1,이웃사람,1.6,5,false,
LCP,soop,lcpglobal,816,4,94,49,198,302,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
롤체고찌,chzzk,a10f2d5e29471eaca4b15f473548996e,837,2.3,105,83,191,9808,하위(74-148),전략적 팀 전투 : 우주의 신들,72.9,talk,12.6,리그 오브 레전드,12.3,4,unknown,
티모짱teemo0o,chzzk,fa50306ff4d73893d36e6623c8320552,845,1.8,123,105,189,11723,하위(74-148),talk,63.4,리그 오브 레전드,30.1,음악/노래,6.5,3,false,
하이브리드99,soop,leednwls1274,865,4.3,82,43,184,8590,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
PerfecT5,soop,nsmin1243,869,1.1,183,166,182,4697,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
한화생명관전,chzzk,3a0e5645ac3bbefdff1ebb11bc0c73ec,872,2.3,122,79,182,1624,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
찬우정,chzzk,0947e9a9cbc8a2bfdc61b83ccbd2b490,874,2.1,108,87,182,8006,하위(74-148),talk,61.6,메이플스토리 월드,27.5,리그 오브 레전드,10.9,3,false,
부리123,chzzk,7572f995f7406c8795d42c68d3632b93,885,1.7,147,105,179,6092,하위(74-148),이스케이프 프롬 타르코프,97.9,리그 오브 레전드,2.1,,0,2,unknown,
냐오 NYAO,chzzk,79ef1f5274b48fcb2de41b8ac8ea7ca1,916,4,78,43,172,7125,하위(74-148),음악/노래,71.5,데드 바이 데이라이트,7.1,리그 오브 레전드,6.3,11,unknown,
하블리♬,soop,gddms97,947,1.6,145,103,165,39132,하위(74-148),스타크래프트,96.3,리그 오브 레전드,2.9,LCK,0.8,3,false,
LCP,chzzk,41362c2ce80c61ea94d07026032f4602,953,4.1,81,40,164,1432,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
루첼,soop,ausdurfurwpf,967,1.7,108,95,161,3329,하위(74-148),버추얼,48,승리의 여신: 니케,12.6,천원돌파 그렌라간,12.5,9,false,
프제짱123,chzzk,01d5b9f6a7939bb520b989310ea10504,974,2.2,132,72,159,16445,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
난바다,chzzk,b1ac916d727d32cb7f472b50f6f97654,998,1.6,120,96,153,10327,하위(74-148),talk,64.3,하스스톤,7.8,마법소녀의 마녀재판,5.6,16,false,
