no,스트리머,최고시청자,평균시청자(노방종오염),방송시간,뷰어십
153,o에짱o,70,47.9,4.2,201
154,진유연,70,54.2,3.2,173
155,병병병2,69,41.4,42.9,1777
156,월킹,69,48.9,2.7,132
157,요루야,69,52.7,2.1,111
158,포모나,67,35.9,28.1,1009
159,드얌,67,50.8,16.9,859
160,이여우1,66,37.5,41.9,1571
161,다래임,66,34.7,33.4,1159
162,건망고,66,23.2,27.6,640
163,닝냉뇽,66,46.7,2.1,98
164,보리미당,65,24.9,34.4,856
165,오유리,65,36.5,12.7,463
166,태양고블린,65,54.1,5.7,308
167,김데데1,65,52.9,4.2,222
168,릴루 Leeloo,65,48.5,3.9,189
169,실디아 Sildia,64,23.4,117.0,2743
170,재울게,63,28.3,110.0,3116
171,슬히찡,63,36.4,53.8,1958
172,새우 새우,63,49.8,4.4,219
173,키미도리 메로,62,40.8,16.5,673
174,치치94,61,16.3,522.0,8532
175,함현식,61,22.3,221.6,4937
176,히나아루,61,15.7,114.7,1802
177,치즈냥 ZuNyang,61,39.6,45.1,1786
178,덤덤보,61,24.0,4.9,117
179,건우건우1,61,25.6,2.8,72
180,이차가식기전에,60,22.7,149.2,3385
181,밍 설,60,20.6,133.0,2740
182,라쿤99,60,7.4,291.2,2148
183,삐요라네,60,33.6,18.7,628
