aggregation_window_end,aggregation_window_start,avg_viewers,boundary_signal,category_basis,channel_id,channel_name,channel_url,cohort_cell_id,cohort_type,collected_at,disclosure_tag,exclude_reason,follower_count,is_corporate,is_esports_team,is_tournament,is_virtual,missing_reason,parse_status,peak_viewers,platform,primary_category,raw_record_path,request_url,response_hash,row_text_sample,run_id,source_name,source_rank,source_url,total_stream_hours,viewership
,,125274,,SOFTC.ONE category page filtered type=naverchzzk,9381e7d6816e6d915a44a13c0195b202,LCK,https://viewership.softc.one/channel/naverchzzk/9381e7d6816e6d915a44a13c0195b202,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,289990,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,1be603d420fc8decfa0a127147f7648f9dd8007063285b0265939ffd6d44073b,"1 LCK 1/1/1 1 p 16.9 h 289,990 125,274 2,117,125",kimdalsu_recollect_20260616_01,SOFTC.ONE,1,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,16.9,2117125
,,64775,,SOFTC.ONE category page filtered type=naverchzzk,0b33823ac81de48d5b78a38cdbc0ab94,울프,https://viewership.softc.one/channel/naverchzzk/0b33823ac81de48d5b78a38cdbc0ab94,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,193981,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,f0794000acc17639fec149b5dae58e3ed9658c208cb3cb9fdd16ad952855cbc8,"2 울프 2/2/2 2 p 15.7 h 193,981 64,775 1,016,975",kimdalsu_recollect_20260616_01,SOFTC.ONE,2,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,15.7,1016975
,,14394,,SOFTC.ONE category page filtered type=naverchzzk,1a1dd9ce56fb61a37ffb6f69f6d5b978,강퀴88,https://viewership.softc.one/channel/naverchzzk/1a1dd9ce56fb61a37ffb6f69f6d5b978,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,30204,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,7928c4cf6fd29df7527be4fdf4c58773df0c54f564df0b823f9cba74c3414f55,"3 강퀴88 3/6/3 4.2 p 18.2 h 30,204 14,394 261,979",kimdalsu_recollect_20260616_01,SOFTC.ONE,3,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,18.2,261979
,,17623,,SOFTC.ONE category page filtered type=naverchzzk,04b9076004dfe8cb119835eb28dcc747,치지직 게임,https://viewership.softc.one/channel/naverchzzk/04b9076004dfe8cb119835eb28dcc747,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,26069,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,7400b4ee068ab1259ac303142c63f94d77b428c1b86cadc730b523364e5756a4,"4 치지직 게임 5/3/9 5.8 p 12.2 h 26,069 17,623 214,995",kimdalsu_recollect_20260616_01,SOFTC.ONE,4,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,12.2,214995
,,14506,,SOFTC.ONE category page filtered type=naverchzzk,a7e175625fdea5a7d98428302b7aa57f,탬탬버린,https://viewership.softc.one/channel/naverchzzk/a7e175625fdea5a7d98428302b7aa57f,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,29490,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,15403194f96bd1193ccbe8355a0770b37c3f15810cd9bc8b3ea8d03723ac6af4,"5 탬탬버린 4/5/11 7.2 p 11.9 h 29,490 14,506 172,617",kimdalsu_recollect_20260616_01,SOFTC.ONE,5,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,11.9,172617
,,8679,,SOFTC.ONE category page filtered type=naverchzzk,3497a9a7221cc3ee5d3f95991d9f95e9,랄로,https://viewership.softc.one/channel/naverchzzk/3497a9a7221cc3ee5d3f95991d9f95e9,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,13332,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,595fd78689994be48715c52dbe4408175411c0ba1c481908743ed361e4680e3b,"6 랄로 8/7/8 7.6 p 25.3 h 13,332 8,679 219,589",kimdalsu_recollect_20260616_01,SOFTC.ONE,6,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,25.3,219589
,,4724,,SOFTC.ONE category page filtered type=naverchzzk,bb382c2c0cc9fa7c86ab3b037fb5799c,침착맨,https://viewership.softc.one/channel/naverchzzk/bb382c2c0cc9fa7c86ab3b037fb5799c,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,11699,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,346161d61cc5f529bf228d4359513292e46c56e2a8af1464987d6b9a4ac6fef1,"7 침착맨 10/11/6 8.8 p 49.9 h 11,699 4,724 235,727",kimdalsu_recollect_20260616_01,SOFTC.ONE,7,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,49.9,235727
,,3946,,SOFTC.ONE category page filtered type=naverchzzk,aedecd121e2cf471fd8510f980cac8b1,운타라,https://viewership.softc.one/channel/naverchzzk/aedecd121e2cf471fd8510f980cac8b1,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,19205,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,6d97a6ef485c4ac9db6a987cd4dd49a8271e93fd3742a595a949e0b9d8e0d379,"8 운타라 7/13/7 9.4 p 57.1 h 19,205 3,946 225,328",kimdalsu_recollect_20260616_01,SOFTC.ONE,8,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,57.1,225328
,,3751,,SOFTC.ONE category page filtered type=naverchzzk,26ae7850ad5b6b09ca864d482dc7fa50,큐베 CuVee,https://viewership.softc.one/channel/naverchzzk/26ae7850ad5b6b09ca864d482dc7fa50,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,10173,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,f73f51457ceb9e8ee7f4ab16d406bc7b23ad15b04abcd09fa0f32bbf3c94479c,"9 큐베 CuVee 12/15/4 10 p 68.4 h 10,173 3,751 256,591",kimdalsu_recollect_20260616_01,SOFTC.ONE,9,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,68.4,256591
,,3184,,SOFTC.ONE category page filtered type=naverchzzk,dab6c354212f9c54b1ed805d7d832ae6,베릴20,https://viewership.softc.one/channel/naverchzzk/dab6c354212f9c54b1ed805d7d832ae6,,main_cohort_population_candidate,2026-06-16T21:13:52+09:00,red,,,,,,,,ok,9544,chzzk,리그 오브 레전드,40_arthur_collect/softcon_chzzk_lol_population_monthly/combined.json,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,a2de7039078c97ab53d26ab115def48e5fc3f127bb04d5f00f36adb0f6fb1e54,"10 베릴20 14/19/5 12.4 p 76.9 h 9,544 3,184 244,882",kimdalsu_recollect_20260616_01,SOFTC.ONE,10,https://viewership.softc.one/category/%EB%A6%AC%EA%B7%B8%20%EC%98%A4%EB%B8%8C%20%EB%A0%88%EC%A0%84%EB%93%9C/softconeranking,76.9,244882
