channelId,name,tags,sumLiveViews,viewership,maxLiveViews,avgLiveViews,airTime
5f800579267362c952f76f3c6fe695b2,"금사향",virtual;mblee;leopel,235469,23546,1450,715.7112462006079,32.9
59aa824e4c4a56dd51e7a5e2e9172648,"쿠온 레이 Planeta",virtual,329374,32937,1365,570.8388214904679,57.7
ed21d36a44d1956520189a784afc27ed,"이초홍",virtual;mblee,227502,22750,1741,628.4585635359116,36.2
65a53076fe1a39636082dd6dba8b8a4b,"오화요 Ohwayo",virtual;honeyz,242587,24258,1484,620.4271099744245,39.1
0de024a1ca4a64f1a23a95ff9eeee5a5,"임나은",mblee;virtual,224680,22468,2467,501.51785714285717,44.8
e14259667937be6e561d28ab156718be,"해블린",virtual;tbaroselena;mktalk15;leopel,293622,29362,1365,554.0037735849056,53
3e3781d3bd20dadc2f6f6d5d30091195,"포포포포 POPOPOPO",virtual,292642,29264,1271,556.3536121673004,52.6
ec30975bd41d3179fe7734ddbf760acb,"이로나묭 치카",virtual,279446,27944,833,470.44781144781143,59.4
a54372e8197f6d241a43a318279860d6,"쿠레나이 나츠키",virtual;mktalk15,204949,20494,1696,416.5630081300813,49.2
e4b12ad6a22d3e8d1dd8a79522cca667,"미니멜로",virtual,202258,20225,2482,354.8385964912281,57
26253bf7ed6b95832c40f4f43f6d049d,"티뭉",virtual,161281,16128,1075,601.794776119403,26.8
a048127622edd6c3ee8e477471a1d823,"빙하유",virtual;mktalk15,144574,14457,1598,495.1164383561644,29.2
f3228c570a0b3b1f0f8306e3479ea46b,"연 리",virtual;tbaroselena;mktalk15,204009,20400,878,441.5779220779221,46.2
41d1490bd67b3818d7dc53427a4d6cea,"앵보",virtual,184540,18454,1110,425.2073732718894,43.4
4ebef1eb4194611996dc38abf1d226d1,"마레 플로스",virtual;mktalk15;leopel,154291,15429,1062,491.37261146496814,31.4
f00f6d46ecc6d735b96ecf376b9e5212,"니니아",virtual,193695,19369,1287,368.2414448669202,52.6
a3ceb9179d99be8d1e63b3e911fcd16b,"키유 Kiyuu",virtual,173542,17354,916,443.84143222506395,39.1
f3b204dd3fd6925835ca1848cd4b6d3c,"오단밍",virtual;leopel,216452,21645,819,376.4382608695652,57.5
61f73be23ed1d1d650ba24f268570036,"맹숙",virtual,227921,22792,728,366.43247588424435,62.2
b82e8bc2505e37156b2d1140ba1fc05c,"담유이",virtual;honeyz,146221,14622,889,406.1694444444444,36
0a2020b09b8cc7f2285b7ae5de2ce4d3,"테리 눈나",virtual;mktalk15,139659,13965,1046,395.63456090651556,35.3
20ef78f064ebfd8dd4f7ec8a3a222fd2,"백곰파",virtual;mktalk15,125689,12568,1587,351.08659217877096,35.8
314fd8aa23dccfedf21bcc00cd6df9ec,"성우 김가령입니다",virtual,96846,9684,1245,477.0738916256158,20.3
7792c631f74f66e92ae25949a3a11abb,"하쿠텐 후와",virtual,194909,19490,813,352.4575045207957,55.3
e9ff6a0d42f604ac57fcd53f1c3b9bc0,"늦잠",virtual,98552,9855,738,579.7176470588236,17
f2fd35b4bce38e375cd77b6a6904b4a4,"부쿠키",virtual,158561,15856,634,438.01381215469615,36.2
1e09ba347161a434e40b8245e0bf3cb3,"아오토라 유키",virtual,78994,7899,2432,422.427807486631,18.7
d9c00ea08106b660e26abcd730e7d796,"이샤 ISHA",virtual,189224,18922,731,353.02985074626866,53.6
0aea99d7015373c158d60a7d26bb743a,"루이쨘",virtual,44525,4452,2660,1391.40625,3.2
9351fb8417f73405c84e0846409e3263,"햄쿠비",virtual;leopel,178665,17866,594,360.2116935483871,49.6
361eea6eaa690bcfe8004fd6ade7dda7,"배비꼬",virtual,135954,13595,1225,327.6,41.5
fd9d35299c6816ad7c7fc6867cc7c195,"오리고기 ORIGOGI",virtual,48739,4873,1872,1160.452380952381,4.2
a96cea2d2c39cec636ba8170c66a0510,"RED레드",virtual,114947,11494,1210,344.15269461077844,33.4
9199eb6eb3dea874f47bbb35bd1dfee2,"유세라",virtual,163115,16311,698,340.5323590814196,47.9
aa66ed6da9e203c26807c0cd3579983a,"스즈 SUZU",virtual,102258,10225,1764,262.87403598971724,38.9
f3f7af23c948938651fd244014ff1204,"향아치",virtual,110150,11015,578,428.59922178988325,25.7
1567d9b28732044e1c91f6b4c19c1e0d,"통깡이",virtual,136726,13672,634,353.297157622739,38.7
ba1469a50bdc7f420d775f43f29b1414,"감군장입니다",virtual,118933,11893,1039,307.3204134366925,38.7
41e6c86cf804123cc8574b4cd118c019,"404 덩기덕",virtual,93608,9360,1463,298.11464968152865,31.4
57aeb13825bf7d402273ecfa936356e4,"카토kato",virtual,80085,8008,1054,357.52232142857144,22.4
61958008140886fe1eda9910cfef5812,"모 아",virtual,88875,8887,1359,296.25,30
4885cc52d10d534564057267b8e380be,"모치즈키 카에데",virtual,74166,7416,677,466.45283018867923,15.9
2cc562e9370970d567c1a25c5c7d0e77,"남궁혁",virtual;mktalk15,88736,8873,510,389.1929824561403,22.8
a86031fdfeb1b223ad1172cf6ba4b94e,"꽃핀",virtual;leopel,76178,7617,836,346.26363636363635,22
1ab3db7c25c6362885ff9c9e2df3ab41,"명떡",virtual,88005,8800,824,272.4613003095975,32.3
