name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
츄프,naverchzzk,7edc1bfd477b6fbfd6d7fb32132f11a6,270,10.4,12,8,85,797,10-15,PUBG: 배틀그라운드,55.2,talk,14.1,마인크래프트,12.4,13,false,single_game_or_non_game,,sample_1_peak_10_50
쿠빼미,naverchzzk,b49bd578b2a41b2e34ba198a23833305,272,10.2,14,8,83,388,10-15,철권 8,70.6,종합 게임,9.5,명조:워더링 웨이브,6.6,17,false,single_game_or_non_game,,sample_1_peak_10_50
젠가놈,naverchzzk,348542b853d10d1c6a4a5163a9977b52,275,2.9,34,28,82,991,31-40,talk,78.8,종합 게임,5.9,역전재판 123 나루호도 셀렉션,2.6,16,false,talk_primary,,sample_1_peak_10_50
요나일,naverchzzk,c89aea6a3d5fc9902c2fda86290a16cd,276,5.2,24,16,81,540,21-30,윈드로즈,40.1,워크래프트 3: 리포지드,24.8,헌트: 쇼다운 1896,9.6,10,true,multi_game,,sample_1_peak_10_50
유니코 YUNICO,naverchzzk,1abdd12d26d0bdd140274d854165133d,277,9.6,13,8,81,695,10-15,종합 게임,31.9,talk,26.4,PUBG: 배틀그라운드,12.0,11,true,gg_primary,,sample_1_peak_10_50
롤랜드고릴라김수향,naverchzzk,c96c49c253eb4122842679c2a3b9ebc6,278,4.2,26,19,81,1435,21-30,talk,65.6,이스케이프 더 백룸,8.4,음악/노래,6.7,9,false,talk_primary,,sample_1_peak_10_50
시권,naverchzzk,cbfa98548ac10dc499d489fe50f61dc3,279,5.5,20,15,80,1149,16-20,던전앤파이터,63.0,메이플스토리 월드,21.4,다잉 라이트,6.9,5,true,multi_game,,sample_1_peak_10_50
한재아 HANJXAH,naverchzzk,1825d8692fa33e01f977af68d843a15d,280,3.3,36,24,80,2022,31-40,검은사막,66.8,종합 게임,6.1,SD건담 지 제네레이션 이터널,3.9,13,false,single_game_or_non_game,,sample_1_peak_10_50
명칠,naverchzzk,df6659823ef826712589946135b0ec49,281,4.2,25,19,80,693,21-30,스텔라 블레이드,24.6,서브노티카,22.7,talk,14.7,10,true,multi_game,,sample_1_peak_10_50
누누2915,naverchzzk,7839037e2c05af7473df365aab79fbaa,284,4,25,20,78,886,21-30,talk,34.1,이환,22.5,검은사막,21.3,7,true,multi_game,,sample_1_peak_10_50
막셋,naverchzzk,d8c10a2e77e76677b093582ef6373e5b,285,6.3,19,12,78,944,16-20,마인크래프트,30.1,리그 오브 레전드,26.0,talk,19.1,10,true,multi_game,,sample_1_peak_10_50
팡팡에몽,naverchzzk,67b99b03f73b0bc2f8fe1d2ef5c9af81,286,4.5,25,17,78,618,21-30,림월드,26.6,리그 오브 레전드,25.8,종합 게임,18.3,15,true,multi_game,,sample_1_peak_10_50
플환,naverchzzk,5c503150c62c3fb8bbf73f589b6b37b8,288,7.1,14,11,77,839,10-15,로스트아크,44.1,talk,19.4,종합 게임,12.9,8,false,single_game_or_non_game,,sample_1_peak_10_50
라낭,naverchzzk,fd7414e8428411e3b42247643b1f49fe,289,5.8,18,13,77,1139,16-20,던전앤파이터,36.5,승리의 여신: 니케,12.8,그레이브야드 키퍼,9.2,13,false,single_game_or_non_game,,sample_1_peak_10_50
카라미,naverchzzk,84801f1865c992d74e715ab0734acb5b,291,11.6,11,7,76,77,10-15,리그 오브 레전드,36.6,마인크래프트,35.8,종합 게임,9.2,11,true,multi_game,,sample_1_peak_10_50
도슈 Dobostorte,naverchzzk,aec7b4a6438338de7757597887b957ba,293,8.5,15,9,76,346,10-15,고전 게임,43.4,요시와 신기한 도감,20.2,미나 더 할로워,19.6,6,true,multi_game,,sample_1_peak_10_50
시 끝,naverchzzk,2b975a045289eabe29135d7917d5f38d,294,4.5,20,17,75,720,16-20,그림/아트,82.9,종합 게임,15.6,2026 FIFA 북중미 월드컵,1.1,4,false,single_game_dominant,,sample_1_peak_10_50
민티 Minty,naverchzzk,023ecbfd298488c462289fb2632da178,295,11.3,12,7,75,484,10-15,리그 오브 레전드,43.5,PUBG: 배틀그라운드,22.7,종합 게임,10.3,11,true,multi_game,,sample_1_peak_10_50
이 늘,naverchzzk,95e423601436eddf88806b91f5d67762,296,4.1,24,18,75,258,21-30,이환,78.9,메이플스토리 월드,14.2,talk,3.2,5,false,single_game_or_non_game,,sample_1_peak_10_50
지 효 닝,naverchzzk,f2c74e59d7b72c1610bcbcfdeeb0cf34,298,12.2,21,6,74,318,21-30,종합 게임,60.3,성세천하: 여제의 탄생,11.2,모험가 엘리엇의 천 년 이야기,6.8,9,true,gg_primary,,sample_1_peak_10_50
B DAWN 비던,naverchzzk,6b0ff94648d69467df7af3bc2c8ba413,299,3.9,24,19,73,178,21-30,메이플스토리 월드,91.5,talk,2.6,썸썸 편의점,2.0,8,false,single_game_dominant,,sample_1_peak_10_50
unknown,naverchzzk,aeb7f6cf0d7f8af56797430b5a74f9cd,300,3.2,26,23,72,570,21-30,talk,96.5,스포츠,2.0,종합 게임,1.5,3,false,talk_primary,,sample_1_peak_10_50
도기태,naverchzzk,3e1a9477d42ae145c02b0ce5e730a9b0,304,4.6,19,15,70,368,16-20,talk,38.8,고스트피아 시즌 원,20.2,데드 바이 데이라이트,12.0,12,false,single_game_or_non_game,,sample_1_peak_10_50
옆집사는헤이헤이,naverchzzk,ad56369d215c12693a57f2e258452076,305,4.2,20,17,70,542,16-20,몬스터 헌터 와일즈,44.0,talk,25.7,몬스터 헌터 월드: 아이스본,8.7,10,false,single_game_or_non_game,,sample_1_peak_10_50
김쿠엔,naverchzzk,c95d476610949334065e94d04dd2aee9,306,4.8,18,15,70,1222,16-20,메이플스토리 월드,54.5,몬길: STAR DIVE,26.4,talk,9.1,13,true,multi_game,,sample_1_peak_10_50
포토,naverchzzk,a7bff687829833b36f02bc712824de5d,307,8.5,14,8,69,347,10-15,에이펙스 레전드,41.6,talk,26.4,종합 게임,21.7,7,true,multi_game,,sample_1_peak_10_50
송찐빵,naverchzzk,4028770e384f396fe3318baad907cff5,309,3.1,29,22,69,4385,21-30,블루 아카이브,44.2,talk,21.6,종합 게임,19.5,6,true,multi_game,,sample_1_peak_10_50
유앵화,naverchzzk,97be9cdfb3dcd0c98219dfcbffb4baab,311,4.1,22,17,68,1018,21-30,talk,22.4,명조:워더링 웨이브,12.1,종합 게임,11.8,19,false,single_game_or_non_game,,sample_1_peak_10_50
라두스,naverchzzk,3e871ee5eeefd77fff44260a29f24071,313,3.6,24,19,67,422,21-30,talk,45.9,그림/아트,19.2,더 클래스룸,6.0,13,false,single_game_or_non_game,,sample_1_peak_10_50
수밍수밍,naverchzzk,e3e007896d3e15a985123e1a6c065656,314,6.9,12,10,67,247,10-15,talk,76.2,종합 게임,17.9,에브리씽 이즈 크랩: 동물 진화 로그라이트,5.9,3,false,talk_primary,,sample_1_peak_10_50
강철심장 박웅철,naverchzzk,58cd460b1e43a1f42871ab41efad6a97,316,20.4,10,3,66,68,10-15,리그 오브 레전드,78.2,홍콩실록,9.7,종합 게임,7.4,8,false,single_game_or_non_game,,sample_1_peak_10_50
꾸리쨩,naverchzzk,cad40a363b128ba0553ddc2832d32910,317,1.9,41,35,66,4515,41-50,talk,76.2,오버워치,19.1,마인크래프트,2.3,7,false,talk_primary,,sample_1_peak_10_50
0연이0,naverchzzk,c229e6ea809e224cf14409f89cf14c65,319,9,11,7,64,56,10-15,talk,38.5,종합 게임,29.8,마인크래프트,20.1,4,true,multi_game,,sample_1_peak_10_50
묘링 Myoring,naverchzzk,ff5c50ee96f6871112f776679ea2c4ee,320,3.6,23,18,64,1617,21-30,talk,72.2,종합 게임,9.7,클로버핏,8.6,7,false,talk_primary,,sample_1_peak_10_50
복죽이,naverchzzk,c3720c79a7283c79eb4573a4eef8f6e3,321,5.7,20,11,63,1067,16-20,데드 바이 데이라이트,92.9,종합 게임,6.9,talk,0.2,3,false,single_game_dominant,,sample_1_peak_10_50
마리모O,naverchzzk,10b7410e52f8040ec86ec36c90f8b508,324,1.5,46,42,63,6750,41-50,talk,46.8,로보토미 코퍼레이션,20.2,종합 게임,8.2,15,false,single_game_or_non_game,,sample_1_peak_10_50
바보6,naverchzzk,a5aecbaee8727e0aea126ec3334cf61f,325,13.4,14,5,63,182,10-15,철권 8,59.2,다크 소울 2,14.6,종합 게임,10.7,10,false,single_game_or_non_game,,sample_1_peak_10_50
헤냥,naverchzzk,edca046a9e1e8fa80bc35b7fb8855b0b,326,3.6,22,17,63,1585,21-30,talk,33.5,마인크래프트,10.8,승리의 여신: 니케,10.3,10,false,single_game_or_non_game,,sample_1_peak_10_50
제유기,naverchzzk,b69d419cd22ae14a5c3cc7ee568ec908,327,15.6,10,4,63,212,10-15,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
더듬이 Dudemi,naverchzzk,08a4fd4c00f1e0faac6c27eaa19b20db,328,6.1,18,10,63,817,16-20,월드 오브 워크래프트: 한밤,33.5,talk,19.3,음악/노래,16.3,15,true,multi_game,,sample_1_peak_10_50
샷시호,naverchzzk,e528f5105fb757dbe6050bed8ca77541,330,7.1,15,9,62,243,10-15,talk,34.2,역전재판 3,16.6,종합 게임,13.8,13,false,single_game_or_non_game,,sample_1_peak_10_50
반토,naverchzzk,0ce04f529e8a94f4f553bec77b0bd76c,333,8.7,11,7,61,1025,10-15,음악/노래,29.1,포켓몬스터 적,19.8,로스트아크,16.7,8,true,multi_game,,sample_1_peak_10_50
존크라운,naverchzzk,dbb692c84413d92d9bded6ef67246914,334,10.2,11,6,61,194,10-15,고전 게임,66.4,종합 게임,17.4,이지투온 리부트: R,7.0,6,true,multi_game,,sample_1_peak_10_50
김 달래,naverchzzk,a0fe3f2a4ade129ff4fd1a414d3e1ec5,335,1.9,37,32,61,1827,31-40,그림/아트,93.1,종합 게임,3.1,talk,2.0,4,false,single_game_dominant,,sample_1_peak_10_50
서 링,naverchzzk,ab756bd312f988fa13e2d5c8744c91b0,336,2.9,28,21,61,1554,21-30,아레나 브레이크아웃,79.0,PUBG: 배틀그라운드,9.8,talk,2.9,9,false,single_game_or_non_game,,sample_1_peak_10_50
배귤,naverchzzk,4e0908da84e6d23c4b145d90a6a193ec,337,6.7,14,9,60,3523,10-15,talk,46.4,젤다의 전설 브레스 오브 더 와일드,11.8,성세천하: 여제의 탄생 Ⅱ,8.6,14,false,single_game_or_non_game,,sample_1_peak_10_50
땃 땃 쥐,naverchzzk,8b8697840179cb5269bfc244b7881ea1,340,5.8,15,10,58,639,10-15,림월드,21.9,이스케이프 프롬 타르코프,14.9,talk,8.8,19,false,single_game_or_non_game,,sample_1_peak_10_50
파피푸 페포,naverchzzk,98c7e0df39f2882e3ce0445e58772d44,342,4,18,14,58,1730,16-20,talk,32.6,종합 게임,24.8,오버워치,12.4,12,true,gg_secondary,,sample_1_peak_10_50
양지랖,naverchzzk,3a8b3fda88cec6b17c7923b77491fedc,343,7,13,8,58,435,10-15,마인크래프트,38.8,talk,31.4,종합 게임,25.8,4,true,multi_game,,sample_1_peak_10_50
빵태 Bbangtae,naverchzzk,35eb4ded033312b81de370f365e28ad6,344,5.6,17,10,57,3706,16-20,월드 오브 워크래프트 클래식,74.6,월드 오브 워크래프트: 한밤,9.4,talk,5.6,5,false,single_game_or_non_game,,sample_1_peak_10_50
호시노아 라쿠,naverchzzk,fe116a266eeb8f92fe3e28748ff9ca9b,345,3.8,22,15,57,213,21-30,아이온2,84.8,종합 게임,4.0,성세천하: 여제의 탄생 Ⅱ,3.4,9,false,single_game_dominant,,sample_1_peak_10_50
대충1,naverchzzk,4689938f36cf099ba2d03d957e22f9e9,346,5.2,16,11,56,954,16-20,음악/노래,70.9,종합 게임,12.8,그림/아트,10.3,6,false,single_game_or_non_game,,sample_1_peak_10_50
HUKA후카,naverchzzk,60a7ca5191e7987432e77593a368582a,347,1.9,33,30,56,1477,31-40,talk,39.3,이터널 리턴,13.4,종합 게임,12.6,12,false,single_game_or_non_game,,sample_1_peak_10_50
리루 Riru,naverchzzk,7cef15773a60d5815e563d93f305c16c,348,3.4,22,17,56,457,21-30,talk,67.6,그림/아트,19.7,종합 게임,12.7,3,false,talk_primary,,sample_1_peak_10_50
오랑쥬,naverchzzk,c43bc58378e0f9f747e2e69db74495b6,350,3.2,22,17,56,655,21-30,음악/노래,83.6,talk,13.2,종합 게임,3.2,3,false,single_game_dominant,,sample_1_peak_10_50
김쵸코,naverchzzk,2bbd33069fe3bf11fdeb3f1c58f49d26,351,3.5,20,16,56,977,16-20,명조:워더링 웨이브,72.4,talk,6.9,이환,6.7,7,false,single_game_or_non_game,,sample_1_peak_10_50
아쾅 Akuang,naverchzzk,92b123a665dab30d86b7cda3a9541480,352,3.3,30,17,56,1567,21-30,종합 게임,62.1,오버워치,19.9,메이플스토리,9.9,4,true,gg_primary,,sample_1_peak_10_50
허약이,naverchzzk,fa13aa7f06e0ab87ff5eee9935d40c98,353,1.7,36,32,55,771,31-40,스톰 스트라이커,34.5,talk,31.8,작혼: 리치 마작,7.7,17,false,single_game_or_non_game,,sample_1_peak_10_50
냥금이,naverchzzk,72827bbec4187a10829703330c6149bc,355,4.3,16,13,55,805,16-20,talk,51.1,종합 게임,19.9,승리의 여신: 니케,19.5,7,false,talk_primary,,sample_1_peak_10_50
김초나,naverchzzk,e90cf133df88bbeefac0d741a37ee5d8,356,6.3,13,9,55,581,10-15,이터널 리턴,41.4,오버워치,22.0,테라리아,13.1,11,true,multi_game,,sample_1_peak_10_50
밍두,naverchzzk,d583388dc780e7867d0e8d712cea5e8b,357,4.6,19,12,55,985,16-20,talk,42.6,종합 게임,14.7,명조:워더링 웨이브,13.9,10,false,single_game_or_non_game,,sample_1_peak_10_50
냐모이,naverchzzk,b6a1a1b3e7bd6a8860d61c09a6b79df5,358,4.4,16,12,55,2093,16-20,이터널 리턴,43.0,로스트아크,35.1,명조:워더링 웨이브,11.6,7,true,multi_game,,sample_1_peak_10_50
브레이든,naverchzzk,f71f8e6388ee43635555caa1769fcde4,359,1.4,44,39,55,12165,41-50,talk,55.1,리그 오브 레전드,14.8,용과 같이 0: 맹세의 장소,7.8,16,false,talk_primary,,sample_1_peak_10_50
킹지,naverchzzk,1448f838e3f929caeda2e4c81303245c,360,6.1,13,9,54,355,10-15,마운트 앤 블레이드 2: 배너로드,49.2,엘든 링,29.6,서브노티카 2,11.3,6,true,multi_game,,sample_1_peak_10_50
호꼼이네,naverchzzk,e0943eed63dbef392640f083daf13e49,361,5.6,14,10,54,2473,10-15,리그 오브 레전드,39.9,발로란트,23.3,talk,23.0,8,true,multi_game,,sample_1_peak_10_50
포란 Poran,naverchzzk,7cf5d6f87f925ea36d1840a2bae21e12,362,6,14,9,54,551,10-15,로스트아크,96.0,종합 게임,3.4,메이플스토리 월드,0.6,3,false,single_game_dominant,,sample_1_peak_10_50
l베스타,naverchzzk,8f6e71635fcb56907e76182bd18e6def,363,3.5,20,15,53,251,16-20,리틀 나이트메어 VR: 왜곡된 메아리,22.9,VR챗,18.5,종합 게임,15.8,8,true,multi_game,,sample_1_peak_10_50
로아로앜,naverchzzk,0370f76515359447a5a590333877c372,365,5.3,14,10,53,2461,10-15,종합 게임,39.0,페르소나 5 더 로열,24.8,talk,12.9,8,true,gg_primary,,sample_1_peak_10_50
일리공,naverchzzk,0298122d69a9b53d2dfc4c4e84d68a09,366,3.1,26,17,53,967,21-30,talk,59.4,종합 게임,15.7,마인크래프트,11.6,7,false,talk_primary,,sample_1_peak_10_50
온유 ONUU,naverchzzk,bc7c74b648e81ab03565aa7fe2405a61,367,9,12,6,53,225,10-15,talk,36.1,종합 게임,30.0,음악/노래,17.7,5,true,multi_game,,sample_1_peak_10_50
곤조 G0NZ0,naverchzzk,fcb753fcb6007b1fd8a1275562a31b11,368,1.5,41,35,53,1622,41-50,이터널 리턴,40.8,talk,40.4,명조:워더링 웨이브,9.8,6,false,single_game_or_non_game,,sample_1_peak_10_50
숲속의늑대,naverchzzk,3684893a6b44aa4bfb5716a8f0ae267f,369,7.8,11,7,53,226,10-15,종합 게임,34.5,talk,10.1,007 퍼스트 라이트,8.6,23,true,gg_primary,,sample_1_peak_10_50
늑찡,naverchzzk,e1c29ad471fff4e804345cb21181efd0,371,4.7,17,11,52,1046,16-20,이터널 리턴,74.1,세피리아,10.4,종합 게임,10.1,6,false,single_game_or_non_game,,sample_1_peak_10_50
이소쩍,naverchzzk,8fd0d27f25adb02864c8aa8da80c92ac,372,5,18,10,52,894,16-20,파이널판타지14,85.5,007 퍼스트 라이트,8.4,종합 게임,5.2,4,false,single_game_dominant,,sample_1_peak_10_50
히스이 렌야 HAVEN,naverchzzk,306b62bd3d7ac5dc4dfa98e57c209775,373,7.4,11,7,52,95,10-15,종합 게임,46.4,두근두근타운,17.7,talk,16.7,6,true,gg_primary,,sample_1_peak_10_50
응애인간,naverchzzk,937dbaf38df21d2b2be9359493ce4774,374,3.1,19,17,52,809,16-20,talk,36.8,종합 게임,15.8,마인크래프트,13.4,11,true,gg_secondary,,sample_1_peak_10_50
데로DeRo,naverchzzk,c98118d67256b1ba59b5dc3136962c85,376,7.2,14,7,51,93,10-15,철권 8,53.2,talk,26.2,리그 오브 레전드,9.8,7,false,single_game_or_non_game,,sample_1_peak_10_50
안드레온,naverchzzk,2f60d4feecc16304f77abd309ae387ba,380,5.7,13,9,51,434,10-15,종합 게임,55.3,talk,38.5,성세천하: 여제의 탄생 Ⅱ,6.2,3,true,gg_primary,,sample_1_peak_10_50
댕이뾰이,naverchzzk,f3554e67dca8935092004758a4810063,381,6,13,8,51,43,10-15,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
후추,naverchzzk,49f844e92f232690480eef280d7f5da6,383,13.6,10,4,51,102,10-15,로스트아크,50.6,종합 게임,20.5,아크 레이더스,18.9,6,true,multi_game,,sample_1_peak_10_50
캐스터루카와,naverchzzk,c92ad0808021c65614b65df326f342d6,384,5.2,17,10,50,427,16-20,talk,57.8,종합 게임,23.1,데드 바이 데이라이트,7.7,6,false,talk_primary,,sample_1_peak_10_50
기남시,naverchzzk,2d4aa2f79b0a397d032c479ef1b37a67,385,1.8,44,28,50,38788,41-50,리그 오브 레전드,57.1,PUBG: 배틀그라운드,18.9,마인크래프트,7.3,9,true,multi_game,,sample_1_peak_10_50
표비PYO B,naverchzzk,9ff5f67c928a1cc1aebc82cce396e5c6,386,11.3,11,4,50,73,10-15,종합 게임,96.2,talk,3.8,,,2,true,gg_primary,,sample_1_peak_10_50
Mr미나어로,naverchzzk,9c95df644ae8d0d711bb0089d333640b,387,7.6,11,7,50,277,10-15,talk,66.2,마인크래프트,12.8,성세천하: 여제의 탄생 Ⅱ,10.0,6,false,talk_primary,,sample_1_peak_10_50
아무탈,naverchzzk,bc64d1142877738a7d31f584ae13ea79,392,4.4,17,11,49,389,16-20,talk,62.3,그림/아트,15.9,음악/노래,6.9,7,false,talk_primary,,sample_1_peak_10_50
아네미네,naverchzzk,e007991bb28c7e6570ec959f08ac549f,395,2,32,25,49,1053,31-40,그림/아트,33.9,talk,33.0,노 맨즈 스카이,5.6,19,false,single_game_or_non_game,,sample_1_peak_10_50
우에노 소이,naverchzzk,35b825176856fa7ab54f97f111d3344d,396,3.4,19,14,49,682,16-20,talk,93.6,발로란트,2.2,종합 게임,2.0,5,false,talk_primary,,sample_1_peak_10_50
꿀콤보,naverchzzk,c6fb95c66843162a61d6ae2d40a9d290,398,5.8,11,8,49,590,10-15,에이펙스 레전드,43.2,마인크래프트,20.8,talk,12.6,10,true,multi_game,,sample_1_peak_10_50
unknown,naverchzzk,2fcd803a238fccd86bcb97cef73233f8,399,6.7,12,7,49,1047,10-15,종합 게임,17.8,스테퍼 케이스:초능력 추리 어드벤처,17.7,팀파이트 매니저 2,16.8,14,true,gg_primary,,sample_1_peak_10_50
unknown,naverchzzk,1027171a15c91ed71ce5090bc10fe75c,400,4.3,16,11,48,902,16-20,talk,76.5,종합 게임,7.6,스플래툰 3,6.1,8,false,talk_primary,,sample_1_peak_10_50
아슈 Asu,naverchzzk,8b7b1812ff48c2e63a04ad31237cafd8,401,3.9,16,12,48,796,16-20,음악/노래,59.1,로스트아크,28.9,talk,7.4,6,true,multi_game,,sample_1_peak_10_50
일쾌,naverchzzk,abc750bb5dd7e8726e1c952571a06408,402,3.8,18,13,48,705,16-20,철권 8,94.4,종합 게임,4.3,리그 오브 레전드,1.3,3,false,single_game_dominant,,sample_1_peak_10_50
드라미양,naverchzzk,7a847332420ea9ec8a2795d2bfd4ecaa,403,7.1,11,7,48,2223,10-15,림버스 컴퍼니,35.6,음악/노래,14.3,페르소나5: 더 팬텀 X,7.5,18,false,single_game_or_non_game,,sample_1_peak_10_50
멜랑 Melang,naverchzzk,78285bd858530f68b0d4b5dd9832c455,404,2.6,25,18,47,496,21-30,talk,71.5,음악/노래,18.8,종합 게임,9.7,3,false,talk_primary,,sample_1_peak_10_50
조 윤 Yun,naverchzzk,491b9e277f1cf6c4e27ddea9dffd137e,405,3.3,25,14,47,808,21-30,로스트아크,51.6,마인크래프트,22.1,메이플스토리 월드,6.9,11,true,multi_game,,sample_1_peak_10_50
진짜냥뭉,naverchzzk,dd85ba41de91fe4c970fd510d4ef1114,411,5.8,13,8,46,451,10-15,서브노티카 2,30.1,007 퍼스트 라이트,20.4,종합 게임,15.3,9,true,multi_game,,sample_1_peak_10_50
낙묘살,naverchzzk,9d1cb439b10828e9f26a87c3c89048f1,412,3.1,20,15,46,782,16-20,talk,49.1,오버워치,20.3,종합 게임,10.3,8,false,single_game_or_non_game,,sample_1_peak_10_50
란코 Ranko,naverchzzk,cc7426546f3874aaf670012e04e6daa1,415,3.2,16,14,46,957,16-20,talk,83.2,림버스 컴퍼니,6.4,점프 킹,4.1,6,false,talk_primary,,sample_1_peak_10_50
김땡땡72,naverchzzk,e9dae42d16bb265cc8f12de51534f6d2,417,7.1,10,6,46,76,10-15,오버워치,83.1,종합 게임,11.9,서브노티카 2,4.1,5,false,single_game_dominant,,sample_1_peak_10_50
작호 Jakho,naverchzzk,45206d34eae5d9f26897c0022da76275,420,4.2,16,11,45,383,16-20,이스케이프 프롬 타르코프,25.0,명조:워더링 웨이브,16.9,talk,16.3,10,true,multi_game,,sample_1_peak_10_50
구희수,naverchzzk,5493a34dc7d8b8941de16b128741f036,421,6.2,13,7,45,108,10-15,스타크래프트 : 리마스터,31.2,종합 게임,22.3,더 파이널스,18.3,6,true,multi_game,,sample_1_peak_10_50
베코미,naverchzzk,c2d91f611c9a662f53bc7ebf492ad5eb,423,6.2,10,7,44,108,10-15,talk,35.2,마법소녀의 마녀재판,21.5,음악/노래,18.5,6,true,multi_game,,sample_1_peak_10_50
미엘 스윗하트 HAVEN,naverchzzk,cf882ca21960c190dd6af5c8332d3876,424,2.6,20,17,44,2340,16-20,ASMR,32.9,마인크래프트,32.1,talk,20.1,10,true,multi_game,,sample_1_peak_10_50
도 하윤,naverchzzk,118008c4ade404fa72ab12c14d368a43,427,8,10,5,44,237,10-15,PUBG: 배틀그라운드,59.9,전략적 팀 전투 : 우주의 신들,19.9,talk,7.5,8,true,multi_game,,sample_1_peak_10_50
레모치,naverchzzk,0dd508730741917381fae33e6d1f8322,428,5.5,12,8,44,810,10-15,이터널 리턴,45.2,talk,34.2,히어로즈 오브 더 스톰,11.6,7,false,single_game_or_non_game,,sample_1_peak_10_50
김 용 찬,naverchzzk,8a1654622aa102cd8fec5345ab82e31f,429,8.1,10,5,43,82,10-15,PUBG: 배틀그라운드,42.8,몬스터 헌터 월드: 아이스본,39.5,talk,6.1,9,true,multi_game,,sample_1_peak_10_50
츠다,naverchzzk,e09e20d99895a71b0f9c549427eea71d,430,3.8,17,11,43,4654,16-20,이터널 리턴,74.4,talk,15.1,종합 게임,5.9,5,false,single_game_or_non_game,,sample_1_peak_10_50
어둠왕현승이,naverchzzk,6fa642f360b30e5aeac2c64bee50a52c,431,10.3,11,4,43,19,10-15,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
도콰,naverchzzk,e43e57d18238478ab373d447b8017d36,436,1.7,26,25,42,2677,21-30,talk,38.9,이환,18.6,명조:워더링 웨이브,10.8,15,false,single_game_or_non_game,,sample_1_peak_10_50
시스 SYS,naverchzzk,046e219af6bba8966f4fd85478922b7b,438,6.1,11,7,42,326,10-15,메이플스토리 월드,35.0,리그 오브 레전드,20.2,마인크래프트,12.8,10,true,multi_game,,sample_1_peak_10_50
오랜쥐,naverchzzk,b07d5fab7b903866ba3eb5917527d924,439,2.3,26,18,42,11257,21-30,PUBG: 배틀그라운드,28.1,R.E.P.O.,22.3,프랫폴,18.2,5,true,multi_game,,sample_1_peak_10_50
엄히로,naverchzzk,44d985ddad9d44bc8bc5e9113d446317,441,2.2,23,19,42,878,21-30,이터널 리턴,98.8,리그 오브 레전드,0.7,종합 게임,0.5,4,false,single_game_dominant,,sample_1_peak_10_50
우소 마토,naverchzzk,ca6489c1bb63c41ea680d6520d9aaf94,444,1.4,49,30,42,2880,41-50,월드 오브 워크래프트: 한밤,98.8,talk,0.7,종합 게임,0.4,3,false,single_game_dominant,,sample_1_peak_10_50
히게 hige,naverchzzk,7aa263d03571644d9ecd17471b1a969e,447,8.1,11,5,41,79,10-15,종합 게임,84.0,이환,16.0,,,2,true,gg_primary,,sample_1_peak_10_50
로직백수,naverchzzk,de207d7ea717cc73a4ed99d303068d88,449,4.1,18,10,40,2597,16-20,talk,40.7,서브노티카 2,14.8,유로 트럭 시뮬레이터 2,10.8,11,false,single_game_or_non_game,,sample_1_peak_10_50
참 다 래,naverchzzk,fdb983a72e11229985fefa67cb20db89,450,13.2,10,3,40,107,10-15,종합 게임,92.9,talk,7.1,,,2,true,gg_primary,,sample_1_peak_10_50
승 돌,naverchzzk,4e3533fbf8dba3d3ab7eec1dfca763d6,452,1.1,39,36,40,3106,31-40,리그 오브 레전드,29.6,talk,22.7,007 퍼스트 라이트,9.6,12,false,single_game_or_non_game,,sample_1_peak_10_50
스컬맨,naverchzzk,5a377e6408e25dbdd46b242e1a67d05b,453,10.1,11,4,40,263,10-15,종합 게임,40.7,명조:워더링 웨이브,33.3,젠레스 존 제로,14.2,5,true,gg_primary,,sample_1_peak_10_50
백아이,naverchzzk,acb02ea689a10ac7a4df45d36f10be35,454,5,11,8,40,175,10-15,Grand Theft Auto V,82.4,그림자 복도,4.7,피크,3.6,8,false,single_game_dominant,,sample_1_peak_10_50
멧쥐 MetG,naverchzzk,2228ae2dad51035987c5222b6dcc2b09,455,7.2,10,6,40,235,10-15,종합 게임,65.3,록맨 제로,9.3,블라스퍼머스 2,7.4,8,true,gg_primary,,sample_1_peak_10_50
쏘야지,naverchzzk,e38a3db0ecf1cf7e8a461a8364c4888c,456,4.8,13,8,40,939,10-15,talk,49.6,종합 게임,19.9,음악/노래,13.6,7,true,gg_secondary,,sample_1_peak_10_50
하남잘,naverchzzk,a52c6317359cf411e7ceb90ff27c0840,457,5.9,10,7,39,183,10-15,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
연금이,naverchzzk,096a2050c7a15d9899b67ac9a77b883b,458,2.5,20,16,39,1593,16-20,로스트아크,96.2,리그 오브 레전드,2.5,talk,0.4,7,false,single_game_dominant,,sample_1_peak_10_50
카복Cavok,naverchzzk,ab51202b82f3c291ff066ea8447c23b0,459,5.1,11,8,39,423,10-15,FC온라인,79.8,리그 오브 레전드,14.4,축구,2.6,8,false,single_game_or_non_game,,sample_1_peak_10_50
슈비Shuby,naverchzzk,4c9c2ce216dd84f9116b1d64c8ba8799,460,4.9,12,8,39,48,10-15,좀비고등학교,68.9,종합 게임,16.3,talk,14.8,3,true,multi_game,,sample_1_peak_10_50
