name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
베개갯,naverchzzk,2c2672208d143b0a26b653c75687bd01,114,33.1,18,9,286,1261,16-20,종합 게임,82.3,talk,11.1,발로란트,6.6,3,true,gg_primary,,sample_1_peak_10_50
쭈와 Zzuwa,naverchzzk,be6b744d84caebdc8102f541b9e3861c,115,21.4,20,13,279,187,16-20,종합 게임,77.1,서브노티카 2,7.2,talk,6.7,6,true,gg_primary,,sample_1_peak_10_50
채이 chaei,naverchzzk,b228271d41131108f4873dbf77bca0f7,123,9.3,36,26,244,3646,31-40,이터널 리턴,57.1,음악/노래,18.7,talk,13.7,10,true,multi_game,,sample_1_peak_10_50
서초랭,naverchzzk,2a2a531fcd6472b76877cf5f2fd5167d,124,22.6,18,11,242,503,16-20,마비노기 모바일,68.6,종합 게임,11.1,메이플스토리 월드,10.3,13,false,single_game_or_non_game,,sample_1_peak_10_50
하곰루,naverchzzk,6fbfc1f21a4ea8d2890ce84f814cac6a,125,13.1,24,18,241,2936,21-30,talk,68.0,포켓몬 포코피아,8.2,잇 테이크 투,5.6,13,false,talk_primary,,sample_1_peak_10_50
임성율,naverchzzk,5c141e63b3d913aa973a54391da008ca,126,23.8,17,10,241,796,16-20,림버스 컴퍼니,59.0,로보토미 코퍼레이션,15.0,에코,10.5,9,true,multi_game,,sample_1_peak_10_50
룰라바이030,naverchzzk,4a88b1bb3376523ec84edb3839dfdb0c,127,20.2,17,12,241,275,16-20,엑스컴 2,29.1,종합 게임,22.3,바이오쇼크 인피니트,11.0,11,true,multi_game,,sample_1_peak_10_50
본명 이순신,naverchzzk,048391f449ce154fb81b37f83804950f,129,25.1,24,9,234,108,21-30,이터널 리턴,73.5,팀파이트 매니저 2,13.3,종합 게임,11.5,6,false,single_game_or_non_game,,sample_1_peak_10_50
엔와 ENWA,naverchzzk,ef4f0b562376c1565f69b52e97804c98,130,12.5,30,19,233,673,21-30,산소미포함,37.9,종합 게임,35.0,talk,9.7,7,true,multi_game,,sample_1_peak_10_50
새냥추,naverchzzk,6c6c1f829aa4aa5d846c063ea307741c,133,43.1,17,5,230,215,16-20,종합 게임,71.5,메이플스토리,11.7,던전앤파이터,10.5,6,true,gg_primary,,sample_1_peak_10_50
