content_id,sub_domain,lang,body_tokens,channel,sounding
0e0aab70509b950c,정리/포맷팅,ko,49,1,2
0e50ba775ca63310,게임/세계관,en,60,1,1
0eaf53415450dc87,미분류,mixed,67,1,2
0ec5700ff49c3ebc,미분류,en,37,3,1
0ed76f1c22f05a9e,이미지 생성,en,16,1,1
0f0a1f74161620a8,마케팅/광고,ko,151,1,1
0f349a1ee9689ba0,미분류,mixed,18,1,1
0f69094d3484f734,미분류,ko,74,1,2
0f89c3cfda85cdde,이미지 생성,en,169,1,1
0fa7d6a7d7239ede,데이터/통계,mixed,80,1,1
0fb733d2656ffcbe,미분류,mixed,54,1,1
0ffb5974edb39f00,이미지 생성,en,54,1,1
0ffd9e57cb76232d,이미지 생성,en,19,1,1
1009b66c607fe5df,자기소개/취업,ko,321,3,3
102ec7df7a6fb2ee,미분류,ko,75,3,1
105fcb2193ef15dc,이미지 생성,en,56,1,1
10afdab34b777ca2,이미지 생성,mixed,179,1,1
10cdd894323e1a67,이미지 생성,en,23,1,1
10d449db3928a9bf,미분류,ko,132,3,2
110bea3a1a6cc2f6,교육/학습,ko,27,1,1
111b12572c6b9d3d,미분류,mixed,31,1,1
111fbabee74a9f56,기획/전략/사업,mixed,102,1,1
1126ac699d458048,미분류,mixed,147,1,1
113bee1fb9d85d86,미분류,en,62,1,1
114078eee026c6c9,단순 질문,mixed,319,1,2
114465d8f885400c,미분류,ko,28,1,1
1178300d8aefdd7a,미분류,en,13,1,1
119e0c883b009eea,이미지 생성,en,30,1,1
11b1ca9a56fd9cb0,이미지 생성,en,55,1,1
11df3a8ef30f9a3b,여행/문화/추천,ko,146,1,1
11e5324bed65cde8,미분류,ko,130,1,1
1205b4694df3ec0a,미분류,mixed,18,1,1
12071c85ad68c9bf,게임/세계관,en,22,1,1
1219702b2c9217d7,이미지 생성,mixed,140,1,1
124bbc179eddfd04,이미지 생성,en,51,1,1
125f9f09446de220,여행/문화/추천,en,99,1,1
1268d76d37f2a1ec,이미지 생성,en,226,1,4
1289ba500e3b8ce3,미분류,ko,36,1,1
128dd41933e2121d,미분류,ko,62,1,1
12e127197a2240e0,미분류,en,12,1,1
12faa53ed5793f35,이미지 생성,en,26,1,1
12fed7b4c181a788,번역/언어,ko,28,1,1
130f871378a44f82,요리/건강/생활,ko,127,1,2
1350e6f6b47a534e,미분류,ko,19,1,1
136007715566d761,미분류,en,35,1,1
13889a897a275b50,심리/상담/관계,ko,64,1,1
13b8299483865048,이미지 생성,en,47,1,1
13bc69a08df9a04d,이미지 생성,en,116,1,1
13d6ca6d055e16c8,미분류,ko,40,1,1
13fafd014ac86a98,단순 질문,ko,181,1,1
1403aeca576d2078,미분류,mixed,854,1,2
1407d5c80ee3349c,미분류,en,35,1,1
1407fecc88ddaf07,이미지 생성,en,75,1,1
1436d15e8225b4b9,미분류,mixed,20,1,1
145bacc9f80f1927,자기소개/취업,ko,38,1,1
146053c7fa2f0c7a,미분류,en,36,1,1
1470aa8d93f03cfe,요리/건강/생활,ko,50,1,2
14b283bae97244b8,요리/건강/생활,mixed,163,1,3
14b7c87e29072672,미분류,en,61,1,1
14f0fde396551dde,기획/전략/사업,ko,36,1,4
14fb63fe3805d952,미분류,en,133,1,1
15029dddd80c164b,미분류,ko,118,1,1
157180084a0a0762,미분류,en,28,1,1
15a97712c06b1660,요리/건강/생활,mixed,1482,1,3
15b1f9a12b6be730,게임/세계관,mixed,211,1,1
15d1cdf99d9419e6,미분류,mixed,204,1,1
160f63b76094b96b,미분류,en,12,1,1
1639e00b304aedda,이미지 생성,en,40,1,1
1686233513549809,단순 질문,en,13,1,1
1686a016352d3ab4,정리/포맷팅,ko,112,1,1
16903091f63e2a58,미분류,ko,85,1,2
16a82ca1904d54d3,정리/포맷팅,mixed,163,3,3
16a9142efbc8cedd,정리/포맷팅,ko,64,1,1
16bbc8133a2e9562,미분류,ko,30,1,1
16eb561eea1e49e6,미분류,en,57,1,1
1747b6faf74dea6a,단순 질문,ko,233,1,1
1776d5694983a480,미분류,ko,13,1,1
1777e96b0fb78fe2,이미지 생성,en,27,1,1
1781d42244ff44b3,이미지 생성,en,32,1,1
17d5656d395afd5d,미분류,ko,57,1,1
17f0dd829e67712c,이미지 생성,mixed,152,1,1
17fe2844373f886f,미분류,ko,44,1,1
18350d07ff59374a,정리/포맷팅,mixed,70,1,2
185f50809a1f1ad5,단순 질문,ko,41,1,2
18663e315ce75fdf,미분류,mixed,36,1,2
186f8dbbdc9df8e1,단순 질문,ko,19,1,1
187af19df305fd90,이미지 생성,en,68,1,1
1884791bbc44a3f1,이미지 생성,en,58,1,1
189a7faadae20a7b,단순 질문,mixed,21,1,1
18aa537348a979ac,미분류,mixed,23,1,1
18bf75f5a86c6fcc,미분류,mixed,28,2,2
18c7158978f50d84,요리/건강/생활,ko,117,1,1
18f1e038a3ff30d6,이미지 생성,mixed,406,1,1
193e3b9d3672a331,미분류,ko,26,1,1
195d23cbfd112368,미분류,mixed,51,1,1
197c419a3bb5f652,미분류,ko,42,1,1
198e860ecfd91b27,미분류,mixed,24,1,1
19b765cb8add766f,미분류,ko,62,1,1
19d9f34e8bc786e5,미분류,en,25,1,1
19ee90515e566bc4,미분류,mixed,34,1,2
1a12a0601ce2077f,미분류,en,50,1,1
1a13b84a58efa7eb,미분류,en,46,1,2
1a404ff65b3529c9,미분류,en,10,1,1
1a63b587579f66a1,정리/포맷팅,ko,150,1,2
1a8646fbf383e483,미분류,ko,94,1,1
1af2c885a9b5f18d,미분류,ko,120,3,3
1b1392c687702e4c,기획/전략/사업,ko,192,1,1
1b1dfedc9d916286,이미지 생성,mixed,215,1,1
1b32ce706e6a0009,이미지 생성,mixed,43,1,1
1b6d38daa9846586,정리/포맷팅,ko,80,1,2
1b771ca04328b922,이미지 생성,mixed,94,1,1
1b7910a6a8189334,미분류,mixed,80,1,1
1b8eb9597f1ec50c,단순 질문,ko,54,1,1
1ba3476f0aa6b595,이미지 생성,ko,84,1,1
1bd2abe2f1375106,미분류,mixed,60,1,1
1bed45db9a92c04e,자기소개/취업,ko,153,1,1
1c01459cfad0b010,이미지 생성,en,53,1,1
1c315496779fff86,미분류,ko,117,1,1
1c350f700ac95e8a,미분류,en,20,1,1
1c3b94693c7b320d,미분류,ko,81,1,3
1c5a8873f063865b,자기소개/취업,ko,61,1,1
1c6088eb8567627c,이미지 생성,en,38,1,1
1c9dd951fc495495,미분류,ko,90,1,1
1caa378bd844fa11,단순 질문,ko,129,3,1
1cb5ca57ea4babf2,미분류,ko,153,1,1
1cba65ebc84c175e,학술/연구,mixed,94,1,3
1d4bd5641674191e,미분류,en,94,1,4
1d6aa66512203b72,학술/연구,ko,107,1,1
1d715f734165dd96,미분류,en,33,1,1
1d719ac548c595dd,정리/포맷팅,ko,23,1,2
1d7617953672a958,이미지 생성,mixed,87,1,1
1dd42f4e94446fd2,미분류,mixed,109,1,1
1e49d5cdf5cd3afb,이미지 생성,en,60,1,1
1e53ebcecc9875c8,이미지 생성,en,97,1,1
1e7bd637ffafb8d4,미분류,ko,72,1,1
1e9edee11fe67025,미분류,ko,42,1,1
1ea5da80812fd108,정리/포맷팅,en,247,2,1
1eaa02df55903e98,정리/포맷팅,mixed,92,1,1
1ebbb376da9a84d1,기획/전략/사업,ko,69,1,2
1ec716563900241a,미분류,en,125,1,1
1ec89718d4394b89,요리/건강/생활,ko,157,1,2
1ef197f64c4c8d70,게임/세계관,en,40,1,1
1f021458bb0961f7,미분류,ko,29,1,1
1f4e9c513c610953,이미지 생성,en,38,1,1
1f938828c69ddeb9,미분류,mixed,104,1,2
1f98c6d9a3ac88fc,미분류,ko,16,1,1
1fc4335624113b6f,미분류,mixed,96,3,3
1fe2196e75a87e37,이미지 생성,en,46,1,4
2007bff971f0067b,여행/문화/추천,mixed,521,3,2
2019f5f0e28e18c1,단순 질문,ko,31,1,1
20220d93b1a4ac37,단순 질문,ko,70,1,1
2030b33643b88a2d,이미지 생성,en,49,1,1
203207caf6112229,정리/포맷팅,ko,76,1,2
2049c15593082a20,이미지 생성,en,31,1,1
2068fb7404c90a26,이미지 생성,en,50,1,4
20816b723e5c582b,기획/전략/사업,ko,244,1,3
209528064f1afcef,미분류,ko,124,1,1
20a8001bc9443430,이미지 생성,mixed,23,1,1
20c9d3ed33dd712c,정리/포맷팅,ko,109,1,2
20ce0fe4c8ffac71,미분류,ko,72,1,1
20f9276d0f2ea059,미분류,en,144,1,4
20fb3a231475a39f,단순 질문,ko,21,1,2
2111395ecd429481,이미지 생성,en,56,1,4
211198a2453e9e73,미분류,ko,51,1,1
2111eaa947ea4b77,이미지 생성,en,106,1,1
211a7df7bf46b775,이미지 생성,en,43,1,1
213d68e11cf1ccbe,미분류,ko,49,1,2
2155c953eba75f5e,미분류,ko,65,1,1
21666401f9a16b79,번역/언어,ko,16,1,1
21fc154cb85cfa61,미분류,ko,48,1,1
220102d7d39f007b,학술/연구,ko,20,1,1
2209b3022a6acdb0,단순 질문,ko,17,1,1
2213a0300103dfab,미분류,en,112,1,4
2260d51073871874,미분류,en,12,1,1
2262dc324c876cdd,이미지 생성,en,23,1,1
2280b6a89c256d0c,정리/포맷팅,ko,35,1,1
22c15adbcc58a064,마케팅/광고,ko,76,1,1
22d3b696bd7307bd,미분류,en,10,1,1
22d4c14750f7fbcf,미분류,en,121,1,1
230d72b7e7e15525,미분류,ko,56,1,1
234c7b7a45c8630a,미분류,en,119,1,1
23551a86f7ff772c,심리/상담/관계,mixed,54,1,1
23a840918f1fd0b2,게임/세계관,mixed,194,1,1
23afbb7b7334abab,게임/세계관,mixed,52,1,1
23b63d312def5e3d,미분류,ko,27,2,1
23e777e67f3e9e16,미분류,ko,34,1,1
23ec10b17196d917,자기소개/취업,mixed,160,1,1
24119ee5b50b4e07,이미지 생성,en,44,1,1
242c2de412dd1477,미분류,en,26,1,1
242e0ef2f7c09f25,미분류,ko,25,1,1
2496fa53073c6ea5,이미지 생성,en,26,1,1
24bcf93e57f2d61c,여행/문화/추천,mixed,31,1,1
24c86503af3c6d94,마케팅/광고,mixed,91,1,1
24eef53aab5127a4,미분류,en,13,1,1
2503a5b102c58e68,정리/포맷팅,ko,38,1,1
2543b044f8996c97,미분류,ko,37,1,1
254fff033113dfbf,이미지 생성,ko,262,1,1
2550b3e5868450c8,단순 질문,ko,88,1,1
2553fbf876372a26,미분류,en,11,1,1
2568e0781b1094b6,이미지 생성,en,51,1,1
259887a7011040f4,미분류,en,509,3,1
25a2382c70fbb2f1,이미지 생성,en,23,1,1
25a26a7dfeab4d9f,이미지 생성,en,55,1,1
25ac2b2caddeba0f,미분류,en,12,1,1
25e9ae8a9ea86728,마케팅/광고,mixed,230,1,2
25fac78befd0c789,미분류,ko,41,2,1
2633845925d0b099,교육/학습,ko,32,1,1
2645d73fed9e3eae,이미지 생성,en,86,1,1
2654806809e601aa,미분류,ko,156,1,1
265dae7310c287ef,정리/포맷팅,ko,131,1,2
265e4781eefac0cd,심리/상담/관계,mixed,173,3,2
266f72a0271ea944,게임/세계관,ko,929,3,3
2685138aff3b7b84,교육/학습,ko,140,1,2
2690a7f8adfcd01c,이미지 생성,en,132,1,1
2693770fa26dcb01,요리/건강/생활,ko,192,1,1
26a2d864f0a2999b,자기소개/취업,mixed,102,1,1
26bb70a49a35bece,마케팅/광고,ko,69,1,1
26ca9636c01052eb,이미지 생성,en,42,1,1
26d218f769720c50,미분류,ko,85,1,1
26e2498a0ad16ea0,이미지 생성,en,34,1,1
26f24e17f0b0a35f,심리/상담/관계,mixed,145,1,2
2706b3f30ad4142e,게임/세계관,en,29,1,1
272b1a94ccbd43f8,단순 질문,ko,68,1,1
272cb0a0ecc0f929,이미지 생성,mixed,39,1,1
2738b398a53131dd,이미지 생성,en,45,1,1
275ad4e3a8a4b466,요리/건강/생활,mixed,1944,3,3
