account_id,persona_id,platform,platform_account_id,display_name,vtuber_status,activity_status,manual_vtuber_ok,manual_platform_ok,manual_name_ok,review_note
krvt_a_eaf4dce851d85ed7becee4df378f6c4f,krvt_p_ca274afa4cc750218bf34101ee9c8761,chzzk,a12bf9267f7f2c44097e408163057088,,probable,active_90d,,,,
krvt_a_058b0d5fcedc5941958a1c83176a28b8,krvt_p_78f8213a8eda5c5ea029c99bdd8ab3a5,chzzk,a64c2ddd61bc17d1173a6b344217e50b,경톨이,probable,active_90d,,,,
krvt_a_111b0e86c3f15927b54158322f2af556,krvt_p_12c1291b7e0754b287af39a056d3f942,chzzk,ff318112d4312a98fc83fd39fc0b77b3,돼지저금통 치지직,probable,active_90d,,,,
krvt_a_36cc7fab7bfb516683dd7b8ff9e5c2f7,krvt_p_77faf1f83a795423a6c63335e8924bdf,chzzk,07be4071fb64748a1c9ed1988f0e4a16,은솜e,probable,active_90d,,,,
krvt_a_4021e70296935489b82ae3c00e9193f2,krvt_p_034e245635bc59929ced2d7fb02a753d,chzzk,b419e394870a9f87f6181d5b1edea8d1,DoKiii,probable,active_90d,,,,
krvt_a_a5d343c72eff5cf5971c0dad9e3a6089,krvt_p_dcf68262a9df5269a682c2c585c83e94,chzzk,e79554998285041ba1bfdb8967daf4e4,남세림,probable,active_90d,,,,
krvt_a_40701302eb905792b5d3c3b367f7eea1,krvt_p_d3f81f072a385057a74dd958de147efe,chzzk,dc7f99782f6af5ba32939d4ec47d6aa1,네이 모,probable,active_90d,,,,
krvt_a_cb5f2445d13a57a386c825820197c12a,krvt_p_3c017f2b58e157b1bc4939986678ab07,chzzk,4bb90cd14634ee9c2023a56aeae1bc66,휴휴0062,probable,active_90d,,,,
krvt_a_53aaf7b2d87c5829af81fff9c2027a51,krvt_p_ac8d661220175bba8591ce83d3a8de54,chzzk,a3b160798327ba9dfb1544f1633e985e,도차사,probable,active_90d,,,,
krvt_a_b94458fc66de5cb0bccdaa7f932353f4,krvt_p_e71d21f792ba5f098d48ba86810ce531,chzzk,ff4d27736709401771bc9e06785e819b,헹쓰,probable,active_90d,,,,
krvt_a_85f2f2d6adc352d3ab523a8d7ff0fc36,krvt_p_1199b6a9d61f58a4afabb6438b4b8b1c,chzzk,06e643a1c28c3e2cd0b0d18c4fb360be,디단장,probable,active_90d,,,,
krvt_a_9a0a5320dfca5cfb8ac851f7ec0e54aa,krvt_p_6c323783aa415810876f7e1711f158c0,chzzk,de07ef5f1fa67b7b109ce76701cc09a3,한여일,probable,active_90d,,,,
krvt_a_567473a66ec9587eab7a75eeefffcafc,krvt_p_a0d4c797dd2c5555a3f9d64403f65de2,chzzk,6406a0265e194364ac8ad66bd9a7d27a,,probable,active_90d,,,,
krvt_a_b3e9d59c38c85c4889c68e82296f8f0f,krvt_p_fd7a1103271359abaa5cea85ad2241d1,chzzk,e369d97c0405fd95a78e9f34566d7355,별 새결,probable,active_90d,,,,
krvt_a_4ecb86ed83715430a08ba8870905d1b5,krvt_p_3bcecefa2bcc583f927e16eb66d9d814,chzzk,a674afc08e040e7f6be4874afcd59697,류 영,probable,active_90d,,,,
krvt_a_882bdf52f96a539da9f9bb4243affa60,krvt_p_9f470f96a64757beb0c57c726e69f4f8,chzzk,e4d2b5a9afad79cd27d806e15c102701,크라운 크라우페이퍼,confirmed,active_90d,,,,
krvt_a_16252fbf47dd5e9e82ed5eb0121b9977,krvt_p_8f70ca65061d5f3ea97d05da22379eff,chzzk,b1c4ff987e21884765b24ec00a5dffdc,,probable,active_90d,,,,
krvt_a_3fe9e4f57e365d4e8cf09fe32701e390,krvt_p_9bd535b8edde5b53bdfe6a3412b9a632,chzzk,9cacf71e4b35d87ddbf4c3b36c819bf6,쟈가이모,probable,active_90d,,,,
krvt_a_971b13696d3e5e7f80dee52c95dbdc9e,krvt_p_5c19739e46eb5a0cab9366a35c149350,chzzk,2a041b8ebadc446f3fa9072ce1b22448,,probable,active_90d,,,,
krvt_a_e4ddd39e265c53c89aeeef8afd660f33,krvt_p_a2ace739a3bb534dbfb370af1ff54575,chzzk,1fc407dc7b859ee07df3cd32989eb4d1,쟈니킴,probable,active_90d,,,,
krvt_a_6dd87f1feb1155aa8fb8b3dc89320950,krvt_p_1c269db354425effae99feb35c57725d,chzzk,e9009ccf115e0a550d44158bdbb2fc83,사사야키 리네,probable,active_90d,,,,
krvt_a_b52ab4bbc07252b09d4965c99c90f0b8,krvt_p_292a47ec4b185480833bad58bff88cdf,chzzk,aabd39418864ff6144f6d275ac75e8dc,곰몽 Gommong,probable,active_90d,,,,
krvt_a_8fa05d2242765824b823d55cc1c57366,krvt_p_cf63e485703c5cc2bf0a81dd36afd275,chzzk,81c508ca56abe853b8d2ca96d8b3bbce,지니풍,probable,active_90d,,,,
krvt_a_8cff8d707549574c988a21bc5dd815c5,krvt_p_a0b59c1be4f0555aa08bb75b1d6363f6,chzzk,a0a6caf6a4735155d5ffb01a98d94eb3,,probable,active_90d,,,,
krvt_a_f4e13f0ada5154a68058a67a0e3a319f,krvt_p_58f30346d28c53b6bffb5c77d214a87e,chzzk,540f38ab45664286d38922ee0f5716d1,김토깽이,probable,active_90d,,,,
krvt_a_f23140e9447b5bdcb9ffa0e80757a839,krvt_p_c41812cafe0759b0ba4f451cbe7c62c7,chzzk,10067cc0b0547ba98ff858e134345601,가로박,probable,active_90d,,,,
krvt_a_6030e00dbf3d5e628bba4f824358f81a,krvt_p_b7dd65a7b9ae57c08c2d72e720e779ce,chzzk,66be74b2ca24555931a07bfc96abbc5c,,probable,active_90d,,,,
krvt_a_a5ac174341bf5d80a85634a8fe175349,krvt_p_73043ee8206b593794de727340cab816,chzzk,3276459996c2277df9452af6bead856b,키요라 WIS,probable,active_90d,,,,
krvt_a_9cab8e00060b5390ad28d18ce76dfe4c,krvt_p_839cf7ee93b252c988b7659a5478241a,chzzk,65e6508b9fa1e3852ec1dad8ae0946fc,갓타마,probable,active_90d,,,,
krvt_a_d600dba054975afcabc78fd9e6dc215d,krvt_p_13846992db7e5a3c905601321e0a9100,chzzk,e40c014a4a987a597047374953df6422,리겜하는 HEXAGON,probable,active_90d,,,,
krvt_a_2a6dbbf33a6d52bda6afd70ee2759717,krvt_p_b56f62e37f895350b4b9c15d658802d8,chzzk,35ac4156f36d910599a13f6d205cca69,김봉칠,probable,active_90d,,,,
krvt_a_8c89f1d3f5b55b2aaa8b0833855cd322,krvt_p_f62657217fb05baf9073cc8265285699,chzzk,beed7714efadc62dffa1d983d7c95307,정시온,probable,active_90d,,,,
krvt_a_0c9c96ee34ab5abf8b4149b5ec79a005,krvt_p_18132e43792b5b67a51cd7344ccfad0a,chzzk,e82548a0fc17a23294f5925d04e19718,타치 Tachi,probable,active_90d,,,,
krvt_a_ff4b63c1cf225ca197074f20bfbec107,krvt_p_a5304d799c065c5eb848fd2cf6fb9d85,chzzk,a0ba9d6ea84b7a42d6e17a27a1b1302b,라무S2,probable,active_90d,,,,
krvt_a_b0b55fcaa15c538e97ca7cf2b5e26d5d,krvt_p_aa918d0d79f658c9a9a1749d2dfac76d,chzzk,0e2647cef57160864e0d6742c56deebd,여비별,probable,active_90d,,,,
krvt_a_5269c8ca0cdb5ec4adb5ea586b48d582,krvt_p_9e446418aa995fd4a531f95ff2b0c801,chzzk,727dc37279f22918f1291a9deecd57a3,두부잼 Doobu,probable,active_90d,,,,
krvt_a_3309ed3a90ce5af58297efeeb075baa9,krvt_p_8bb577e655a0533488416ee871aabc4f,chzzk,f199ce331a0e2869f1257ae70ea9241f,오렌 Oren,probable,active_90d,,,,
krvt_a_0537317323ef512c9936dddeea95680f,krvt_p_17f0757e24535f92a1372a0e92612057,chzzk,4bae9ebbc6f0c8cf10f6e34711c028f0,진 시도,probable,active_90d,,,,
krvt_a_8fae93b6876d5cb0b835255c8214f882,krvt_p_12ec2a945f725beca1f14fc283db6dcf,chzzk,7344335ad6a550a9782cfc390ade579b,김희희인뎁쇼,probable,active_90d,,,,
krvt_a_56ba60209dfc5353905efcaa4ecde221,krvt_p_7acdcb5ec284582b89eb4e1daea51769,chzzk,37a1acfaa35d56311bf428dc96142e9f,유진 알파,probable,active_90d,,,,
krvt_a_61557513d582590c8f37fe59a3c220b8,krvt_p_71115beeee2552cfae0f5f4e1b3a4458,chzzk,9645e9217034fbb2a32c9e38d1061d6c,싯소하,probable,active_90d,,,,
krvt_a_a469bad51c0e5b21b2fdea8bae5ec1cb,krvt_p_d8ff7e61e0075574bdc4caa6e7c18d2b,chzzk,56926f2514bc208f277850e134610422,페리2,probable,active_90d,,,,
krvt_a_3aa7e2fc5d4553ea9d6aee7439ed4d57,krvt_p_932c9a5b204756a5950ba378db956542,chzzk,4ab6b3f9b0638c468b7f7d37638b6b72,제취 마왕,probable,active_90d,,,,
krvt_a_cdf1f5dde5625991a3a08829329ecd74,krvt_p_3c79fd4f555f530fb33c5a75598f710e,soop,47,김하치:3,probable,active_90d,,,,
krvt_a_2799faef5cf35e3e9122bb99dbd018a6,krvt_p_dc984c419c9a58d792f4d9f8a980b55a,chzzk,409b129508005dfbdb79381a86bcd2dc,흐이제,probable,active_90d,,,,
krvt_a_ee76a59e394c5f6ca5a4286da6494b45,krvt_p_4605ac4eb3b9568eaa97ac97035b119e,chzzk,7466dd7cc8cb431f6694c82aae9dba12,모브Mauve,probable,active_90d,,,,
krvt_a_a2543ba61e195bfeab150945f5911f46,krvt_p_724e6e77dc3654cfa0f8f99cc86e788f,chzzk,d24cdeea18871e85a761f472e5ca07aa,셀레스틴celestyn,probable,active_90d,,,,
krvt_a_7ba2f0ae1f7c5c34b73afb637fb6a714,krvt_p_d60898446e075841bed363931185635c,chzzk,a7a58a9f4ea484429d6ca06fd1bc3b7b,하코챤,probable,active_90d,,,,
krvt_a_64f9fbf032a35531916cfff63fd3de07,krvt_p_4a6231bea0bc53a0b572bae9c80319a9,chzzk,2921471240bda56faa79251ee28f7ede,백이월,probable,active_90d,,,,
krvt_a_643f91f6524a54f182d11fa842f81919,krvt_p_5750dec2230c54a4bd4f476b187a13b6,chzzk,455d5f581f7c1cc0795eaf59fcf1a74c,단향비,probable,active_90d,,,,
krvt_a_16328562645153c5b614ea8d787a2a85,krvt_p_4a71c1a3c03b5604bf072104dbab7f33,chzzk,b967af2de5641b8e565e0120016f4952,아이로 Airow,probable,active_90d,,,,
krvt_a_bc89e520da795ce8890203c53e8d8545,krvt_p_7540f3081c1257b1b9589d8b73ae5aae,chzzk,9a07afa11ff588d8c2edc4e8c09e5b8c,오리 알,probable,active_90d,,,,
krvt_a_3f246acb431b539fa4889efed9587f10,krvt_p_eefdd3762506597d827f9785967730e8,chzzk,89cb11d6357da916eaece62cac2137ca,강 지 은,probable,active_90d,,,,
krvt_a_0c499e706b455edebafd55bcdbc504bf,krvt_p_73761da3ec5251f2ad09aea86ef0256f,chzzk,dda1759a83032d9a22356c0051177223,잔식,probable,active_90d,,,,
krvt_a_f8e3c4573e5e54c790179600255c596e,krvt_p_0b3fa90550d95685acee67765fc837cc,chzzk,78797c4d8ddeacbcc632127022ee35c7,새 싹 비 빔 밥,probable,active_90d,,,,
krvt_a_73441da3ba3e513b810e5c14bc6c3bf9,krvt_p_f894b6ca50af52c38007ceefcd97c096,chzzk,20af930760df6eaf1891c19ee427b4b5,,probable,active_90d,,,,
