account_id,persona_id,platform,platform_account_id,display_name,vtuber_status,activity_status,manual_vtuber_ok,manual_platform_ok,manual_name_ok,review_note
krvt_a_a35c587a10d05a639c3225343cf37640,krvt_p_8e0be57dabd7555db52f36de1e94eec8,chzzk,f6d2f00e05c5af5ac98c20a2611954af,구름용,probable,active_90d,,,,
krvt_a_fb0f97499831501583b98a6763e63da6,krvt_p_95003b4a587a5e67b845de3d07a73a72,chzzk,fc1141b66bf941e151e467ceef713acc,김토키,confirmed,active_90d,,,,
krvt_a_c2c6c8b62e4b5d408070425b665678ec,krvt_p_1ac9c9cb97c351668ab906ca8cdad60a,chzzk,b5d40b01baf1508c06cc70facfc09261,청은호,probable,active_90d,,,,
krvt_a_9849822c9d4d535281bb34bb66502f6f,krvt_p_0f015ac72f96577f8b3110879d9f65bd,chzzk,69a7036b8c3c1ca4d6a63f5cdcf5badc,,probable,active_90d,,,,
krvt_a_5eaf6752f6115be982c693702bcd8006,krvt_p_da6ece496fde519d979b77d60ae44b09,chzzk,426b5b7379ce9d481d356be67c62560f,낭만냥,probable,active_90d,,,,
krvt_a_84997b5389d7540dbc968211cc193d85,krvt_p_2cb85c8d0aaa580395163f86358984de,chzzk,abb6a84b41868a6082c8dded84ce9cf4,로퍼,probable,active_90d,,,,
krvt_a_776ef993be725837841cb21f56776c74,krvt_p_98a0d294e3c85b93a0bb887afa8db50d,chzzk,7c40167e224bbf7fe5d54576104375df,,probable,active_90d,,,,
krvt_a_c1308c5ce1d95ac0bb0850032cacce11,krvt_p_ee6825bda2c5518e923c1f4fffa8d7ba,chzzk,18ffb2428468a374ff831998b697fb38,냥사기,probable,active_90d,,,,
krvt_a_f801b00a24b153eaae879cebb0a44dd3,krvt_p_e21f2ebd48995b04a195d4d23c597082,chzzk,46493733853aef39b2046d7f048ad2fb,하열도,probable,active_90d,,,,
krvt_a_ae8c0f79989c56b7b5ee53f6195eddbc,krvt_p_b8b30b883eab5cf1afd52181d5cf0b6b,chzzk,ee68f651d68eda4b0a1102243caa1bf0,유리링 Yuriring,probable,active_90d,,,,
krvt_a_9584f9a2f63159c396f346036ff9def5,krvt_p_a3d5bcbaa15a54a0bf43be9999a7cc68,chzzk,9a3ed215c3ac19a3f75159a674485921,베 뉴,probable,active_90d,,,,
krvt_a_b4b902d9b8b55ec39f3834f2e2ce90d6,krvt_p_c7b80597e76a547fb3a0895b5c890271,chzzk,9199eb6eb3dea874f47bbb35bd1dfee2,유세라,probable,active_90d,,,,
krvt_a_c79d97819e0b5acbbf3ce47f09ba5fed,krvt_p_8ede56ff0fc35ecbbcf856c8b13302b7,chzzk,bb7e1177a6fd83705be8fbae31d57374,0다온0,probable,active_90d,,,,
krvt_a_9fec99e0c96b5f96b79d6fbfaaa1b80e,krvt_p_55ea6a2533f853ca81c6a1369748855d,chzzk,5737774cd8a4f53a5857a64a71d7c507,하루디루디,probable,active_90d,,,,
krvt_a_84e2d6d6b8b85930944249d244fbd5d7,krvt_p_4c9393e3fb225d318e4b924d516da994,chzzk,211d3f3ebba238d71b5f40a93089ef1a,탄낙지 치지직,probable,active_90d,,,,
krvt_a_b2033db555ad5d31863c159a8a49dc4e,krvt_p_8568686a77635964ad5a1cc3052dc688,chzzk,d53fdb85d1130d1b247f97e529c06a73,망고리,probable,active_90d,,,,
krvt_a_bcec76869afa5cdab2bc5009adade94d,krvt_p_dbc9851044255f968dbc7bb29022ad2f,chzzk,dcfd3c7cf3c05b41306a4cc249ad5c9f,끠월마녀,probable,active_90d,,,,
krvt_a_3b0f83b338f651608b38802d292f9f35,krvt_p_ce7ad3202277569baa94e8fcdf894067,chzzk,496ff6be27df16c9fc19bea7411f0b4d,꽃규리,confirmed,active_90d,,,,
krvt_a_6c13c37282d55c5fa6fc7f502a188575,krvt_p_d280eb4aa29953d191a4aadc67ed1e49,chzzk,bf920b8623bc8172515684ac12fb583b,정이양,probable,active_90d,,,,
krvt_a_7d7335c2263e50a8afa40bdb63799f8f,krvt_p_22cb4ef38d33576ba39245d27211b963,chzzk,1b3fb1bd60bc4787c155c6b8ebf3b910,문 하 진,probable,active_90d,,,,
krvt_a_aca14febd45b58fba6289c67e47898ad,krvt_p_70cfd9a8727f5786b084aa6ed3dad59e,chzzk,d58ace43901fd369f1b4efa4ed175103,미 유,probable,active_90d,,,,
krvt_a_ecb75f5d7dbf5a33b778dd044af10646,krvt_p_5e439a78c7665d6989af7ba3c28e2764,chzzk,9d5a73f4258bbfd2dcfd8ebfb78c092d,미야모토씨,probable,active_90d,,,,
krvt_a_32ca2b7ac80951c380aa937dae9f12c4,krvt_p_fb448396d1655711b4f602d1efcae1af,chzzk,4853ea509a0cbe087872c155465e1608,,probable,active_90d,,,,
krvt_a_29b8e6501b735339afa4e880eebbf690,krvt_p_d48d0b5afbd75a5cbab016c1285d0fff,chzzk,eaa3d33a92b7fb253dd88bcf718b1897,해루닝,probable,active_90d,,,,
krvt_a_20e1ece5b3b651de8325b5d938994d87,krvt_p_dcb31e7711865cc6a103e7603097b5d1,chzzk,835d14b3dd5f25dffe455df57f45999a,Steina,probable,active_90d,,,,
krvt_a_50758dc9fcf75281bac4d23ca5ac9342,krvt_p_2e4c1ecef05659e6a10116d80e8dc476,chzzk,38d2bd6d0e955374f84201d9546d7529,우주여우,probable,active_90d,,,,
krvt_a_aadb1a8bb942534ea30122252974985c,krvt_p_989e7f13a03c5b99af319acf329142e1,chzzk,e4a909f1a71298bc09d6653a17f4099c,,probable,active_90d,,,,
krvt_a_b5ebe47d67a65bc7b1e192c0dc53173c,krvt_p_626b4933bedd51c7a6ceece28de0aa50,chzzk,1b380ddbe49caa1fbf81a794b61963bf,l한울,probable,active_90d,,,,
krvt_a_de5092ca0b9e5d11b9624b3cfe435c45,krvt_p_eea006da539152f68d37aa4a17f2b12d,cime,1037432,흑의랑,probable,active_90d,,,,
krvt_a_178cc87418b55b349a9195a6d0885508,krvt_p_f422ad293c695aee9fef969c44877b21,chzzk,b2382c5940fe09f71f6de5a740d2de2b,도화비,probable,active_90d,,,,
krvt_a_79520964251b568f8923c2cecc037d1b,krvt_p_3879bdcde9c550c8a68861043d0cac62,chzzk,f1527b5bc532e156f413420a09fdeb8f,재알라,probable,active_90d,,,,
krvt_a_ac95fe4bce1752b6a193bddc20a09c9d,krvt_p_313ee709da7b52149d9bcebe4917756e,chzzk,30943d6a1a57fd807252267cb540cd54,해냐 아냐키스,probable,active_90d,,,,
krvt_a_af922ff97c2f5d15be6d9ec40271b440,krvt_p_fec47221e21250ec8c8f35bd12de89a4,chzzk,2d4aa2f79b0a397d032c479ef1b37a67,후추,probable,active_90d,,,,
krvt_a_68a3bd89dfb75d8d8eac9e8bbcf3d98b,krvt_p_f03f8da8c67c57bd9f2d655d808ed6f1,chzzk,b9a795baa91b864819e32eb52aeb9079,윤감,probable,active_90d,,,,
krvt_a_d9f9b80b0a5f5b3781c41f368f754469,krvt_p_17ff7a03e64750c1b8348b2dad09481e,chzzk,fd6c08c83796082448d27908488a36ca,| 재하 |,probable,active_90d,,,,
krvt_a_d97546ac54265e1b95a88d1e900c3632,krvt_p_22cb1ba9590c5458938e99724ca30e06,chzzk,0eba448275bccb294ceb88ddeb90f800,아야 AYA,probable,active_90d,,,,
krvt_a_08b20250c1ec5bf7aafbb6e6d45c0ff7,krvt_p_965a23425f605a56b74ae8fda78e22e9,chzzk,949a3e9d087acecd15e83b85bf54cf63,쎄이린,probable,active_90d,,,,
krvt_a_fe597c8bb0585763828ce6383f74d0d2,krvt_p_f7bf92023509552c948278d3c6a57302,chzzk,f04ba615d600ad60052777d686b20a68,천 유 월,probable,active_90d,,,,
krvt_a_8ebcefb7017c5ae8821ff509b688e05a,krvt_p_77c6d08cb40d5e2c8cdce3c730c40594,chzzk,b811ddc2c2b6feb7a4e136832f3ffe63,영백이 0,probable,active_90d,,,,
krvt_a_cd6dbccec56757aba4e435ca6da5ab7c,krvt_p_5233662ac4715bf780cb3c6840a6e7c8,chzzk,e0f485296633184ce2048e8f0270345e,얀제리,probable,active_90d,,,,
krvt_a_50daa9617cec55e39bc684626432ca90,krvt_p_d783b475477150c6a459590f1a3c535e,chzzk,0987f5f54ccca4945d9322e757901611,류늘봄,probable,active_90d,,,,
krvt_a_5c3053cfaf745d588531c9e1a79f6853,krvt_p_a944934e22d954688f64c08c8f7e6c8c,chzzk,833c5d419e93202a284621fcefd4f817,갸넴,probable,active_90d,,,,
krvt_a_30725a55b267544e8d29967315959653,krvt_p_aadec8fd137a558bab20eccd68bbfbee,chzzk,35d08a6ed58b844c08f7d544876e5c98,아오나기 리카,probable,active_90d,,,,
krvt_a_ee1bd693bfe35bf4bc5ac4bbacc8bc6d,krvt_p_eee5b6914e0a5eb1b8e6053901df0279,chzzk,1a0293413266a9bfb4d811bc7658366e,이무일,probable,active_90d,,,,
